rank,level,target,english,attribution,words,contributor
45,A,لغت کہاں ہے؟,Where is the dictionary?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
46,A,کیا لغت یہاں ہے؟,Is the dictionary here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
47,A,براہِ کرم لغت لے آئیے۔,Please bring the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
48,B,براہِ کرم مجھے لغت دیجیے۔,Please give me the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
49,A,میرے پاس لغت ہے۔,I have the dictionary.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
50,B,کیا آپ کے پاس لغت ہے؟,Do you have the dictionary?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
51,A,مجھے نقشہ چاہیے۔,I need the map.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
52,B,مجھے نقشہ نہیں چاہیے۔,I don't need the map.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
53,B,کیا آپ کو نقشہ چاہیے؟,Do you need the map?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
54,A,ہمیں نقشہ چاہیے۔,We need the map.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
55,A,نقشہ کہاں ہے؟,Where is the map?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
56,A,کیا نقشہ یہاں ہے؟,Is the map here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
57,A,براہِ کرم نقشہ لے آئیے۔,Please bring the map.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
58,B,براہِ کرم مجھے نقشہ دیجیے۔,Please give me the map.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
59,A,میرے پاس نقشہ ہے۔,I have the map.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
60,B,کیا آپ کے پاس نقشہ ہے؟,Do you have the map?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
61,A,مجھے ٹکٹ چاہیے۔,I need the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
62,B,مجھے ٹکٹ نہیں چاہیے۔,I don't need the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
63,B,کیا آپ کو ٹکٹ چاہیے؟,Do you need the ticket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
64,A,ہمیں ٹکٹ چاہیے۔,We need the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
65,A,ٹکٹ کہاں ہے؟,Where is the ticket?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
66,A,کیا ٹکٹ یہاں ہے؟,Is the ticket here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
67,A,براہِ کرم ٹکٹ لے آئیے۔,Please bring the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
68,B,براہِ کرم مجھے ٹکٹ دیجیے۔,Please give me the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
69,A,میرے پاس ٹکٹ ہے۔,I have the ticket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
70,B,کیا آپ کے پاس ٹکٹ ہے؟,Do you have the ticket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
71,A,مجھے پاسپورٹ چاہیے۔,I need the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
72,B,مجھے پاسپورٹ نہیں چاہیے۔,I don't need the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
73,B,کیا آپ کو پاسپورٹ چاہیے؟,Do you need the passport?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
74,A,ہمیں پاسپورٹ چاہیے۔,We need the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
75,A,پاسپورٹ کہاں ہے؟,Where is the passport?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
76,A,کیا پاسپورٹ یہاں ہے؟,Is the passport here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
77,A,براہِ کرم پاسپورٹ لے آئیے۔,Please bring the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
78,B,براہِ کرم مجھے پاسپورٹ دیجیے۔,Please give me the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
79,A,میرے پاس پاسپورٹ ہے۔,I have the passport.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
80,B,کیا آپ کے پاس پاسپورٹ ہے؟,Do you have the passport?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
81,B,مجھے شناختی کارڈ چاہیے۔,I need the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
82,B,مجھے شناختی کارڈ نہیں چاہیے۔,I don't need the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
83,B,کیا آپ کو شناختی کارڈ چاہیے؟,Do you need the ID card?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
84,B,ہمیں شناختی کارڈ چاہیے۔,We need the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
85,B,شناختی کارڈ کہاں ہے؟,Where is the ID card?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
86,B,کیا شناختی کارڈ یہاں ہے؟,Is the ID card here?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
87,B,براہِ کرم شناختی کارڈ لے آئیے۔,Please bring the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
88,B,براہِ کرم مجھے شناختی کارڈ دیجیے۔,Please give me the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
89,B,میرے پاس شناختی کارڈ ہے۔,I have the ID card.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
90,B,کیا آپ کے پاس شناختی کارڈ ہے؟,Do you have the ID card?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
91,A,مجھے چابی چاہیے۔,I need the key.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
92,B,مجھے چابی نہیں چاہیے۔,I don't need the key.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
93,B,کیا آپ کو چابی چاہیے؟,Do you need the key?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
94,A,ہمیں چابی چاہیے۔,We need the key.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
95,A,چابی کہاں ہے؟,Where is the key?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
96,A,کیا چابی یہاں ہے؟,Is the key here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
97,A,براہِ کرم چابی لے آئیے۔,Please bring the key.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
98,B,براہِ کرم مجھے چابی دیجیے۔,Please give me the key.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
99,A,میرے پاس چابی ہے۔,I have the key.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
100,B,کیا آپ کے پاس چابی ہے؟,Do you have the key?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
101,B,مجھے موبائل فون چاہیے۔,I need the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
102,B,مجھے موبائل فون نہیں چاہیے۔,I don't need the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
103,B,کیا آپ کو موبائل فون چاہیے؟,Do you need the mobile phone?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
104,B,ہمیں موبائل فون چاہیے۔,We need the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
105,B,موبائل فون کہاں ہے؟,Where is the mobile phone?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
106,B,کیا موبائل فون یہاں ہے؟,Is the mobile phone here?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
107,B,براہِ کرم موبائل فون لے آئیے۔,Please bring the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
108,B,براہِ کرم مجھے موبائل فون دیجیے۔,Please give me the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
109,B,میرے پاس موبائل فون ہے۔,I have the mobile phone.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
110,B,کیا آپ کے پاس موبائل فون ہے؟,Do you have the mobile phone?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
111,A,مجھے چارجر چاہیے۔,I need the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
112,B,مجھے چارجر نہیں چاہیے۔,I don't need the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
113,B,کیا آپ کو چارجر چاہیے؟,Do you need the charger?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
114,A,ہمیں چارجر چاہیے۔,We need the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
115,A,چارجر کہاں ہے؟,Where is the charger?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
116,A,کیا چارجر یہاں ہے؟,Is the charger here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
117,A,براہِ کرم چارجر لے آئیے۔,Please bring the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
118,B,براہِ کرم مجھے چارجر دیجیے۔,Please give me the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
119,A,میرے پاس چارجر ہے۔,I have the charger.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
120,B,کیا آپ کے پاس چارجر ہے؟,Do you have the charger?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
121,A,مجھے لیپ ٹاپ چاہیے۔,I need the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
122,B,مجھے لیپ ٹاپ نہیں چاہیے۔,I don't need the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
123,B,کیا آپ کو لیپ ٹاپ چاہیے؟,Do you need the laptop?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
124,A,ہمیں لیپ ٹاپ چاہیے۔,We need the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
125,A,لیپ ٹاپ کہاں ہے؟,Where is the laptop?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
126,A,کیا لیپ ٹاپ یہاں ہے؟,Is the laptop here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
127,A,براہِ کرم لیپ ٹاپ لے آئیے۔,Please bring the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
128,B,براہِ کرم مجھے لیپ ٹاپ دیجیے۔,Please give me the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
129,A,میرے پاس لیپ ٹاپ ہے۔,I have the laptop.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
130,B,کیا آپ کے پاس لیپ ٹاپ ہے؟,Do you have the laptop?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
131,A,مجھے کیمرہ چاہیے۔,I need the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
132,B,مجھے کیمرہ نہیں چاہیے۔,I don't need the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
133,B,کیا آپ کو کیمرہ چاہیے؟,Do you need the camera?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
134,A,ہمیں کیمرہ چاہیے۔,We need the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
135,A,کیمرہ کہاں ہے؟,Where is the camera?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
136,A,کیا کیمرہ یہاں ہے؟,Is the camera here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
137,A,براہِ کرم کیمرہ لے آئیے۔,Please bring the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
138,B,براہِ کرم مجھے کیمرہ دیجیے۔,Please give me the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
139,A,میرے پاس کیمرہ ہے۔,I have the camera.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
140,B,کیا آپ کے پاس کیمرہ ہے؟,Do you have the camera?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
141,A,مجھے گھڑی چاہیے۔,I need the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
142,B,مجھے گھڑی نہیں چاہیے۔,I don't need the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
143,B,کیا آپ کو گھڑی چاہیے؟,Do you need the watch?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
144,A,ہمیں گھڑی چاہیے۔,We need the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
145,A,گھڑی کہاں ہے؟,Where is the watch?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
146,A,کیا گھڑی یہاں ہے؟,Is the watch here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
147,A,براہِ کرم گھڑی لے آئیے۔,Please bring the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
148,B,براہِ کرم مجھے گھڑی دیجیے۔,Please give me the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
149,A,میرے پاس گھڑی ہے۔,I have the watch.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
150,B,کیا آپ کے پاس گھڑی ہے؟,Do you have the watch?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
151,B,مجھے چشمہ چاہیے۔,I need the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
152,B,مجھے چشمہ نہیں چاہیے۔,I don't need the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
153,B,کیا آپ کو چشمہ چاہیے؟,Do you need the pair of glasses?,Original controlled learner sentence — UALIS Publishing v1.0.,7,
154,B,ہمیں چشمہ چاہیے۔,We need the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
155,B,چشمہ کہاں ہے؟,Where is the pair of glasses?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
156,B,کیا چشمہ یہاں ہے؟,Is the pair of glasses here?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
157,B,براہِ کرم چشمہ لے آئیے۔,Please bring the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
158,B,براہِ کرم مجھے چشمہ دیجیے۔,Please give me the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
159,B,میرے پاس چشمہ ہے۔,I have the pair of glasses.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
160,B,کیا آپ کے پاس چشمہ ہے؟,Do you have the pair of glasses?,Original controlled learner sentence — UALIS Publishing v1.0.,7,
161,A,مجھے بیگ چاہیے۔,I need the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
162,B,مجھے بیگ نہیں چاہیے۔,I don't need the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
163,B,کیا آپ کو بیگ چاہیے؟,Do you need the bag?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
164,A,ہمیں بیگ چاہیے۔,We need the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
165,A,بیگ کہاں ہے؟,Where is the bag?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
166,A,کیا بیگ یہاں ہے؟,Is the bag here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
167,A,براہِ کرم بیگ لے آئیے۔,Please bring the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
168,B,براہِ کرم مجھے بیگ دیجیے۔,Please give me the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
169,A,میرے پاس بیگ ہے۔,I have the bag.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
170,B,کیا آپ کے پاس بیگ ہے؟,Do you have the bag?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
171,A,مجھے بٹوہ چاہیے۔,I need the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
172,B,مجھے بٹوہ نہیں چاہیے۔,I don't need the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
173,B,کیا آپ کو بٹوہ چاہیے؟,Do you need the wallet?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
174,A,ہمیں بٹوہ چاہیے۔,We need the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
175,A,بٹوہ کہاں ہے؟,Where is the wallet?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
176,A,کیا بٹوہ یہاں ہے؟,Is the wallet here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
177,A,براہِ کرم بٹوہ لے آئیے۔,Please bring the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
178,B,براہِ کرم مجھے بٹوہ دیجیے۔,Please give me the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
179,A,میرے پاس بٹوہ ہے۔,I have the wallet.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
180,B,کیا آپ کے پاس بٹوہ ہے؟,Do you have the wallet?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
181,A,مجھے پرس چاہیے۔,I need the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
182,B,مجھے پرس نہیں چاہیے۔,I don't need the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
183,B,کیا آپ کو پرس چاہیے؟,Do you need the purse?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
184,A,ہمیں پرس چاہیے۔,We need the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
185,A,پرس کہاں ہے؟,Where is the purse?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
186,A,کیا پرس یہاں ہے؟,Is the purse here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
187,A,براہِ کرم پرس لے آئیے۔,Please bring the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
188,B,براہِ کرم مجھے پرس دیجیے۔,Please give me the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
189,A,میرے پاس پرس ہے۔,I have the purse.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
190,B,کیا آپ کے پاس پرس ہے؟,Do you have the purse?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
191,A,مجھے چھتری چاہیے۔,I need the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
192,B,مجھے چھتری نہیں چاہیے۔,I don't need the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
193,B,کیا آپ کو چھتری چاہیے؟,Do you need the umbrella?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
194,A,ہمیں چھتری چاہیے۔,We need the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
195,A,چھتری کہاں ہے؟,Where is the umbrella?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
196,A,کیا چھتری یہاں ہے؟,Is the umbrella here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
197,A,براہِ کرم چھتری لے آئیے۔,Please bring the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
198,B,براہِ کرم مجھے چھتری دیجیے۔,Please give me the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
199,A,میرے پاس چھتری ہے۔,I have the umbrella.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
200,B,کیا آپ کے پاس چھتری ہے؟,Do you have the umbrella?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
201,A,مجھے جیکٹ چاہیے۔,I need the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
202,B,مجھے جیکٹ نہیں چاہیے۔,I don't need the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
203,B,کیا آپ کو جیکٹ چاہیے؟,Do you need the jacket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
204,A,ہمیں جیکٹ چاہیے۔,We need the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
205,A,جیکٹ کہاں ہے؟,Where is the jacket?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
206,A,کیا جیکٹ یہاں ہے؟,Is the jacket here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
207,A,براہِ کرم جیکٹ لے آئیے۔,Please bring the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
208,B,براہِ کرم مجھے جیکٹ دیجیے۔,Please give me the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
209,A,میرے پاس جیکٹ ہے۔,I have the jacket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
210,B,کیا آپ کے پاس جیکٹ ہے؟,Do you have the jacket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
211,A,مجھے کمبل چاہیے۔,I need the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
212,B,مجھے کمبل نہیں چاہیے۔,I don't need the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
213,B,کیا آپ کو کمبل چاہیے؟,Do you need the blanket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
214,A,ہمیں کمبل چاہیے۔,We need the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
215,A,کمبل کہاں ہے؟,Where is the blanket?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
216,A,کیا کمبل یہاں ہے؟,Is the blanket here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
217,A,براہِ کرم کمبل لے آئیے۔,Please bring the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
218,B,براہِ کرم مجھے کمبل دیجیے۔,Please give me the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
219,A,میرے پاس کمبل ہے۔,I have the blanket.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
220,B,کیا آپ کے پاس کمبل ہے؟,Do you have the blanket?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
221,A,مجھے تکیہ چاہیے۔,I need the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
222,B,مجھے تکیہ نہیں چاہیے۔,I don't need the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
223,B,کیا آپ کو تکیہ چاہیے؟,Do you need the pillow?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
224,A,ہمیں تکیہ چاہیے۔,We need the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
225,A,تکیہ کہاں ہے؟,Where is the pillow?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
226,A,کیا تکیہ یہاں ہے؟,Is the pillow here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
227,A,براہِ کرم تکیہ لے آئیے۔,Please bring the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
228,B,براہِ کرم مجھے تکیہ دیجیے۔,Please give me the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
229,A,میرے پاس تکیہ ہے۔,I have the pillow.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
230,B,کیا آپ کے پاس تکیہ ہے؟,Do you have the pillow?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
