rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_analysis,status
91,مجلس,council; board; assembly,True,True,board|council,True,True,assembly|board|council,True,True,verified_strong
92,لماذا,why?,True,True,why,False,False,,True,True,verified
93,أم,or (أَمْ); mother (أُمّ),True,True,mother,True,True,mother,True,True,verified_strong
94,فعل,did; acted,True,False,,True,False,,True,True,explicit_review_required
95,عدد,number; count,True,True,count|number,True,True,count|number,True,True,verified_strong
96,يذهب,goes,False,False,,False,False,,True,True,explicit_review_required
97,أخرى,other; another (feminine),True,False,,False,False,,True,True,explicit_review_required
98,كذلك,likewise; also; in that way,True,True,also|likewise,False,False,,True,True,verified
99,شخص,person,True,True,person,True,True,person,True,True,verified_strong
100,مرة,time; occasion; once,True,True,once|time,True,True,occasion|time,True,True,verified_strong
101,أمس,yesterday,True,True,yesterday,False,False,,True,True,verified
102,حيث,where; in which; whereas,True,True,where|wherea,False,False,,True,True,verified
103,حياة,life,True,True,life,True,True,life,True,True,verified_strong
104,منذ,since; for (a period); ago,True,True,period|since,False,False,,True,True,verified
105,ربما,perhaps; maybe,True,True,maybe|perhap,True,False,,True,True,verified
106,أين,where?,True,True,where,True,False,,True,True,verified
107,جميع,all; everyone; entire,True,True,all|entire,True,True,all,True,True,verified_strong
108,مكان,place; location,True,True,location|place,True,True,location|place,True,True,verified_strong
109,هيا,come on!; let's go!,True,True,come|go|let',True,True,come|go,True,True,verified_strong
110,لو,if; if only; even if (لَوْ),True,True,if|only,False,False,,True,True,verified
111,يبدو,seems; appears,False,False,,False,False,,True,True,explicit_review_required
112,شكرا,thanks; thank you,True,True,thank,False,False,,True,True,verified
113,سبب,reason; cause; caused,True,True,cause|reason,True,True,caus|cause|reason,True,True,verified_strong
114,ابن,son,True,True,son,True,True,son,True,True,verified_strong
115,عند,at; with; by; near,True,True,near,True,False,,True,True,verified
116,أفضل,better; best; preferable,True,True,best|better|preferable,False,False,,True,True,verified
117,تم,was completed; took place; became complete,True,True,complet|place,True,False,,True,True,verified
118,دولة,state; country,True,True,state,True,True,country|state,True,True,verified_strong
119,يعلم,knows; teaches (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
120,عالم,world; scholar; scientist (depending on vocalization),True,True,scholar|scientist|world,True,True,scientist|world,True,True,verified_strong
121,ماضي,past; previous,False,False,,True,True,past,True,True,verified
122,أب,father,True,True,father,True,False,,True,True,verified
123,دون,without; below; short of; recorded/wrote down (دُون / دَوَّن),True,True,below|down|record|without,True,True,down|record,True,True,verified_strong
124,يحب,loves; likes,False,False,,False,False,,True,True,explicit_review_required
125,يعني,means; signifies; concerns,True,True,mean,False,False,,True,True,verified
126,يقوم,stands; gets up; carries out; performs,False,False,,False,False,,True,True,explicit_review_required
127,مرحبا,hello; welcome,True,True,hello|welcome,False,False,,True,True,verified
128,يعمل,works; operates,False,False,,False,False,,True,True,explicit_review_required
129,خير,good; goodness; better/best in some expressions,True,True,best|better|good|goodnes,True,True,good|goodnes,True,True,verified_strong
130,خاصة,special; particular; especially (خاصة),True,True,especially|particular,True,False,,True,True,verified
131,أمام,in front of; before,True,True,before|front,False,False,,True,True,verified
132,شركة,company; firm,True,True,company,True,True,company|firm,True,True,verified_strong
133,حول,around; about; concerning; changed/converted (حَوْل / حَوَّل),True,True,around|convert,True,True,around|chang|concern|convert,True,True,verified_strong
134,أخبر,told; informed; tell!/inform!,True,True,inform,True,True,tell,True,True,verified_strong
135,طريق,road; way; path,True,True,path|road|way,True,True,path|road|way,True,True,verified_strong
136,إلا,except; unless; only (إلّا),True,True,except|only,False,False,,True,True,verified
137,حال,condition; state; situation,True,True,condition|situ|state,True,True,state,True,True,verified_strong
138,نسبة,ratio; percentage; proportion,True,True,percentage|proportion|ratio,True,True,proportion|ratio,True,True,verified_strong
139,أكد,confirmed; affirmed,True,True,affirm|confirm,True,True,affirm|confirm,True,True,verified_strong
140,ثم,then; afterwards,True,True,afterward|then,True,True,afterward|then,True,True,verified_strong
141,تاريخ,date; history,True,True,date|history,True,True,date|history,True,True,verified_strong
142,حقا,really; truly,True,True,truly,True,True,really|truly,True,True,verified_strong
143,أيها,O...! (formal masculine vocative introducer أيها),True,True,vocative,False,False,,True,True,verified
144,منطقة,region; area; zone,True,True,area|zone,True,True,area|region|zone,True,True,verified_strong
145,وضع,situation; status; position; placed/put,True,True,position|put|situ,True,True,plac|position|put|situ|statu,True,True,verified_strong
146,شكل,shape; form; appearance; formed/shaped,True,True,shape,True,True,appearance|shape,True,True,verified_strong
147,صحيح,correct; true; valid,True,True,correct|true|valid,True,True,correct|true,True,True,verified_strong
148,آسف,sorry; regretful,True,True,sorry,True,True,sorry,True,True,verified_strong
149,حكومة,government,True,True,govern,True,True,govern,True,True,verified_strong
150,يحتاج,needs; requires,False,False,,False,False,,True,True,explicit_review_required
151,جانب,side; aspect; beside; alongside,True,True,beside|side,True,True,side,True,True,verified_strong
152,اسم,name,True,True,name,True,True,name,True,True,verified_strong
153,أخير,last; final; recent,True,True,final|last|recent,True,True,last,True,True,verified_strong
154,رائع,wonderful; excellent; great,True,True,great|wonderful,False,False,,True,True,verified
155,دولي,international,True,True,international,False,False,,True,True,verified
156,ناس,people,True,True,people,True,True,people,True,True,verified_strong
157,إدارة,administration; management,True,True,administr|manage,True,True,administr|manage,True,True,verified_strong
158,نشر,publication; publishing; spreading; published/spread,True,True,publish|spread,True,True,public|publish|spread,True,True,verified_strong
159,ثانية,second; a second (unit of time); feminine ordinal 'second',True,True,second|time|unit,True,True,second|time|unit,True,True,verified_strong
160,الذين,who; those who (masculine plural relative pronoun),True,False,,False,False,,True,True,explicit_review_required
161,كلا,"no; certainly not (كَلَّا); both (masculine, كِلَا)",True,True,both|no|not,True,True,no,True,True,verified_strong
162,حق,right; truth; entitlement,True,True,right|truth,True,True,right,True,True,verified_strong
163,مدينة,city,True,True,city,True,True,city,True,True,verified_strong
164,عدم,absence; nonexistence; lack,True,True,absence|lack,True,True,lack|nonexistence,True,True,verified_strong
165,حدث,happened; occurred,True,True,happen,True,True,happen|occurr,True,True,verified_strong
166,اتحاد,union; federation,True,True,union,True,True,union,True,True,verified_strong
167,أولى,first; former; feminine of أول / one of two in certain constructions,True,False,,True,True,first,True,True,verified
168,ليلة,night,True,True,night,True,True,night,True,True,verified_strong
169,مدير,director; manager,True,True,director|manager,True,True,director|manager,True,True,verified_strong
170,سيارة,car; automobile,True,True,automobile|car,True,True,automobile|car,True,True,verified_strong
171,أضاف,added,True,False,,True,False,,True,True,explicit_review_required
172,صغير,small; little; young,True,True,small|young,True,True,small|young,True,True,verified_strong
173,وزير,minister,True,True,minister,True,True,minister,True,True,verified_strong
174,نادي,club,False,False,,True,True,club,True,True,verified
175,قتل,killing; murder; killed,True,True,kill|murder,True,True,kill|murder,True,True,verified_strong
176,دور,role; turn; function,True,True,role|turn,True,True,function|role|turn,True,True,verified_strong
177,بدأ,began; started,True,False,,True,True,start,True,True,verified
178,شأن,matter; affair; concern,True,True,affair|matter,True,True,affair|concern|matter,True,True,verified_strong
179,قام,stood; got up; carried out,True,True,up,True,True,up,True,True,verified_strong
180,مباراة,match; game,True,True,match,True,True,game|match,True,True,verified_strong
181,يأتي,comes; arrives,False,False,,False,False,,True,True,explicit_review_required
182,خارج,outside; external to,True,True,outside,False,False,,True,True,verified
183,منزل,house; home; residence,True,True,house,True,True,home|house|residence,True,True,verified_strong
184,يوجد,exists; is present; there is,False,False,,True,True,exist,True,True,verified
185,مركز,center; centre,True,True,center,True,True,center|centre,True,True,verified_strong
186,لجنة,committee; commission,True,True,commission|committee,True,True,commission|committee,True,True,verified_strong
187,سياسي,politician; political figure,True,True,political|politician,True,True,political|politician,True,True,verified_strong
188,داخل,inside; within,True,True,inside,True,True,inside,True,True,verified_strong
189,قدم,antiquity/oldness; presented/offered (depending on vocalization),True,True,offer,True,True,offer,True,True,verified_strong
190,سنة,year; Sunnah/tradition (depending on vocalization),True,True,tradition|year,True,True,year,True,True,verified_strong
191,يتم,is completed; takes place; is carried out,True,False,,True,False,,True,True,explicit_review_required
192,أمن,secured; ensured; made safe,True,True,safe,True,True,safe,True,True,verified_strong
193,شرطة,police,True,True,police,True,True,police,True,True,verified_strong
194,لذا,therefore; thus; for that reason,False,False,,False,False,,True,True,explicit_review_required
195,عربية,Arabic; Arab (feminine adjective/noun use),True,True,arab|arabic,False,False,,True,True,verified
196,يتحدث,speaks; talks,False,False,,False,False,,True,True,explicit_review_required
197,مقبل,next; coming; forthcoming,True,True,forthcom|next,False,False,,True,True,verified
198,دع,leave!; let!; allow! (دع),True,False,,False,False,,True,True,explicit_review_required
199,يحدث,happens; occurs; updates/tells (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
200,كرة,ball; sphere,True,True,ball|sphere,True,True,ball,True,True,verified_strong
201,يعود,returns; goes back,False,False,,False,False,,True,True,explicit_review_required
202,رأى,saw,True,False,,True,False,,True,True,explicit_review_required
203,حقيقة,truth; fact; reality,True,True,fact|reality|truth,True,True,fact|reality|truth,True,True,verified_strong
204,الله,Allah; God,True,True,god,True,True,allah|god,True,True,verified_strong
205,سعيد,happy; pleased,True,True,happy,True,True,happy,True,True,verified_strong
206,يظن,thinks; supposes,False,False,,False,False,,True,True,explicit_review_required
207,فترة,period; interval,True,True,interval|period,True,True,interval|period,True,True,verified_strong
208,رجال,men,True,False,,True,False,,True,True,explicit_review_required
209,نسوة,women; group of women,True,False,,False,False,,True,True,explicit_review_required
210,أعمال,works; businesses; actions,True,False,,True,True,action|work,True,True,verified
211,مشكلة,problem; issue,True,True,problem,True,True,issue|problem,True,True,verified_strong
212,حالة,state; condition; case,True,True,case|condition|state,True,True,case|condition|state,True,True,verified_strong
213,حزب,party; political party; group,True,True,group|party|political,True,True,party|political,True,True,verified_strong
214,مليون,million,True,True,million,False,False,,True,True,verified
215,حصل,happened/occurred; obtained/got; collected (depending on form),True,True,collect|happen|obtain,True,True,collect|happen|obtain|occurr,True,True,verified_strong
216,يشعر,feels; senses,False,False,,False,False,,True,True,explicit_review_required
217,طلب,request; demand; order; requested/asked,True,True,demand|order|request,True,True,asked|demand|order|request,True,True,verified_strong
218,تحقيق,investigation; achievement/realization (context-dependent),True,True,achieve|investig,True,True,investig|realiz,True,True,verified_strong
219,جميل,beautiful; nice,True,True,beautiful,True,True,beautiful,True,True,verified_strong
220,بيت,house; home,True,True,house,True,True,home|house,True,True,verified_strong
221,هم,concern; worry (هَمّ); note: unvocalized spelling can also represent the pronoun 'they',True,True,concern|they|worry,True,True,concern|worry,True,True,verified_strong
222,وزارة,ministry,True,True,ministry,True,True,ministry,True,True,verified_strong
223,قرار,decision; resolution,True,True,decision,True,True,decision|resolution,True,True,verified_strong
224,رغم,despite; in spite of (رغم),True,False,,True,False,,True,True,explicit_review_required
225,ساعة,hour; watch; clock,True,True,clock|hour|watch,True,True,clock|hour,True,True,verified_strong
226,جاء,came; arrived,True,False,,True,False,,True,True,explicit_review_required
227,أرض,earth; land; ground,True,True,earth|ground|land,True,True,earth|ground|land,True,True,verified_strong
228,يحاول,tries; attempts,False,False,,False,False,,True,True,explicit_review_required
229,عين,eye; spring; individual/notable; appointed/designated (depending on vocalization),True,True,appoint|eye|spring,True,True,appoint|eye|individual|spring,True,True,verified_strong
230,كي,so that; in order that,True,True,order,False,False,,True,True,verified
231,كم,how many?; how much?,True,True,how|many|much,True,True,how|many|much,True,True,verified_strong
232,أيام,days,True,True,days,True,False,,True,True,verified
233,أصبح,became; came to be,True,False,,True,False,,True,True,explicit_review_required
234,حسب,calculated; counted; considered/thought (depending on vocalization),True,True,consider,True,True,calculat|consider|count,True,True,verified_strong
235,دائما,always,True,True,alway,False,False,,True,True,verified
236,انظر,look!; see!,False,False,,False,False,,True,True,explicit_review_required
237,طريقة,way; method; manner,True,True,manner|method|way,True,True,manner|method|way,True,True,verified_strong
238,فيما,in what; concerning what; while/insofar as (فيما),True,True,what|while,False,False,,True,True,verified
239,صديق,friend,True,True,friend,True,True,friend,True,True,verified_strong
240,عرض,presented; offered; displayed,True,True,display|offer,True,True,display|offer,True,True,verified_strong
241,أبدا,ever; never (with negation); at all,True,True,all|never,False,False,,True,True,verified
242,هدف,goal; target; objective,True,True,goal|objective|target,True,True,goal|objective|target,True,True,verified_strong
243,يعد,counts; is considered; prepares (depending on vocalization),False,False,,False,False,,True,True,explicit_review_required
244,وجود,existence; presence,True,True,existence,True,True,existence|presence,True,True,verified_strong
245,نهاية,end; ending; conclusion,True,True,end,True,True,conclusion|end|ending,True,True,verified_strong
246,مجموعة,group; collection; set,True,True,collection|group,True,True,collection|group|set,True,True,verified_strong
247,دول,countries; states,True,False,,True,True,country,True,True,verified
248,فقد,loss; absence; losing (فَقْد),True,False,,True,True,losing|loss,True,True,verified
249,مختلف,different; various,True,True,different,False,False,,True,True,verified
250,ألف,authored; composed; compiled,True,True,author,True,True,author,True,True,verified_strong
251,نائب,deputy; vice-president; representative,True,True,deputy|representative,False,False,,True,True,verified
252,أسبوع,week,True,True,week,True,True,week,True,True,verified_strong
253,قانون,law,True,True,law,True,True,law,True,True,verified_strong
254,مستوى,level; standard,True,True,level|standard,True,True,level,True,True,verified_strong
255,قطاع,sector,True,True,sector,True,True,sector,True,True,verified_strong
256,نظام,system; regime,True,True,regime|system,True,True,system,True,True,verified_strong
257,مازال,still was/is; continued to be (ما زال),False,False,,False,False,,True,True,explicit_review_required
258,مساعدة,help; assistance,True,True,help,True,True,assistance|help,True,True,verified_strong
259,يحصل,gets; obtains; happens; collects/achieves (depending on form),False,False,,False,False,,True,True,explicit_review_required
260,شهر,month,True,True,month,True,True,month,True,True,verified_strong
261,فني,technician; technical/specialized (depending on use),True,True,specializ|technical|technician,True,False,,True,True,verified
262,صفحة,page,True,True,page,True,True,page,True,True,verified_strong
263,عامة,general; public; in general,True,True,general,True,False,,True,True,verified
264,تحت,under; below,True,True,below|under,False,False,,True,True,verified
265,حين,when; while; time,True,True,time|when,True,False,,True,True,verified
266,قليل,little; few; small amount,True,True,few|little,False,False,,True,True,verified
267,نحو,toward; about; approximately,True,True,about|toward,True,False,,True,True,verified
268,أطفال,children,True,False,,True,False,,True,True,explicit_review_required
269,لابد,must; necessarily; inevitably (لا بُدَّ),False,False,,False,False,,True,True,explicit_review_required
270,نوع,type; kind; form,True,True,type,True,True,kind|type,True,True,verified_strong
271,منتخب,team; national/select team; elected/selected (context-dependent),True,True,elect|national|team,True,True,elect|select,True,True,verified_strong
272,شيخ,sheikh; elder; senior man,True,True,elder|man,True,True,man,True,True,verified_strong
273,مشروع,project; plan,True,True,project,True,True,project,True,True,verified_strong
274,أشياء,things,True,False,,True,True,things,True,True,verified
275,وحيد,only; lone; unique; lonely,True,True,lonely|only|unique,False,False,,True,True,verified
276,صباح,morning; in the morning,True,True,morn,True,True,morn,True,True,verified_strong
277,شعب,people; nation; populace,True,True,nation|people,True,True,nation|people,True,True,verified_strong
278,يأخذ,takes; receives,False,False,,False,False,,True,True,explicit_review_required
279,يجد,finds,False,False,,False,False,,True,True,explicit_review_required
280,توقف,stopped; halted; stop!,True,True,stop|stopp,True,True,halt|stop,True,True,verified_strong
281,لأن,because; because of the fact that (لأن),True,True,because,True,False,,True,True,verified
282,بطولة,championship; tournament,True,True,championship,False,False,,True,True,verified
283,هيئة,body; authority; commission; organization,True,True,organiz,True,False,,True,True,verified
284,عملية,process; operation,True,True,oper|proces,True,True,oper|proces,True,True,verified_strong
285,طويل,long; tall,True,True,long|tall,False,False,,True,True,verified
286,بل,rather; but; instead,True,True,but|rather,True,True,but,True,True,verified_strong
287,تأكيد,confirmation; emphasis,True,True,confirm,True,True,confirm|emphasi,True,True,verified_strong
288,إذن,then; therefore; in that case (إذن),True,True,then|therefore,True,False,,True,True,verified
289,أمور,matters; affairs; things,True,False,,True,True,affair|matter,True,True,verified
290,فوز,victory; winning,True,True,victory,True,True,victory,True,True,verified_strong
291,أقل,less; least; fewer,True,True,fewer|least|less,False,False,,True,True,verified
292,ألا,attention/emphasis particle; also unvocalized form of أَلَّا 'that not',True,True,not,False,False,,True,True,verified
293,شباب,youth; young people,True,True,youth,True,True,people|young|youth,True,True,verified_strong
294,حقيقي,real; genuine; true,True,True,real|true,True,True,real|true,True,True,verified_strong
295,كامل,complete; full; entire,True,True,complete|entire|full,False,False,,True,True,verified
296,لاعب,player; sport/game player,True,True,player,True,True,game|player|sport,True,True,verified_strong
297,انتظر,waited; wait!,True,True,wait,True,True,wait,True,True,verified_strong
298,شركات,companies,True,False,,False,False,,True,True,explicit_review_required
299,مما,from/of what; from/of which (a contraction of مِن and ما),True,True,what,False,False,,True,True,verified
300,سابق,previous; former; preceding; competed/raced (depending on vocalization),True,True,former|preced|previou,True,False,,True,True,verified
301,غرفة,room; chamber,True,True,chamber|room,True,True,chamber|room,True,True,verified_strong
302,مال,money; wealth; leaned/inclined (depending on vocalization),True,True,inclin|lean|money|wealth,True,True,inclin|lean|money|wealth,True,True,verified_strong
303,يجعل,makes; renders; causes,False,False,,False,False,,True,True,explicit_review_required
304,مشاركة,participation; sharing,True,True,particip,True,True,particip|shar,True,True,verified_strong
305,عزيز,dear; precious; respected,True,True,dear|preciou,True,True,dear,True,True,verified_strong
306,إله,god; deity,True,True,deity|god,True,True,deity|god,True,True,verified_strong
307,رؤية,vision; seeing; view,True,True,seeing|view|vision,True,True,seeing|vision,True,True,verified_strong
308,وجه,face; direction; aspect; directed,True,True,aspect|direct|face,True,True,aspect|direct|direction|face,True,True,verified_strong
309,ضد,against; opposite,True,True,against|opposite,True,True,opposite,True,True,verified_strong
310,خاص,special; private; particular,True,True,particular|private|special,True,True,particular|special,True,True,verified_strong
311,يبقى,remains; stays,False,False,,False,False,,True,True,explicit_review_required
312,لقاء,meeting; encounter,True,True,encounter|meet,True,True,encounter|meet,True,True,verified_strong
313,عودة,return; comeback,True,True,return,True,True,return,True,True,verified_strong
314,أكبر,bigger; larger; greatest; largest,True,True,bigger|greatest|larger|largest,True,False,,True,True,verified
315,قوات,forces; troops,True,False,,False,False,,True,True,explicit_review_required
316,نقل,transfer; transport; transmission; transferred/moved,True,True,transfer|transport,True,True,transfer|transferr|transmission|transport,True,True,verified_strong
317,يصل,arrives; reaches,False,False,,False,False,,True,True,explicit_review_required
318,إضافة,addition; adding,True,True,addition,True,True,addition,True,True,verified_strong
319,رأس,head; top; headed/presided,True,True,head|top,True,True,head|presid|top,True,True,verified_strong
320,حسن,goodness; beauty; became good (depending on vocalization),True,True,beauty|good|goodnes,True,True,beauty|good,True,True,verified_strong
321,فكرة,idea; thought,True,True,idea|thought,True,True,idea|thought,True,True,verified_strong
322,أخذ,taking; took,True,True,taking,True,True,taking,True,True,verified_strong
323,أشار,indicated; pointed out; referred to,True,True,out|point,True,True,out|point,True,True,verified_strong
324,فتاة,girl; young woman,True,True,girl|young,True,True,girl|woman|young,True,True,verified_strong
325,حركة,movement; motion,True,True,motion|move,True,True,motion|move,True,True,verified_strong
326,هكذا,like this; thus; in this way,True,True,like|thus|way,False,False,,True,True,verified
327,قوة,strength; force; power,True,True,force|power|strength,True,True,force|power|strength,True,True,verified_strong
328,برنامج,program; programme,True,True,program,True,True,program|programme,True,True,verified_strong
329,حصول,occurrence; obtaining; acquisition,True,False,,True,True,occurrence,True,True,verified
330,ذهب,gold; went (depending on vocalization),True,True,gold,True,True,gold,True,True,verified_strong
331,يبدأ,begins; starts,False,False,,False,False,,True,True,explicit_review_required
332,ذات,self/same; possessing (in constructions such as ذات),True,True,same|self,True,True,same|self,True,True,verified_strong
333,تحدث,speaking; conversation; spoke/talked,True,True,speak|talk,True,True,convers|speak|talk,True,True,verified_strong
334,وصل,arrived; reached; connected,True,True,connect|reach,True,True,arriv|connect|reach,True,True,verified_strong
335,علم,knowledge; science; flag; taught/instructed (depending on vocalization),True,True,flag|instruct|knowledge|science,True,True,flag|instruct|knowledge|science,True,True,verified_strong
336,أما,as for; whereas; as regards (أَمَّا),True,True,as for,False,False,,True,True,verified
337,أعلن,announced; declared,True,False,,True,False,,True,True,explicit_review_required
338,إطلاقا,at all; absolutely,False,False,,False,False,,True,True,explicit_review_required
339,تماما,completely; entirely; exactly,True,True,completely|exactly,False,False,,True,True,verified
340,فرصة,opportunity; chance,True,True,chance|opportunity,True,True,chance|opportunity,True,True,verified_strong
341,بحث,research; search; searched/researched,True,True,research|search,True,True,research|search,True,True,verified_strong
342,يخرج,goes out; exits; leaves,False,False,,False,False,,True,True,explicit_review_required
343,حكم,judgment; ruling; government; ruled/judged,True,True,govern|judg,True,True,govern|judg,True,True,verified_strong
344,طفل,child,True,True,child,True,True,child,True,True,verified_strong
345,قضية,case; issue; cause,True,True,case|cause|issue,True,True,case|cause|issue,True,True,verified_strong
346,أعلى,higher; highest; upper,True,True,higher|highest|upper,True,True,higher,True,True,verified_strong
