front,frequency,reason
réexpliquer,0,no_kaikki_entry
jettez,0,lexique_kaikki_pos_mismatch
poke,0,no_kaikki_entry
averti,0,lexique_kaikki_pos_mismatch
allègeront,0,lexique_kaikki_pos_mismatch
nazillon,0,no_kaikki_entry
informant,0,lexique_kaikki_pos_mismatch
pistonné,0,lexique_kaikki_pos_mismatch
vreneli,0,no_kaikki_entry
allodynie,0,no_kaikki_entry
raimerais,0,no_kaikki_entry
zzzz,0,no_kaikki_entry
knicker,0.056999999999999995,no_safe_learner_meaning
germé,0,lexique_kaikki_pos_mismatch
autogéré,0,lexique_kaikki_pos_mismatch
supple,0,no_kaikki_entry
déstressant,0,lexique_kaikki_pos_mismatch
cocufieur,0,no_kaikki_entry
emplafonner,0,no_kaikki_entry
remouler,0,no_kaikki_entry
court-circuits,0,no_kaikki_entry
phyla,0,no_kaikki_entry
spoilé,0,lexique_kaikki_pos_mismatch
cachère,0,no_kaikki_entry
bistouquette,0,no_kaikki_entry
expulsé,0,lexique_kaikki_pos_mismatch
mi-salaire,0,no_kaikki_entry
notifié,0,lexique_kaikki_pos_mismatch
renieur,0,no_kaikki_entry
pick-up,0,no_kaikki_entry
tazer,0,lexique_kaikki_pos_mismatch
sextillion,0,lexique_kaikki_pos_mismatch
jésuite,0,lexique_kaikki_pos_mismatch
ostéoderme,0,no_kaikki_entry
griffé,0,lexique_kaikki_pos_mismatch
acceptè,0,no_kaikki_entry
remater,0,no_kaikki_entry
boudeuse,0,lexique_kaikki_pos_mismatch
déactivé,0,no_kaikki_entry
koran,0,no_kaikki_entry
janv,0,no_kaikki_entry
antipodal,0,no_kaikki_entry
mécomprenez,0,no_kaikki_entry
soman,0,no_kaikki_entry
enquiquinant,0,lexique_kaikki_pos_mismatch
taffs,0,no_kaikki_entry
recos,0,no_kaikki_entry
wagon-lits,0,no_kaikki_entry
infectation,0,no_kaikki_entry
émiettage,0,no_kaikki_entry
cabaner,0,no_kaikki_entry
pommé,0,lexique_kaikki_pos_mismatch
jointer,0,no_kaikki_entry
gangréné,0,lexique_kaikki_pos_mismatch
chenins,0.003,no_safe_learner_meaning
pétrifié,0,lexique_kaikki_pos_mismatch
hs,1.69,no_safe_learner_meaning
non-retour,0,no_kaikki_entry
japonisant,0,lexique_kaikki_pos_mismatch
récréationnels,0,lexique_kaikki_pos_mismatch
gaveur,0,no_kaikki_entry
alios,0,no_kaikki_entry
rapeur,0,no_kaikki_entry
répété,0,lexique_kaikki_pos_mismatch
freemium,0,no_kaikki_entry
ramette,0,no_kaikki_entry
chanteuse-vedette,0,no_kaikki_entry
puruler,0,no_kaikki_entry
procèderons,0,no_kaikki_entry
demi-dose,0,no_kaikki_entry
dogger,0,no_kaikki_entry
fla,0,no_kaikki_entry
mayaniste,0,no_kaikki_entry
supervisation,0,no_kaikki_entry
incarcéré,0,lexique_kaikki_pos_mismatch
cente,0,no_kaikki_entry
antéropostérieur,0,no_kaikki_entry
cachotière,0,no_kaikki_entry
tack,0,no_kaikki_entry
planté,0,lexique_kaikki_pos_mismatch
kachina,0.006,no_safe_learner_meaning
busculé,0,no_kaikki_entry
dunke,0,no_kaikki_entry
matter,1.1409999999999996,no_safe_learner_meaning
flouterons,0,no_kaikki_entry
déclarant,0,lexique_kaikki_pos_mismatch
gonder,0,no_kaikki_entry
simaruba,0,no_kaikki_entry
çuilà,0,no_kaikki_entry
popinée,0,no_kaikki_entry
mégavolts,0.003,no_safe_learner_meaning
démite,0,no_kaikki_entry
covoitureurs,0,no_kaikki_entry
scone,0,no_kaikki_entry
tartent,0,no_kaikki_entry
démaquer,0,no_kaikki_entry
déterreur,0,no_kaikki_entry
bourder,0,no_kaikki_entry
spa,0,lexique_kaikki_pos_mismatch
intitulation,0,no_kaikki_entry
posage,0,no_kaikki_entry
shin,0,no_kaikki_entry
recanaliser,0,no_kaikki_entry
mamy,0.841,no_safe_learner_meaning
av,0.424,no_safe_learner_meaning
déféminisation,0,no_kaikki_entry
extra-scolaire,0,no_kaikki_entry
cute,0,no_kaikki_entry
ferrants,0,no_kaikki_entry
recalibrer,0,no_kaikki_entry
révèlerai,0,lexique_kaikki_pos_mismatch
coupailler,0,no_kaikki_entry
forfais,0,no_kaikki_entry
facsimilés,0.003,no_safe_learner_meaning
réencoder,0,no_kaikki_entry
remue,0,lexique_kaikki_pos_mismatch
désharmonisée,0,no_kaikki_entry
bootée,0,no_kaikki_entry
intouché,0,no_kaikki_entry
hydatique,0,no_kaikki_entry
interim,0,no_kaikki_entry
sr,0.057,no_safe_learner_meaning
irradiant,0,lexique_kaikki_pos_mismatch
bambino,0,no_kaikki_entry
dragouillé,0,no_kaikki_entry
refacturer,0,no_kaikki_entry
empiètera,0,lexique_kaikki_pos_mismatch
placentophagie,0,no_kaikki_entry
lycaon,0,no_kaikki_entry
pomelo,0.027999999999999997,no_safe_learner_meaning
tirailleur,0,no_kaikki_entry
filtreur,0,lexique_kaikki_pos_mismatch
échafaudeur,0,no_kaikki_entry
lainer,0,no_kaikki_entry
grand-prêtre,0,no_kaikki_entry
courriellera,0,lexique_kaikki_pos_mismatch
regarer,0,no_kaikki_entry
bastaing,0.003,no_safe_learner_meaning
maitriseras,0,lexique_kaikki_pos_mismatch
resoude,0,no_kaikki_entry
crasser,0,no_kaikki_entry
sycophant,0,no_kaikki_entry
numéroté,0,lexique_kaikki_pos_mismatch
houspilleur,0,no_kaikki_entry
accompagné,0,lexique_kaikki_pos_mismatch
texteras,0,no_kaikki_entry
révolté,0,lexique_kaikki_pos_mismatch
taifa,0,no_kaikki_entry
floppé,0,no_kaikki_entry
crêpage,0,no_kaikki_entry
broncho,0,no_kaikki_entry
callage,0,no_kaikki_entry
soulais,0,lexique_kaikki_pos_mismatch
rep,0,lexique_kaikki_pos_mismatch
sudatoire,0,no_kaikki_entry
sternotomie,0,no_kaikki_entry
sclères,0.003,no_safe_learner_meaning
speeder,0,no_kaikki_entry
évaluateur,0,no_kaikki_entry
alterné,0,lexique_kaikki_pos_mismatch
quatrillion,0,lexique_kaikki_pos_mismatch
nonante-neuf,0,lexique_kaikki_pos_mismatch
éventement,0,no_kaikki_entry
slaques,0,no_kaikki_entry
mannette,0,no_kaikki_entry
énergisons,0,lexique_kaikki_pos_mismatch
dégressivement,0,no_kaikki_entry
bourreler,0,no_kaikki_entry
réinnerver,0,no_kaikki_entry
waouh,0,lexique_kaikki_pos_mismatch
femme-robot,0,no_kaikki_entry
semencé,0,no_kaikki_entry
triquer,0,no_kaikki_entry
reservons,0,no_kaikki_entry
germano-américain,0,no_kaikki_entry
syncrétise,0,no_kaikki_entry
tournedos,0,no_kaikki_entry
herpe,0,no_kaikki_entry
neuro-anatomie,0,no_kaikki_entry
coupon-réponse,0,no_kaikki_entry
léchouiller,0,no_kaikki_entry
cavette,0,no_kaikki_entry
pichons,0.003,no_safe_learner_meaning
flat,0,no_kaikki_entry
soixante-treize,0,lexique_kaikki_pos_mismatch
attachage,0,no_kaikki_entry
presseur,0,no_kaikki_entry
néo-fasciste,0,no_kaikki_entry
ébouillanté,0,lexique_kaikki_pos_mismatch
franco-belge,0,no_kaikki_entry
inévitabilité,0,no_kaikki_entry
minibar,0,no_kaikki_entry
urinage,0,no_kaikki_entry
après-coup,0,no_kaikki_entry
abimera,0,lexique_kaikki_pos_mismatch
infarci,0,no_kaikki_entry
pipo,0,no_kaikki_entry
préembarquement,0,no_kaikki_entry
harnaché,0,lexique_kaikki_pos_mismatch
embedded,0,no_kaikki_entry
contre-manifestant,0,no_kaikki_entry
poupinette,0,no_kaikki_entry
diplômant,0,lexique_kaikki_pos_mismatch
autodéfendre,0,no_kaikki_entry
concourant,0,lexique_kaikki_pos_mismatch
multivariable,0,no_kaikki_entry
cryotechnique,0,no_kaikki_entry
antiimpliquer,0,no_kaikki_entry
déraillage,0,no_kaikki_entry
bécasson,0,no_kaikki_entry
bottom,0,lexique_kaikki_pos_mismatch
mûs,0,no_kaikki_entry
replanifier,0,no_kaikki_entry
règlerait,0,no_kaikki_entry
approché,0,lexique_kaikki_pos_mismatch
manman,0,no_kaikki_entry
traîne-misère,0,no_kaikki_entry
nipper,0,no_kaikki_entry
môman,0,no_kaikki_entry
amanchés,0,no_kaikki_entry
planère,0.006,no_safe_learner_meaning
trick,0,no_kaikki_entry
planking,0,no_kaikki_entry
incommodant,0,lexique_kaikki_pos_mismatch
intoxiqué,0,lexique_kaikki_pos_mismatch
cordonner,0.037,no_safe_learner_meaning
câle,0,no_kaikki_entry
interposé,0,lexique_kaikki_pos_mismatch
aéronavale,0,lexique_kaikki_pos_mismatch
bodybuildé,0,no_kaikki_entry
tt,0,no_kaikki_entry
friter,0,no_kaikki_entry
bronchospasme,0,no_kaikki_entry
bleutage,0,no_kaikki_entry
bikers,0.392,no_safe_learner_meaning
bolchevik,0,lexique_kaikki_pos_mismatch
recapturer,0,no_kaikki_entry
vader,0,lexique_kaikki_pos_mismatch
privacité,0,no_kaikki_entry
téléport,0,no_kaikki_entry
cancérogène,0.016,no_safe_learner_meaning
réénergiser,0,no_kaikki_entry
schproum,0,no_kaikki_entry
vingt-trois,0,lexique_kaikki_pos_mismatch
réagencer,0,no_kaikki_entry
fuligule,0,no_kaikki_entry
piétage,0,no_kaikki_entry
covalence,0,no_kaikki_entry
palpeur,0,no_kaikki_entry
premier-maitre,0,no_kaikki_entry
magico,0,no_kaikki_entry
réopérer,0,no_kaikki_entry
ulcéré,0,lexique_kaikki_pos_mismatch
downloader,0,no_kaikki_entry
désérotiser,0,no_kaikki_entry
baboune,0,no_kaikki_entry
classieuses,0,no_kaikki_entry
chaté,0,no_kaikki_entry
pianocktail,0,no_kaikki_entry
acupression,0,no_kaikki_entry
gastroentérite,0,no_kaikki_entry
tribals,0,lexique_kaikki_pos_mismatch
jos,0,no_kaikki_entry
étayage,0,no_kaikki_entry
gougounes,0.025,no_safe_learner_meaning
caquèterait,0,no_kaikki_entry
ultra-violets,0,no_kaikki_entry
screening,0,no_kaikki_entry
fenwick,0,no_kaikki_entry
gan,0,no_kaikki_entry
déscotcher,0,no_kaikki_entry
angleterre,0,lexique_kaikki_pos_mismatch
ultra-orthodoxe,0,no_kaikki_entry
chélaté,0,lexique_kaikki_pos_mismatch
finish,0,no_kaikki_entry
tjrs,0,no_kaikki_entry
enténébrer,0,no_kaikki_entry
roquet,0,no_kaikki_entry
psychonautes,0.003,no_safe_learner_meaning
imparti,0,lexique_kaikki_pos_mismatch
pom-pom,0,no_kaikki_entry
réouvrer,0,no_kaikki_entry
désendoctrinement,0,no_kaikki_entry
seccotine,0,no_kaikki_entry
enrayè,0,no_kaikki_entry
réenfoncer,0,no_kaikki_entry
amphitrite,0,no_kaikki_entry
modif,0,no_kaikki_entry
calbuts,0,no_kaikki_entry
tenté,0,lexique_kaikki_pos_mismatch
grêlé,0,lexique_kaikki_pos_mismatch
diffusant,0,lexique_kaikki_pos_mismatch
ventriculostomie,0,no_kaikki_entry
entasseur,0,no_kaikki_entry
ballottè,0,no_kaikki_entry
stents,0,no_kaikki_entry
carabosse,0,no_kaikki_entry
roberge,0,lexique_kaikki_pos_mismatch
suggestionner,0,no_kaikki_entry
après-vente,0,no_kaikki_entry
sanshin,0,no_kaikki_entry
maitriserons,0,lexique_kaikki_pos_mismatch
endolorir,0,no_kaikki_entry
pachinko,0,no_kaikki_entry
défiscalisation,0,no_kaikki_entry
styrax,0,no_kaikki_entry
psychonévrotique,0,no_kaikki_entry
négril,0,no_kaikki_entry
insinuant,0,lexique_kaikki_pos_mismatch
slims,0,no_kaikki_entry
dorée,0,lexique_kaikki_pos_mismatch
prolifère,0,lexique_kaikki_pos_mismatch
clavière,0,no_kaikki_entry
cimentage,0,no_kaikki_entry
longeole,0,no_kaikki_entry
coussinée,0,no_kaikki_entry
neurovasculaire,0,lexique_kaikki_pos_mismatch
xénogenèse,0,no_kaikki_entry
tasers,0,no_kaikki_entry
trente-trois,0,lexique_kaikki_pos_mismatch
yeah,0,no_kaikki_entry
dodelinant,0,lexique_kaikki_pos_mismatch
cytokine,0,no_kaikki_entry
tweets,0.706,no_safe_learner_meaning
buisson-ardent,0,no_kaikki_entry
underscore,0,no_kaikki_entry
obscurcissement,0,no_kaikki_entry
bêlant,0,lexique_kaikki_pos_mismatch
soulerait,0,lexique_kaikki_pos_mismatch
typer,0,no_kaikki_entry
refusé,0,lexique_kaikki_pos_mismatch
beluga,0,no_kaikki_entry
salchow,0,no_kaikki_entry
riffle,0,no_kaikki_entry
agité,0,lexique_kaikki_pos_mismatch
alma,0,no_kaikki_entry
archi-faux,0,no_kaikki_entry
suppo,0,no_kaikki_entry
qualifiant,0,lexique_kaikki_pos_mismatch
remontage,0,no_kaikki_entry
bitché,0,no_kaikki_entry
onctuosité,0,no_kaikki_entry
nourrisseur,0,no_kaikki_entry
trashs,0,no_kaikki_entry
messer,0,no_kaikki_entry
inféodé,0,lexique_kaikki_pos_mismatch
séropo,0,no_kaikki_entry
carbamate,0,no_kaikki_entry
persévèreront,0,no_kaikki_entry
comebacks,0,no_kaikki_entry
convergent,0,lexique_kaikki_pos_mismatch
hémolyser,0,no_kaikki_entry
possèderai,0,no_kaikki_entry
deb,0,no_kaikki_entry
dhoti,0,no_kaikki_entry
schneck,0.013,no_safe_learner_meaning
pimenté,0,lexique_kaikki_pos_mismatch
criaillement,0,no_kaikki_entry
lacérantes,0,no_kaikki_entry
roboticien,0,no_kaikki_entry
rejeté,0,lexique_kaikki_pos_mismatch
tampe,0,no_kaikki_entry
narrativement,0,no_kaikki_entry
standup,0,no_kaikki_entry
tala,0,lexique_kaikki_pos_mismatch
trévise,0,lexique_kaikki_pos_mismatch
déchiré,0,lexique_kaikki_pos_mismatch
désincarnation,0,no_kaikki_entry
cryogénisés,0,no_kaikki_entry
mandat-carte,0,no_kaikki_entry
sherlockiens,0,lexique_kaikki_pos_mismatch
anti-gel,0,no_kaikki_entry
pilou,0,lexique_kaikki_pos_mismatch
lègueront,0,no_kaikki_entry
quatre-vingt-onze,0,lexique_kaikki_pos_mismatch
shogunat,0,no_kaikki_entry
neurorécepteur,0,no_kaikki_entry
pissette,0,no_kaikki_entry
dinent,0,lexique_kaikki_pos_mismatch
biostimulant,0,no_kaikki_entry
encharger,0,no_kaikki_entry
phényléthylamines,0,no_kaikki_entry
métrosexualité,0,no_kaikki_entry
kilobit,0,no_kaikki_entry
blackjack,0,no_kaikki_entry
tomer,0,no_kaikki_entry
crouteuse,0,no_kaikki_entry
débecquage,0,no_kaikki_entry
maintenable,0,no_kaikki_entry
cranberries,0,no_kaikki_entry
studiolo,0,no_kaikki_entry
comporte,0,lexique_kaikki_pos_mismatch
ensorcelé,0,lexique_kaikki_pos_mismatch
muya,0,no_kaikki_entry
stylo-bille,0,no_kaikki_entry
provende,0,no_kaikki_entry
rêvasseur,0,no_kaikki_entry
cafeter,0,no_kaikki_entry
radiobiologiste,0,no_kaikki_entry
storé,0,no_kaikki_entry
auto-allumage,0.006,no_safe_learner_meaning
bananiser,0,no_kaikki_entry
pic-vert,0.079,no_safe_learner_meaning
demi-tarif,0,no_kaikki_entry
aliénant,0,lexique_kaikki_pos_mismatch
poêlonne,0,no_kaikki_entry
frenchie,0,no_kaikki_entry
palpabilité,0,no_kaikki_entry
aide-jardinier,0,no_kaikki_entry
bruisser,0.19,no_safe_learner_meaning
rattendez,0,no_kaikki_entry
étasunien,0.08499999999999999,no_safe_learner_meaning
vingt-quatre,0,lexique_kaikki_pos_mismatch
là-devant,0,no_kaikki_entry
neo,0,no_kaikki_entry
ecstasy,0,no_kaikki_entry
tune,1.4300000000000002,no_safe_learner_meaning
revivifié,0,lexique_kaikki_pos_mismatch
collapsus,0,no_kaikki_entry
charioter,0,no_kaikki_entry
ano-rectal,0,no_kaikki_entry
bats,0,lexique_kaikki_pos_mismatch
demi-nu,0,no_kaikki_entry
prescriptif,0,no_kaikki_entry
renégociable,0,no_kaikki_entry
tasée,0,no_kaikki_entry
varloper,0,no_kaikki_entry
cv,0.19,no_safe_learner_meaning
carjackés,0,no_kaikki_entry
tourne,0,lexique_kaikki_pos_mismatch
redressage,0,no_kaikki_entry
surcompressé,0,no_kaikki_entry
biofilms,0,no_kaikki_entry
planchodrome,0,no_kaikki_entry
célèbrerez,0,lexique_kaikki_pos_mismatch
déterré,0,lexique_kaikki_pos_mismatch
ua,0.022,no_safe_learner_meaning
jet-setteur,0,no_kaikki_entry
portefolio,0,no_kaikki_entry
chefs-lieux,0.003,no_safe_learner_meaning
gommé,0,lexique_kaikki_pos_mismatch
navire-usine,0,no_kaikki_entry
crotchon,0,no_kaikki_entry
à-propos,0,no_kaikki_entry
double-cliquer,0,no_kaikki_entry
réoxygénant,0,no_kaikki_entry
croup,0,no_kaikki_entry
strikes,0,no_kaikki_entry
antibourgeois,0,no_kaikki_entry
tape-à-l'oeil,0,no_kaikki_entry
tefillin,0,no_kaikki_entry
empoisser,0,no_kaikki_entry
viagra,0,no_kaikki_entry
psychothérapeutique,0,no_kaikki_entry
plaidant,0,lexique_kaikki_pos_mismatch
recasser,0,no_kaikki_entry
paraffine,0,lexique_kaikki_pos_mismatch
requêter,0,no_kaikki_entry
slick,0,no_kaikki_entry
brutalisme,0,no_kaikki_entry
dessaisir,0.249,no_safe_learner_meaning
gniard,0.019,no_safe_learner_meaning
scouteurs,0,no_kaikki_entry
glycosylés,0,no_kaikki_entry
déboulé,0,lexique_kaikki_pos_mismatch
weekends,0,no_kaikki_entry
manoeuvrer,0,no_kaikki_entry
redéfiler,0,no_kaikki_entry
maffé,0,no_kaikki_entry
chondrite,0,no_kaikki_entry
réhausses,0,lexique_kaikki_pos_mismatch
confirmé,0,lexique_kaikki_pos_mismatch
bop,0,no_kaikki_entry
gainé,0,lexique_kaikki_pos_mismatch
hyperkinétique,0,no_kaikki_entry
maul,0,no_kaikki_entry
envenimé,0,lexique_kaikki_pos_mismatch
micromonde,0,no_kaikki_entry
tabès,0,no_kaikki_entry
contigües,0,lexique_kaikki_pos_mismatch
hata,0,no_kaikki_entry
