rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_exact,status
1436,مؤمن,believer,True,False,,False,False,,True,True,explicit_review_required
1437,صلاحية,practicability; viability; competence,True,False,,False,False,,True,True,explicit_review_required
1443,تلقى,be delivered; be thrown,True,False,,True,False,,True,True,explicit_review_required
1445,رمضاني,Ramadan-related,True,False,,False,False,,True,True,explicit_review_required
1451,منهج,method; approach; program,True,False,,True,False,,True,True,explicit_review_required
1453,باقي,remaining,False,False,,False,False,,True,True,explicit_review_required
1468,لي,distortion; contortion,True,False,,False,False,,True,True,explicit_review_required
1470,تحدي,challenge,False,False,,False,False,,True,True,explicit_review_required
1472,محدد,set; determined; defined,True,False,,True,False,,True,True,explicit_review_required
1478,غذائي,food; alimentary; nutritional,False,False,,False,False,,True,True,explicit_review_required
1481,تفعيل,scansion,True,False,,False,False,,True,True,explicit_review_required
1505,ترفيهي,entertainment; recreation; amusement,True,False,,False,False,,True,True,explicit_review_required
1514,منزلي,domestic; household,False,False,,False,False,,True,True,explicit_review_required
1520,بنية,intention; purpose; desire,True,False,,True,False,,True,True,explicit_review_required
1535,متوقع,expected; anticipated,False,False,,True,False,,True,True,explicit_review_required
1536,سيما,especially,True,False,,False,False,,True,True,explicit_review_required
1547,آبد,non-migratory; sedentary,True,False,,False,False,,True,True,explicit_review_required
1551,صادر,issued; published,True,False,,True,False,,True,True,explicit_review_required
1558,مالك,money; capital; funds,True,False,,True,False,,True,True,explicit_review_required
1563,ذاتي,autonomous; self,True,False,,False,False,,True,True,explicit_review_required
1566,مديرية,administration; management,True,False,,True,False,,True,True,explicit_review_required
1580,طرح,suggestion; proposal,True,False,,True,False,,True,True,explicit_review_required
1585,ثنائي,bilateral; dual,True,False,,False,False,,True,True,explicit_review_required
1604,تجميل,embellishment,True,False,,False,False,,True,True,explicit_review_required
1607,كافي,kaf (Arabic letter),False,False,,True,False,,True,True,explicit_review_required
1609,سماح,magnanimous,True,False,,True,False,,True,True,explicit_review_required
1611,تحديث,updating; renewing,True,False,,False,False,,True,True,explicit_review_required
1615,ذكي,clever,True,False,,True,False,,True,True,explicit_review_required
1620,ترفيه,opulent; luxurious,True,False,,True,False,,True,True,explicit_review_required
1621,معني,concerned; affected; interested,False,False,,False,False,,True,True,explicit_review_required
1628,تخصصي,specialized,False,False,,False,False,,True,True,explicit_review_required
1629,داعي,inviter; propagandist,False,False,,False,False,,True,True,explicit_review_required
1637,تهمة,accusations; charges,True,False,,True,False,,True,True,explicit_review_required
1642,مطلب,quest,True,False,,True,False,,True,True,explicit_review_required
1646,بشرة,good news,True,False,,True,False,,True,True,explicit_review_required
1664,عشرات,scores; tens; dozens,True,False,,False,False,,True,True,explicit_review_required
1671,ف,F; 17th; (fils),True,False,,False,False,,True,True,explicit_review_required
1679,غريبة,stranger; foreigner,True,False,,False,False,,True,True,explicit_review_required
1680,تجاوز,exceed; disregard,True,False,,True,False,,True,True,explicit_review_required
1681,نات,sway; stagger,False,False,,False,False,,True,True,explicit_review_required
1686,مدرسي,scholastic; school,False,False,,False,False,,True,True,explicit_review_required
1690,مؤخر,delayed; deferred,True,False,,False,False,,True,True,explicit_review_required
1695,أنشودة,anthem; hymn; song,False,False,,False,False,,True,True,explicit_review_required
1700,ربع,living zone; residence,True,False,,True,False,,True,True,explicit_review_required
1710,تغطية,coverage; covering,True,False,,False,False,,True,True,explicit_review_required
1711,ملحق,attache,True,False,,True,False,,True,True,explicit_review_required
1716,مختص,responsible; competent,True,False,,True,False,,True,True,explicit_review_required
1717,مذكرة,reminder; memorandum,True,False,,True,False,,True,True,explicit_review_required
1719,دمعي,lacrimal; tear,False,False,,False,False,,True,True,explicit_review_required
1729,إسكندرية,Alexandria,False,False,,False,False,,True,True,explicit_review_required
1733,كرتون,cardboard,False,False,,False,False,,True,True,explicit_review_required
1740,إعدادي,preliminary; preparatory,False,False,,False,False,,True,True,explicit_review_required
1751,إخباري,news; information,False,False,,False,False,,True,True,explicit_review_required
1752,ضرائب,taxes,True,False,,True,False,,True,True,explicit_review_required
1763,عدوان,enemy,True,False,,True,False,,True,True,explicit_review_required
1771,ماكياج,facial make-up,True,False,,False,False,,True,True,explicit_review_required
1781,سد,defrayal (of costs),True,False,,True,False,,True,True,explicit_review_required
1787,جي,G,False,False,,False,False,,True,True,explicit_review_required
1811,حامل,bearing; carrying,True,False,,True,False,,True,True,explicit_review_required
1823,مبارك,charities; benefactions,True,False,,False,False,,True,True,explicit_review_required
1824,إغلاق,locking; closing; barring,True,False,,True,False,,True,True,explicit_review_required
1826,منقول,conveyed; transferred; mobile,True,False,,False,False,,True,True,explicit_review_required
1836,ج,J; 3rd; (pounds; lira); (answer); (republic); (gram),True,False,,True,False,,True,True,explicit_review_required
1842,مسجل,registered; recorded,True,False,,True,False,,True,True,explicit_review_required
1844,كانون,stove,True,False,,False,False,,True,True,explicit_review_required
1846,تشطيب,finishing touches; completion; refurbishing,False,False,,False,False,,True,True,explicit_review_required
1849,لافت,attracting; turning,False,False,,False,False,,True,True,explicit_review_required
1851,أد,befall; afflict,False,False,,False,False,,True,True,explicit_review_required
1856,محاكمة,judicial proceeding; legal prosecution,True,False,,True,False,,True,True,explicit_review_required
1858,سرطان,crayfish,True,False,,True,False,,True,True,explicit_review_required
1862,تدريبي,training; coaching; practice,False,False,,False,False,,True,True,explicit_review_required
1869,مصالحة,conciliation; compromise,True,False,,False,False,,True,True,explicit_review_required
1876,أكسسوار,accessory,False,False,,False,False,,True,True,explicit_review_required
1888,مواصلة,continuation; continue,True,False,,False,False,,True,True,explicit_review_required
1889,تأكد,assurance; conviction,True,False,,True,False,,True,True,explicit_review_required
1895,رئاسي,presidential; executive,True,False,,False,False,,True,True,explicit_review_required
1912,آتي,coming; following,False,False,,True,False,,True,True,explicit_review_required
1924,توكيل,appointing (representative); delegation of authority,False,False,,True,False,,True,True,explicit_review_required
1926,عمالة,labor force; employment,False,False,,False,False,,True,True,explicit_review_required
1941,مجرى,course; path,True,False,,True,False,,True,True,explicit_review_required
1944,صحافي,journalistic; press,True,False,,True,False,,True,True,explicit_review_required
1954,كامرا,camera,True,False,,False,False,,True,True,explicit_review_required
1955,كتيبة,brigade; squadron; corps,True,False,,True,False,,True,True,explicit_review_required
1973,شبه,youth,True,False,,True,False,,True,True,explicit_review_required
1976,أمانة,faithfulness; loyalty,True,False,,True,False,,True,True,explicit_review_required
1979,بحرية,freedom,True,False,,False,False,,True,True,explicit_review_required
1981,وسطي,environmental,False,False,,False,False,,True,True,explicit_review_required
1983,تصفح,examination; perusal,True,False,,True,False,,True,True,explicit_review_required
1989,تطورات,events; developments,False,False,,False,False,,True,True,explicit_review_required
1999,تجهيز,equipment; gear,True,False,,True,False,,True,True,explicit_review_required
2003,ثماني,eight,False,False,,False,False,,True,True,explicit_review_required
2004,مطالبة,accountable,True,False,,False,False,,True,True,explicit_review_required
2011,بشر,evil; malice,True,False,,True,False,,True,True,explicit_review_required
2016,مثير,provoking; agitating; stirring up,True,False,,True,False,,True,True,explicit_review_required
2017,جراء,because of; as a result of,True,False,,True,False,,True,True,explicit_review_required
2018,تصدر,issue; publish,True,False,,True,False,,True,True,explicit_review_required
2024,ر,R; 20th; (Reuters); (rial),True,False,,False,False,,True,True,explicit_review_required
2029,كودة,pile; heap,False,False,,False,False,,True,True,explicit_review_required
2031,معالج,processor; CPU,False,False,,True,False,,True,True,explicit_review_required
2033,محتل,occupied,True,False,,False,False,,True,True,explicit_review_required
2034,إس,S,False,False,,True,False,,True,True,explicit_review_required
2040,تلفزيوني,television,False,False,,False,False,,True,True,explicit_review_required
2048,مقدم,front part,True,False,,False,False,,True,True,explicit_review_required
2052,وقوف,standing; stopping; halting,True,False,,True,False,,True,True,explicit_review_required
2054,مؤهل,qualified; competent; certified,False,False,,True,False,,True,True,explicit_review_required
2055,مكرر,refined; distilled,True,False,,False,False,,True,True,explicit_review_required
2057,تأليف,authoring; composing; constituting,True,False,,True,False,,True,True,explicit_review_required
2060,تصفية,elimination series (sports),True,False,,True,False,,True,True,explicit_review_required
2063,موجه,directed; aimed,False,False,,False,False,,True,True,explicit_review_required
2064,شراكة,partnership,False,False,,False,False,,True,True,explicit_review_required
2068,ثلاثي,three-part; trio; corner (shot),True,False,,False,False,,True,True,explicit_review_required
2069,كريم,creme,True,False,,False,False,,True,True,explicit_review_required
2087,مرتفع,elevated; rising,True,False,,False,False,,True,True,explicit_review_required
2089,وارد,appearing; mentioned,True,False,,False,False,,True,True,explicit_review_required
2100,ني,fat,True,False,,False,False,,True,True,explicit_review_required
2101,مقاول,contractor,False,False,,False,False,,True,True,explicit_review_required
2110,موحد,united; standardized,True,False,,False,False,,True,True,explicit_review_required
2111,عفش,collect; gather,False,False,,False,False,,True,True,explicit_review_required
2115,مصمم,determined; resolute,True,False,,False,False,,True,True,explicit_review_required
2116,أبصار,perceptions; views; glances,False,False,,True,False,,True,True,explicit_review_required
2120,موجب,requiring,True,False,,False,False,,True,True,explicit_review_required
2129,كلي,total; complete; entire,True,False,,False,False,,True,True,explicit_review_required
2131,راعي,guardian; patron; sponsor,False,False,,False,False,,True,True,explicit_review_required
2139,طريفة,rarity; oddity,True,False,,False,False,,True,True,explicit_review_required
2140,أكلة,halos; coronas,True,False,,True,False,,True,True,explicit_review_required
2151,أنصار,partisans; followers,False,False,,True,False,,True,True,explicit_review_required
2167,مسبق,previous; preceding,False,False,,False,False,,True,True,explicit_review_required
2175,فصيل,cell; branch; group,True,False,,False,False,,True,True,explicit_review_required
2185,تكون,is; are,True,False,,True,False,,True,True,explicit_review_required
2190,إخراج,production; extraction; ousting,True,False,,True,False,,True,True,explicit_review_required
2198,مهاجر,places emigrated to,True,False,,True,False,,True,True,explicit_review_required
2214,مواصفة,description,False,False,,False,False,,True,True,explicit_review_required
2215,هائل,huge; formidable; appalling,True,False,,True,False,,True,True,explicit_review_required
2218,بكالوريا,baccalaureate; B.A,True,False,,False,False,,True,True,explicit_review_required
2220,أرضية,background; groundwork,True,False,,True,False,,True,True,explicit_review_required
2222,تعرف,acquaintance; knowledge,True,False,,True,False,,True,True,explicit_review_required
2227,تي,T,False,False,,False,False,,True,True,explicit_review_required
2230,باسيل,bacilli,False,False,,False,False,,True,True,explicit_review_required
2231,متكامل,perfect; comprehensive; integral,True,False,,False,False,,True,True,explicit_review_required
2236,مزرع,farm; arable land,True,False,,False,False,,True,True,explicit_review_required
2241,فرنك,oven; furnace,False,False,,True,False,,True,True,explicit_review_required
2242,خالي,maternal uncle,False,False,,False,False,,True,True,explicit_review_required
2245,منظومة,structure; hierarchy,True,False,,True,False,,True,True,explicit_review_required
2252,جل,be majestic,True,False,,False,False,,True,True,explicit_review_required
2254,قل,say,True,False,,True,False,,True,True,explicit_review_required
2256,إعطاء,offer; donation; concession,True,False,,True,False,,True,True,explicit_review_required
2274,برى,dust; earth,False,False,,False,False,,True,True,explicit_review_required
2285,ث,TH; 23rd,True,False,,False,False,,True,True,explicit_review_required
2286,تسرب,absenteeism; attrition,True,False,,True,False,,True,True,explicit_review_required
2288,بوكس,boxing,False,False,,False,False,,True,True,explicit_review_required
2298,تقويم,rating; valuation,True,False,,True,False,,True,True,explicit_review_required
2301,بخاري,steam; steam-driven,False,False,,False,False,,True,True,explicit_review_required
2306,جغرافي,geographical,True,False,,False,False,,True,True,explicit_review_required
2307,شاتي,sheep,False,False,,False,False,,True,True,explicit_review_required
2314,عصب,clans; leagues; federations,True,False,,True,False,,True,True,explicit_review_required
2341,مقاتل,murders; killings,True,False,,True,False,,True,True,explicit_review_required
2347,تفجير,fission; splitting,True,False,,True,False,,True,True,explicit_review_required
2348,مكرم,honored; revered,True,False,,False,False,,True,True,explicit_review_required
2349,لاس,taste,False,False,,False,False,,True,True,explicit_review_required
2351,مصرفي,bank; banking,False,False,,False,False,,True,True,explicit_review_required
2352,ورد,reply,True,False,,True,False,,True,True,explicit_review_required
2361,والي,ruler; governor,False,False,,False,False,,True,True,explicit_review_required
2369,صدور,appearance; issuance,True,False,,False,False,,True,True,explicit_review_required
2371,إحياء,commemoration,True,False,,False,False,,True,True,explicit_review_required
2378,حقيبة,briefcase; suitcase; portfolio,True,False,,True,False,,True,True,explicit_review_required
2379,بحري,free; independent,True,False,,False,False,,True,True,explicit_review_required
2381,شعاع,rays,True,False,,False,False,,True,True,explicit_review_required
2384,معي,intestines; entrails,True,False,,False,False,,True,True,explicit_review_required
2393,س,S; 15th; (question); (hour),True,False,,False,False,,True,True,explicit_review_required
2397,فك,mandible,True,False,,True,False,,True,True,explicit_review_required
2399,نسمة,persons; population,True,False,,False,False,,True,True,explicit_review_required
2400,ضغوط,pressures; stresses,True,False,,False,False,,True,True,explicit_review_required
2402,ألخ,etc,False,False,,False,False,,True,True,explicit_review_required
2403,أشحن,ship; freight; load,False,False,,False,False,,True,True,explicit_review_required
2405,تنزيل,reduction; subtraction,True,False,,True,False,,True,True,explicit_review_required
2406,مهاجم,assailant; attacker,True,False,,False,False,,True,True,explicit_review_required
2410,حرام,sin; offense,True,False,,False,False,,True,True,explicit_review_required
2411,خاض,wage; embark; carry out,True,False,,True,False,,True,True,explicit_review_required
2412,مالكي,proprietor; holder,True,False,,False,False,,True,True,explicit_review_required
2419,متطلبات,requirements,False,False,,False,False,,True,True,explicit_review_required
2422,أقدم,offer; present; introduce,True,False,,False,False,,True,True,explicit_review_required
2425,وقود,leaders; commanders,True,False,,True,False,,True,True,explicit_review_required
2427,توالي,continuous succession; consecutive,False,False,,False,False,,True,True,explicit_review_required
2434,نقر,ratify; accept,True,False,,True,False,,True,True,explicit_review_required
2443,تحتي,under; infra-,False,False,,False,False,,True,True,explicit_review_required
2450,خاطئ,mistaken; at fault,True,False,,True,False,,True,True,explicit_review_required
2451,مخابرات,intelligence service; secret service,False,False,,False,False,,True,True,explicit_review_required
2455,ملح,urgent; pressing; insistent,True,False,,True,False,,True,True,explicit_review_required
2456,اتش,H,False,False,,False,False,,True,True,explicit_review_required
2461,شي,roasting; grilling,True,False,,True,False,,True,True,explicit_review_required
2471,متطور,developed; advanced; sophisticated,False,False,,False,False,,True,True,explicit_review_required
2472,معتبر,considered; regarded; considerable,True,False,,False,False,,True,True,explicit_review_required
2474,صدد,respect; regard; purpose,False,False,,True,False,,True,True,explicit_review_required
2477,عماد,major general,True,False,,False,False,,True,True,explicit_review_required
2478,ماجستير,master's degree,False,False,,False,False,,True,True,explicit_review_required
2479,كاريكاتور,caricature; cartoon,False,False,,False,False,,True,True,explicit_review_required
2487,ون,buzz; drone,True,False,,False,False,,True,True,explicit_review_required
2489,مستجد,recent; incipient,False,False,,False,False,,True,True,explicit_review_required
2493,نخبة,elites; selected,True,False,,True,False,,True,True,explicit_review_required
2497,بيد,hand,True,False,,True,False,,True,True,explicit_review_required
2500,ميداني,field; survey,False,False,,False,False,,True,True,explicit_review_required
2501,توفر,provide; fulfill,True,False,,False,False,,True,True,explicit_review_required
2508,روحي,alcoholic,True,False,,False,False,,True,True,explicit_review_required
2516,حضاري,civilized; cultural,False,False,,False,False,,True,True,explicit_review_required
2524,كت,hum softly,False,False,,False,False,,True,True,explicit_review_required
2530,محلل,analyst,True,False,,False,False,,True,True,explicit_review_required
2537,كادر,cadre,False,False,,False,False,,True,True,explicit_review_required
2539,ممارس,practicing; pursuing; implementing; exercising,True,False,,False,False,,True,True,explicit_review_required
2540,طارئة,incident; contingent,True,False,,True,False,,True,True,explicit_review_required
2542,أولائك,they; those,False,False,,False,False,,True,True,explicit_review_required
2543,مصرع,death; fatality,True,False,,False,False,,True,True,explicit_review_required
2550,كيلومتر,kilometer(s),True,False,,False,False,,True,True,explicit_review_required
2555,ذاك,that,True,False,,False,False,,True,True,explicit_review_required
2558,سجاد,worshiper,True,False,,False,False,,True,True,explicit_review_required
2561,جالية,expatriate community; colony,False,False,,False,False,,True,True,explicit_review_required
2565,نصح,be correct; be true,True,False,,True,False,,True,True,explicit_review_required
2571,خصيص,friend; confidant,False,False,,False,False,,True,True,explicit_review_required
2572,إهداء,presenting; leading,True,False,,True,False,,True,True,explicit_review_required
2573,حرج,thicket; forest,True,False,,True,False,,True,True,explicit_review_required
2574,مثابة,virtually; tantamount to,True,False,,False,False,,True,True,explicit_review_required
2576,معلن,announced; posted; declared,False,False,,True,False,,True,True,explicit_review_required
2581,هاتفي,telephone; telephonic,False,False,,False,False,,True,True,explicit_review_required
2582,صريح,candid; sincere,True,False,,False,False,,True,True,explicit_review_required
2585,مشدد,strengthening; intensifying,False,False,,False,False,,True,True,explicit_review_required
2588,مصارعة,fighter; combatant; wrestler,True,False,,False,False,,True,True,explicit_review_required
2589,أشبه,resemble; be similar,False,False,,False,False,,True,True,explicit_review_required
2596,معد,prepared; destined,True,False,,True,False,,True,True,explicit_review_required
2597,تكنولوجي,technological,False,False,,False,False,,True,True,explicit_review_required
2602,آي,I,False,False,,False,False,,True,True,explicit_review_required
2614,منتهي,finished; expired,False,False,,False,False,,True,True,explicit_review_required
2616,تلبية,compliance with; responding to,True,False,,True,False,,True,True,explicit_review_required
2622,لبن,son,True,False,,True,False,,True,True,explicit_review_required
2623,جلوكوما,glaucoma,False,False,,False,False,,True,True,explicit_review_required
2629,تمكين,enabling; making possible; strengthening,True,False,,False,False,,True,True,explicit_review_required
2631,مضاف,added,False,False,,False,False,,True,True,explicit_review_required
2636,فرعي,sub-branch; subdivisional; sub-sectional,True,False,,False,False,,True,True,explicit_review_required
2638,منفذ,executor; executant,True,False,,True,False,,True,True,explicit_review_required
2643,شيعة,community,True,False,,False,False,,True,True,explicit_review_required
2644,ذكاء,cleverness,True,False,,True,False,,True,True,explicit_review_required
2658,أوائل,ancients,True,False,,True,False,,True,True,explicit_review_required
2664,نفطي,petroleum; oil,False,False,,False,False,,True,True,explicit_review_required
2668,تسلم,be conceded; be granted,True,False,,True,False,,True,True,explicit_review_required
2673,نصرة,assistance; backing,False,False,,True,False,,True,True,explicit_review_required
2677,سباحة,swimmer,True,False,,True,False,,True,True,explicit_review_required
2679,متضمن,included; implied,False,False,,False,False,,True,True,explicit_review_required
2681,فلك,dent; notch; nick,True,False,,True,False,,True,True,explicit_review_required
2685,تعذيب,torture; punishment,True,False,,False,False,,True,True,explicit_review_required
2686,مفضل,favorite; preferred,True,False,,False,False,,True,True,explicit_review_required
2687,قصيم,fragile,False,False,,False,False,,True,True,explicit_review_required
2690,مبوب,classified; arranged,False,False,,False,False,,True,True,explicit_review_required
2700,باحة,courtyard; plaza,False,False,,False,False,,True,True,explicit_review_required
2701,رجيم,diet,True,False,,False,False,,True,True,explicit_review_required
2705,صيفي,summer; estival,True,False,,False,False,,True,True,explicit_review_required
2706,متجدد,modernized; renewed; revived,False,False,,False,False,,True,True,explicit_review_required
2714,شبابي,youthful; juvenile,False,False,,False,False,,True,True,explicit_review_required
2717,تشكيلي,visual,True,False,,False,False,,True,True,explicit_review_required
2718,سائر,remaining,True,False,,False,False,,True,True,explicit_review_required
2720,حماة,protectors; patrons,True,False,,False,False,,True,True,explicit_review_required
2722,مزية,feature; advantage,True,False,,False,False,,True,True,explicit_review_required
2723,طيبة,good nature; goodness,True,False,,False,False,,True,True,explicit_review_required
2725,توسع,expansion,True,False,,True,False,,True,True,explicit_review_required
2737,قيادي,leader; commander,False,False,,False,False,,True,True,explicit_review_required
2739,جواز,permit; authorization,True,False,,True,False,,True,True,explicit_review_required
2743,إعمار,building; construction,True,False,,True,False,,True,True,explicit_review_required
2749,هادف,committed; goal-oriented,False,False,,False,False,,True,True,explicit_review_required
2753,مبحث,research; investigation,False,False,,False,False,,True,True,explicit_review_required
2755,جهوي,provincial; regional,False,False,,False,False,,True,True,explicit_review_required
2759,كلوة,kidney,True,False,,False,False,,True,True,explicit_review_required
2762,جانبي,side; lateral; marginal,False,False,,False,False,,True,True,explicit_review_required
2766,مغترب,expatriate; foreigner,False,False,,True,False,,True,True,explicit_review_required
2767,أحل,begin; arrive,True,False,,False,False,,True,True,explicit_review_required
2769,خضرة,vegetables; greenery,True,False,,False,False,,True,True,explicit_review_required
2773,إف,F,False,False,,False,False,,True,True,explicit_review_required
2775,منتظر,anticipated; expected,True,False,,False,False,,True,True,explicit_review_required
2780,تسريح,authorization; permission,True,False,,False,False,,True,True,explicit_review_required
2789,محضر,attendance; report; minutes,False,False,,False,False,,True,True,explicit_review_required
2791,متكرر,repeated; frequent; recurring,False,False,,False,False,,True,True,explicit_review_required
2795,مرجعية,authority,True,False,,False,False,,True,True,explicit_review_required
2800,تأسس,be established; be founded,False,False,,False,False,,True,True,explicit_review_required
2801,تمهيد,preparation; facilitating; paving,True,False,,False,False,,True,True,explicit_review_required
2809,دال,indicating; proving,True,False,,True,False,,True,True,explicit_review_required
2810,تولي,taking charge of; assuming responsibility,False,False,,False,False,,True,True,explicit_review_required
2823,مفوضية,legation; delegation,False,False,,False,False,,True,True,explicit_review_required
2826,مصنف,classified; ranked; seeded,True,False,,False,False,,True,True,explicit_review_required
2835,خاضع,subservient; obedient; subject,True,False,,False,False,,True,True,explicit_review_required
2836,مرافق,accompaning; attached,True,False,,True,False,,True,True,explicit_review_required
2837,خوض,waging; embarking; carrying out,False,False,,True,False,,True,True,explicit_review_required
2842,تنموي,developmental; growth-related,False,False,,False,False,,True,True,explicit_review_required
2848,محرر,written; booked,True,False,,True,False,,True,True,explicit_review_required
2849,مكنة,machine,True,False,,False,False,,True,True,explicit_review_required
2850,نقابي,union; syndicate,False,False,,False,False,,True,True,explicit_review_required
2851,صافي,net,False,False,,False,False,,True,True,explicit_review_required
2853,نبع,emerge; originate; emanate,True,False,,True,False,,True,True,explicit_review_required
2857,مصلي,people praying; people worshipping,False,False,,False,False,,True,True,explicit_review_required
2858,لوح,blackboard; slate,True,False,,True,False,,True,True,explicit_review_required
2864,أجرة,fees; charges,True,False,,False,False,,True,True,explicit_review_required
2867,فيلا,villa,False,False,,False,False,,True,True,explicit_review_required
2868,أصيل,authentic; indigenous; permanent,True,False,,True,False,,True,True,explicit_review_required
2874,وظيفي,functional,False,False,,False,False,,True,True,explicit_review_required
2878,تمسك,adherence; commitment,True,False,,True,False,,True,True,explicit_review_required
2883,ك,K; 11th; (kilo-),True,False,,True,False,,True,True,explicit_review_required
2884,مطور,changing; developing,False,False,,False,False,,True,True,explicit_review_required
2894,عائش,living; alive,True,False,,True,False,,True,True,explicit_review_required
2898,تهريب,smuggling; illicit trade; contrabandage,True,False,,False,False,,True,True,explicit_review_required
2900,زفة,procession,False,False,,False,False,,True,True,explicit_review_required
2903,محتاج,in need; wanting; requiring,True,False,,False,False,,True,True,explicit_review_required
2910,ح,H; 8th,True,False,,True,False,,True,True,explicit_review_required
2912,روبل,ruble,False,False,,False,False,,True,True,explicit_review_required
2917,أوحى,occur,True,False,,True,False,,True,True,explicit_review_required
2927,مبيد,destructive; exterminating,False,False,,True,False,,True,True,explicit_review_required
2928,ترويج,furtherance; promotion; distribution; marketing,True,False,,False,False,,True,True,explicit_review_required
