rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
11,لَيْسَ هُنَاكَ,there is no / there is not,il n'y a pas,وہاں نہیں ہے / نہیں ہے,Phrase used to negate the existence of something in a particular place or situation.,لَيْسَ هُنَاكَ شَيْءٌ.,There is nothing.,True,True,,verified
12,عَلَى الفَوْرِ,immediately / instantly,tout de suite / instantanément,فوراً,Adverbial phrase indicating that an action occurs without any wait or delay.,تَعَالَ عَلَى الفَوْرِ.,Come immediately.,True,True,,verified
13,إِلَى حَدٍّ مَا,to some extent / somewhat,dans une certaine mesure / un peu,کسی حد تک,"Phrase used to qualify a statement, indicating that it is partially true or limited in degree.",هُوَ صَعْبٌ إِلَى حَدٍّ مَا.,It is somewhat difficult.,True,True,,verified
14,مِنْ قِبَلِ,by / on the part of,par / de la part de,کی طرف سے / کے ذریعے,"Prepositional phrase indicating the source or agent of an action, often used in formal contexts.",هَذَا القَرَارُ مِنْ قِبَلِ المُدِيرِ.,This decision is by the manager.,True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
15,بِشَكْلٍ عَامٍّ,generally / in general,en général / généralement,عام طور پر,Adverbial phrase used to indicate that a statement applies to most cases or the whole group.,بِشَكْلٍ عَامٍّ، الطَّقْسُ حَارٌ.,"In general, the weather is hot.",True,True,,verified
16,بِنَاءً عَلَى,based on / according to,sur la base de / selon,کی بنیاد پر,Phrase indicating the foundation or reason for a conclusion or action.,بِنَاءً عَلَى طَلَبِكَ.,Based on your request.,True,True,,verified
17,مِنْ نَاحِيَةٍ أُخْرَى,on the other hand,d'autre part / par contre,دوسری طرف,Phrase used to introduce a contrasting point or a different perspective on a subject.,هُوَ ذَكِيٌّ، وَمِنْ نَاحِيَةٍ أُخْرَى هُوَ كَسُولٌ.,"He is smart, and on the other hand, he is lazy.",True,True,,verified
18,عَلَى مَدَارِ,throughout / over the course of,tout au long de / au cours de,کے دوران / پورے,Phrase indicating the duration or extent of an action over time or space.,عَلَى مَدَارِ السَّنَةِ.,Throughout the year.,True,True,,verified
19,لَا شَكَّ أَنَّ,no doubt that / undoubtedly,sans doute que / indubitablement,اس میں کوئی شک نہیں کہ,Phrase used to express certainty about a statement.,لَا شَكَّ أَنَّ الصِّدْقَ مَنْجَاةٌ.,No doubt that honesty is salvation.,True,True,,verified
20,مِنَ المُفْتَرَضِ أَنْ,supposed to / presumably,censé / supposé que,فرض کیا جاتا ہے کہ / ہونا چاہیے کہ,Phrase indicating an expectation or a theoretical assumption about an action.,مِنَ المُفْتَرَضِ أَنْ نَصِلَ الآنَ.,We are supposed to arrive now.,True,True,,verified
21,لِأَقْصَى حَدٍّ,to the maximum extent / as much as possible,au maximum / autant que possible,زیادہ سے زیادہ,Phrase indicating the highest limit or degree of something.,اِسْتَمْتَعْتُ لِأَقْصَى حَدٍّ.,I enjoyed myself to the maximum extent.,True,True,,verified
22,مِنْ وَقْتٍ لِآخَرَ,from time to time / occasionally,de temps en temps / occasionnellement,وقت فوقت / کبھی کبھی,Phrase indicating that an action occurs at irregular intervals.,أَزُورُهُ مِنْ وَقْتٍ لِآخَرَ.,I visit him from time to time.,True,True,,verified
23,بِغَضِّ النَّظَرِ عَنْ,regardless of,indépendamment de,قطع نظر,Phrase used to exclude a particular factor or circumstance from consideration.,بِغَضِّ النَّظَرِ عَنِ الظُّرُوفِ.,Regardless of the circumstances.,True,True,,verified
24,بِصِفَةٍ خَاصَّةٍ,especially / particularly,particulièrement / spécialement,خاص طور پر,Phrase used to emphasize a specific instance or a member of a group.,أُحِبُّ الرِّيَاضَةَ، بِصِفَةٍ خَاصَّةٍ السِّبَاحَةَ.,"I love sports, especially swimming.",True,True,,verified
25,مِنَ المُرَجَّحِ أَنْ,likely to / probably,probable que / vraisemblablement,غالب گمان ہے کہ,Phrase used to indicate that something is more likely true or expected to happen than not.,مِنَ المُرَجَّحِ أَنْ تُمْطِرَ اليَوْمَ.,It is likely to rain today.,True,True,,verified
26,لَا بُدَّ أَنْ,must / it is necessary that,il faut que / devoir,ہونا چاہیے کہ / لازمی ہے,Phrase used to express an absolute necessity or an inescapable conclusion.,لَا بُدَّ أَنْ نَذْهَبَ الآنَ.,We must go now.,True,True,,verified
27,عَلَى كُلِّ حَالٍ,in any case / anyway,de toute façon / quoi qu'il en soit,بہرحال,Phrase used to summarize or dismiss previous points and move on.,عَلَى كُلِّ حَالٍ، شُكْرًا لَكَ.,"Anyway, thank you.",True,True,,verified
28,مِنْ وَجْهَةِ نَظَرِي,from my point of view,de mon point de vue,میری نظر میں / میرے نقطہ نظر سے,Phrase used to introduce one's personal opinion or perspective on a matter.,مِنْ وَجْهَةِ نَظَرِي، هَذَا خَطَأٌ.,"From my point of view, this is a mistake.",True,True,,verified
29,مِنْ نَاحِيَةٍ,from one side / on one hand,d'un côté / d'une part,ایک لحاظ سے,Phrase used to introduce the first part of a comparison or a multi-faceted argument.,مِنْ نَاحِيَةٍ، هِيَ جَمِيلَةٌ.,"On one hand, she is beautiful.",True,True,,verified
30,مِنْ تِلْقَاءِ نَفْسِهِ,of his own accord / spontaneously,de son propre chef / spontanément,خود بخود / اپنی مرضی سے,Phrase used to describe an action done without external pressure or invitation.,فَعَلَ ذَلِكَ مِنْ تِلْقَاءِ نَفْسِهِ.,He did that of his own accord.,True,True,,verified
31,بِلا شَكٍّ,without a doubt / certainly,sans aucun doute / certainement,بلاشبہ,Phrase used to express total certainty or conviction about a statement.,أَنْتَ مُحِقٌّ بِلا شَكٍّ.,You are right without a doubt.,True,True,,verified
32,بِمَا أَنَّ,since / because / as,puisque / comme,چونکہ / اس لیے کہ,Conjunction used to introduce a known or established reason for a subsequent statement.,بِمَا أَنَّكَ هُنَا، فَلْنَذْهَبْ.,"Since you are here, let's go.",True,True,,verified
33,عَلَى الرَّغْمِ مِنْ,despite / in spite of,malgré / en dépit de,کے باوجود,Prepositional phrase used to introduce a fact that contrasts with the main clause.,نَجَحَ عَلَى الرَّغْمِ مِنَ الصُّعُوبَاتِ.,He succeeded despite the difficulties.,True,True,,verified
34,مَعَ ذَلِكَ,nevertheless / however / even so,néanmoins / pourtant / tout de même,اس کے باوجود / پھر بھی,Phrase used to introduce a statement that contrasts with what was just said.,كَانَ مَرِيضًا، وَمَعَ ذَلِكَ جَاءَ.,"He was sick, and nevertheless he came.",True,True,,verified
35,مِنْ حِينٍ لِآخَرَ,from time to time / occasionally,de temps en temps,کبھی کبھی / وقت فوقت,Phrase indicating that an action occurs intermittently or not very often.,نَلْتَقِي مِنْ حِينٍ لِآخَرَ.,We meet from time to time.,True,True,,verified
36,مِنْ نَاحِيَتِي,from my side / as for me,de mon côté / pour ma part,میری طرف سے,Phrase used to express one's own position or willingness in a situation.,مِنْ نَاحِيَتِي، أَنَا مُوَافِقٌ.,"As for me, I agree.",True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
37,بِغَضِّ النَّظَرِ عَمَّا,regardless of what,peu importe ce que / quoi qu'il en soit de,قطع نظر اس سے کہ کیا,Phrase used to indicate that the following action or fact is irrelevant to the outcome.,بِغَضِّ النَّظَرِ عَمَّا حَدَثَ.,Regardless of what happened.,True,True,,verified
38,فِي آخِرِ المَطَافِ,in the end / ultimately,en fin de compte / finalement,آخرکار / انجام کار,Idiomatic phrase referring to the final result or conclusion of a process or event.,فِي آخِرِ المَطَافِ، الحَقِيقَةُ تَظْهَرُ.,"In the end, the truth appears.",True,True,,verified
39,مِنْ شَأْنِهِ أَنْ,likely to / calculated to / which would,de nature à / susceptible de,اس کا مقصد ہے کہ / اس سے ہو سکتا ہے,Phrase indicating that an action or factor has the potential or tendency to cause a result.,هَذَا مِنْ شَأْنِهِ أَنْ يُسَاعِدَنَا.,This is likely to help us.,True,True,,verified
40,بِمَا فِي ذَلِكَ,including / as well as,y compris / ainsi que,بشمول / اس سمیت,Phrase used to specify that certain items or people are part of a larger group mentioned.,جَاءَ الجَمِيعُ، بِمَا فِي ذَلِكَ أَحْمَدُ.,"Everyone came, including Ahmad.",True,True,,verified
41,فِيمَا يَتَعَلَّقُ بِـ,with regard to / concerning,en ce qui concerne / concernant,کے متعلق / کے بارے میں,Formal phrase used to introduce a specific topic or subject of discussion.,فِيمَا يَتَعَلَّقُ بِالعَمَلِ.,With regard to the work.,True,True,,verified
42,بِغَرَضِ التَّوْضِيحِ,for the sake of clarification,à des fins de clarification,وضاحت کی غرض سے,Phrase used when providing extra details to ensure a point is understood correctly.,أَقُولُ ذَلِكَ بِغَرَضِ التَّوْضِيحِ.,I say that for the sake of clarification.,True,True,,verified
43,إِلَى حَدٍّ بَعِيدٍ,to a large extent / greatly,dans une large mesure / grandement,کافی حد تک,Phrase indicating that a statement is true to a high degree or a significant distance.,نَجَحْنَا إِلَى حَدٍّ بَعِيدٍ.,We succeeded to a large extent.,True,True,,verified
44,مِنْ قِبَلِ البَعْضِ,by some / on the part of some,par certains / de la part de certains,بعض کی طرف سے,Phrase used when an action is attributed to an unspecified group of people.,هُنَاكَ اِعْتِرَاضٌ مِنْ قِبَلِ البَعْضِ.,There is an objection by some.,True,True,,verified
45,مِنَ الصَّعْبِ أَنْ,it is difficult to,il est difficile de,مشکل ہے کہ,Phrase used to indicate that a specific action is hard or unlikely to be achieved.,مِنَ الصَّعْبِ أَنْ تَنْسَى.,It is difficult to forget.,True,True,,verified
46,عَلَى العَكْسِ تَمَامًا,quite the opposite / on the contrary,tout au contraire / bien au contraire,اس کے بالکل برعکس,Phrase used to emphasize that the reality is the exact opposite of what was suggested.,هُوَ لَيْسَ حَزِينًا، عَلَى العَكْسِ تَمَامًا.,He is not sad; quite the opposite.,True,True,,verified
47,فِي هَذَا الصَّدَدِ,in this regard / in this context,à cet égard / dans ce contexte,اس سلسلے میں,Phrase used to connect a statement to the specific topic currently being discussed.,وَفِي هَذَا الصَّدَدِ، نَقُولُ...,"And in this regard, we say...",True,True,,verified
48,بِدُونِ أَدْنَى شَكٍّ,without the slightest doubt,sans le moindre doute,بغیر کسی شک و شبہ کے,Emphatic phrase used to express absolute and unquestionable certainty.,هُوَ البَطَلُ بِدُونِ أَدْنَى شَكٍّ.,He is the hero without the slightest doubt.,True,True,,verified
49,مِنْ حَيْثُ المَبْدَأِ,in principle / theoretically,en principe / en théorie,اصولی طور پر,"Phrase used to indicate agreement with the basic idea of something, even if details are not yet settled.",أَنَا مُوَافِقٌ مِنْ حَيْثُ المَبْدَأِ.,I agree in principle.,True,True,,verified
50,عَلَى كُلٍّ,anyway / regardless,de toute façon / quoi qu'il en soit,بہرحال,"Shortened version of 'ala kulli hal', used to dismiss details and move to a conclusion.",عَلَى كُلٍّ، أَنَا ذَاهِبٌ.,"Anyway, I am going.",True,True,,verified
51,فِي المَسْتَقْبَلِ,in the future,à l'avenir / dans le futur,مستقبل میں / آنے والے وقت میں,Temporal phrase referring to the time that is yet to come.,سَأُسَافِرُ فِي المَسْتَقْبَلِ.,I will travel in the future.,True,True,,verified
52,لَا سِيَّمَا أَنَّ,especially since / particularly because,d'autant plus que / surtout que,خاص طور پر اس لیے کہ,Compound phrase used to emphasize a reason or cause for a statement.,هُوَ مَاهِرٌ، لَا سِيَّمَا أَنَّهُ تَدَرَّبَ كَثِيرًا.,"He is skilled, especially since he trained a lot.",True,True,,verified
53,مِنَ الضَّرُورِيِّ أَنْ,it is necessary to,il est nécessaire de,ضروری ہے کہ,Phrase used to indicate that a specific action is required or essential.,مِنَ الضَّرُورِيِّ أَنْ تَدْرُسَ.,It is necessary that you study.,True,True,,verified
54,بِمُجَرَّدِ أَنْ,as soon as / once,dès que / aussitôt que,جیسے ہی,Conjunction indicating that one action will occur immediately after another.,بِمُجَرَّدِ أَنْ أَصِلَ، سَأَتَّصِلُ بِكَ.,"As soon as I arrive, I will call you.",True,True,,verified
55,عَلَى نَحْوٍ,in a way / in a manner,d'une manière / d'une façon,اس طرح سے,Phrase used to describe the method or style in which an action is performed.,هُوَ يَعْمَلُ عَلَى نَحْوٍ جَيِّدٍ.,He works in a good manner.,True,True,,verified
56,مِنْ وِجْهَةِ نَظَرٍ,from a perspective / from a point of view,d'un point de vue,ایک نقطہ نظر سے,Phrase introducing a specific angle or way of looking at a subject.,مِنْ وِجْهَةِ نَظَرٍ اقْتِصَادِيَّةٍ.,From an economic perspective.,True,True,,verified
57,بِالمُقَابِلِ لِـ,in contrast to / compared with,par rapport à / contrairement à,کے مقابلے میں,Phrase used to highlight differences between two entities or situations.,هَذَا جَيِّدٌ بِالمُقَابِلِ لِذَاكَ.,This is good in contrast to that.,True,True,,verified
58,فِي غُضُونِ,within / during the course of,au cours de / dans l'espace de,کے دوران / کے اندر,Temporal phrase indicating the duration within which an event occurs.,فِي غُضُونِ أُسْبُوعٍ.,Within a week.,True,True,,verified
59,بِدُونِ جَدْوَى,in vain / to no avail,en vain / inutilement,بے سود / لا حاصل,Phrase indicating that an action was performed but did not achieve the desired result.,حَاوَلْتُ بِدُونِ جَدْوَى.,I tried in vain.,True,True,,verified
60,بِأَيِّ حَالٍ مِنَ الأَحْوَالِ,in any case / by any means (often negative: by no means),de toute façon / en aucun cas,کسی بھی صورت میں,Strong emphatic phrase used to indicate that a statement holds true under all circumstances.,لَا تَفْعَلْ ذَلِكَ بِأَيِّ حَالٍ مِنَ الأَحْوَالِ.,Do not do that by any means.,True,True,,verified
61,مِنْ نَاحِيَةٍ تَقْنِيَّةٍ,technically / from a technical standpoint,techniquement / d'un point de vue technique,فنی لحاظ سے,Phrase used to narrow the focus of a discussion to technical details or rules.,هَذَا مُمْكِنٌ مِنْ نَاحِيَةٍ تَقْنِيَّةٍ.,This is possible technically.,True,True,,verified
62,عَلَى حَدِّ قَوْلِهِ,according to him / as he said,selon lui / comme il l'a dit,اس کے بقول / جیسا کہ اس نے کہا,Phrase used to attribute a statement or an idea to a specific person.,عَلَى حَدِّ قَوْلِهِ، الأَمْرُ سَهْلٌ.,"According to him, the matter is easy.",True,True,,verified
63,بِالمُقَابِلِ لِذَلِكَ,in return for that / in exchange for that,en échange de cela / en contrepartie,اس کے بدلے میں,Phrase indicating a response or a trade-off for a previously mentioned action or thing.,أَعْطَيْتُهُ مَالاً، وَبِالمُقَابِلِ لِذَلِكَ سَاعَدَنِي.,"I gave him money, and in return for that, he helped me.",True,True,,verified
64,فِي المَقَامِ الأَوَّلِ,in the first place / primarily,en premier lieu / d'abord,سب سے پہلے / اولاً,Phrase used to emphasize the most important reason or factor in a situation.,هِيَ أُمٌّ فِي المَقَامِ الأَوَّلِ.,She is a mother in the first place.,True,True,,verified
65,بِمَا لَا يَدَعُ مَجَالاً لِلشَّكِّ,beyond any doubt / leaving no room for doubt,sans l'ombre d'un doute / sans équivoque,بغیر کسی شک و شبہ کے,Strong idiomatic expression used to assert that something is absolutely certain.,هُوَ مَذْنِبٌ بِمَا لَا يَدَعُ مَجَالاً لِلشَّكِّ.,He is guilty beyond any doubt.,True,True,,verified
66,بِغَرَضِ التَّحَقُّقِ,for the purpose of verification / to check,aux fins de vérification / pour vérifier,تصدیق کی غرض سے,Phrase used when an action is performed to ensure the accuracy or truth of something.,اِتَّصَلْتُ بِهِ بِغَرَضِ التَّحَقُّقِ.,I called him for the purpose of verification.,True,True,,verified
67,عَلَى كَاهِلِهِ,on his shoulders / as his responsibility,sur ses épaules / sous sa responsabilité,اس کے کندھوں پر / اس کی ذمہ داری,Idiomatic expression indicating that someone bears a heavy burden or responsibility.,تَقَعُ المَسْؤُولِيَّةُ عَلَى كَاهِلِهِ.,The responsibility lies on his shoulders.,True,True,,verified
68,بِمَا يَتَمَاشَى مَعَ,in line with / consistent with,conformément à / en accord avec,کے مطابق / کے ہم آہنگ,Phrase indicating that an action or idea is in harmony or agreement with a set of rules or conditions.,هَذَا بِمَا يَتَمَاشَى مَعَ القَانُونِ.,This is in line with the law.,True,True,,verified
69,بِلا اسْتِثْنَاءٍ,without exception,sans exception,بلا استثناء,Phrase used to indicate that a statement applies to every single member of a group.,الكُلُّ مَدْعُوُّونَ بِلا اسْتِثْنَاءٍ.,Everyone is invited without exception.,True,True,,verified
70,مِنْ نَاحِيَةٍ جَوْهَرِيَّةٍ,essentially / fundamentally,essentiellement / fondamentalement,بنیادی طور پر,Phrase used to focus on the most important or core aspect of a matter.,المَشْرُوعُ جَيِّدٌ مِنْ نَاحِيَةٍ جَوْهَرِيَّةٍ.,The project is good essentially.,True,True,,verified
71,فِي نِهَايَةِ الأَمْرِ,ultimately / in the end,en fin de compte / finalement,آخرکار / قصہ مختصر,Phrase used to describe the final outcome after all factors have been considered.,فِي نِهَايَةِ الأَمْرِ، سَنَنْجَحُ.,"Ultimately, we will succeed.",True,True,,verified
72,بِغَضِّ النَّظَرِ عَنِ النَّتَائِجِ,regardless of the results,quels que soient les résultats,نتائج سے قطع نظر,Phrase indicating that an action will be taken irrespective of what the outcome might be.,سَنُحَاوِلُ بِغَضِّ النَّظَرِ عَنِ النَّتَائِجِ.,We will try regardless of the results.,True,True,,verified
73,عَلَى وَشْكِ,on the verge of / about to,sur le point de / à la veille de,کے قریب / ہونے والا ہے,Prepositional phrase indicating that an action is very close to happening.,هُوَ عَلَى وَشْكِ الوُصُولِ.,He is about to arrive.,True,True,,verified
74,بِمَحْضِ الصُّدْفَةِ,by pure chance / accidentally,par pur hasard,محض اتفاق سے,Emphatic phrase used to indicate that something happened entirely without planning.,نَجَحَ بِمَحْضِ الصُّدْفَةِ.,He succeeded by pure chance.,True,True,,verified
75,فِي حِينِ أَنَّ,while / whereas / at a time when,alors que / tandis que,جبکہ,Conjunction used to highlight a contrast between two simultaneous facts or situations.,هُوَ يَعْمَلُ، فِي حِينِ أَنَّ أَخَاهُ يَلْعَبُ.,"He works, while his brother plays.",True,True,,verified
76,عَلَى مَدَى القَرْنِ,over the course of the century,au cours du siècle,صدی کے دوران,Temporal phrase used to describe developments or trends that spanned a hundred years.,تَطَوَّرَتِ التِّكْنُولُوجِيَا عَلَى مَدَى القَرْنِ.,Technology evolved over the course of the century.,True,True,,verified
77,بِغَرَضِ التَّجْرِبَةِ,for the purpose of experimentation / as a trial,à des fins d'expérimentation / à titre d'essai,تجربے کی غرض سے,Phrase used when an action is performed to test a theory or a method.,سَنُجَرِّبُ هَذَا بِغَرَضِ التَّجْرِبَةِ.,We will try this as a trial.,True,True,,verified
78,فِي غَمْرَةِ الأَحْدَاثِ,in the midst of events / during the turmoil,au cœur des événements / au milieu de l'agitation,واقعات کی بھرمار میں / ہنگاموں کے دوران,Idiomatic expression describing a situation in the middle of busy or chaotic occurrences.,نَسِيَ نَفْسَهُ فِي غَمْرَةِ الأَحْدَاثِ.,He forgot himself in the midst of events.,True,True,,verified
79,بِمَا لَا يَقْبَلُ التَّأْوِيلَ,unambiguous / leaving no room for interpretation,sans équivoque / ne prêtant pas à interprétation,غیر مبہم / جس کی کوئی اور تاویل نہ ہو سکے,Phrase used to describe a statement or fact that is clear and has only one possible meaning.,كَانَ قَرَارُهُ بِمَا لَا يَقْبَلُ التَّأْوِيلَ.,His decision was unambiguous.,True,True,,verified
80,مِنَ الصَّعْبِ تَصَدِّيقُهُ,hard to believe,difficile à croire,یقین کرنا مشکل ہے,Phrase used when a fact or story is so extraordinary or unlikely that it challenges belief.,هَذَا الخَبَرُ مِنَ الصَّعْبِ تَصَدِّيقُهُ.,This news is hard to believe.,True,True,,verified
81,فِي هَذَا الشَّأْنِ,in this regard / regarding this matter,à ce sujet / à cet égard,اس معاملے میں,Phrase used to connect a statement to the specific issue or business being discussed.,مَا هُوَ رَأْيُكَ فِي هَذَا الشَّأْنِ؟,What is your opinion in this regard?,True,True,,verified
82,بِدُونِ سَابِقِ إِنْذَارٍ,without prior warning / suddenly,sans préavis / sans avertissement préalable,بغیر کسی پیشگی اطلاع کے,Phrase used when an event occurs unexpectedly and without any signs leading up to it.,اِسْتَقَالَ بِدُونِ سَابِقِ إِنْذَارٍ.,He resigned without prior warning.,True,True,,verified
83,مِنْ نَاحِيَةٍ مَبْدَئِيَّةٍ,fundamentally / in principle,en principe / fondamentalement,اصولی طور پر,Phrase focusing on the core principles or basics of an agreement or idea.,هُوَ مُوَافِقٌ مِنْ نَاحِيَةٍ مَبْدَئِيَّةٍ.,He agrees in principle.,True,True,,verified
84,فِي آخِرِ لَحْظَةٍ,at the last moment,au dernier moment,آخری لمحے میں,Phrase indicating that an action occurred just before a deadline or a critical point.,أَلْغَى الرِّحْلَةَ فِي آخِرِ لَحْظَةٍ.,He canceled the trip at the last moment.,True,True,,verified
85,بِغَضِّ النَّظَرِ عَنِ الظُّرُوفِ,regardless of the circumstances,quelles que soient les circonstances,حالات سے قطع نظر,Phrase asserting that an action holds true or will be taken no matter what the environment or conditions are.,سَنُوَاصِلُ بِغَضِّ النَّظَرِ عَنِ الظُّرُوفِ.,We will continue regardless of the circumstances.,True,True,,verified
86,عَلَى حَافَّةِ,on the edge of / on the brink of,au bord de / sur le point de,کے کنارے پر / کے دہانے پر,Prepositional phrase indicating proximity to a physical edge or a figurative crisis/change.,عَلَى حَافَّةِ الهاوِيَةِ.,On the edge of the abyss.,True,True,,verified
87,بِمَحْضِ إِرَادَتِهِ,of his own free will / voluntarily,de son plein gré / volontairement,اپنی مرضی سے,Phrase emphasizing that an action was taken without any external compulsion or force.,تَرَكَ العَمَلَ بِمَحْضِ إِرَادَتِهِ.,He left the job of his own free will.,True,True,,verified
88,فِي حَالَةِ مَا إِذَا,in case / if it happens that,au cas où / dans l'éventualité où,ایسی صورت میں اگر,Conditional phrase used to introduce a potential future scenario and the corresponding response.,اِتَّصِلْ بِي فِي حَالَةِ مَا إِذَا احْتَجْتَ شَيْئًا.,Call me in case you need something.,True,True,,verified
89,بِمَا أَنَّنَا,since we / because we,puisque nous / comme nous,چونکہ ہم,Conjunction phrase used to introduce a reason or context specifically involving the speaker and others.,بِمَا أَنَّنَا هُنَا، فَلْنَبْدَأْ.,"Since we are here, let's begin.",True,True,,verified
90,مِنْ نَاحِيَةٍ عَمَلِيَّةٍ,practically / from a practical standpoint,d'un point de vue pratique / pratiquement,عملی طور پر,Phrase used to evaluate a situation based on real-world application rather than theory.,هَذَا صَعْبٌ مِنْ نَاحِيَةٍ عَمَلِيَّةٍ.,This is difficult practically.,True,True,,verified
91,عَلَى مَدَى الأَيَّامِ,over the days / day after day,au fil des jours,جوں جوں دن گزرتے گئے,Temporal phrase describing a gradual process or a repeated action over a short period of time.,تَعَلَّمْتُ كَثِيرًا عَلَى مَدَى الأَيَّامِ.,I learned a lot over the days.,True,True,,verified
92,بِمَا فِيهِ الكِفَايَةُ,sufficiently / enough,suffisamment / assez,ضرورت کے مطابق / کافی حد تک,Phrase indicating that a quantity or degree is adequate for the situation.,نِمْتُ بِمَا فِيهِ الكِفَايَةُ.,I slept sufficiently.,True,True,,verified
93,مِنْ قِبَلِ الجَمِيعِ,by everyone / on the part of all,par tout le monde / de la part de tous,سب کی طرف سے,Phrase used to indicate universal agreement or participation in an action.,هَذَا مَقْبُولٌ مِنْ قِبَلِ الجَمِيعِ.,This is accepted by everyone.,True,True,,verified
94,بِالمُقَارَنَةِ مَعَ,compared with / in comparison to,par comparaison avec / par rapport à,کے مقابلے میں,Phrase used to contrast two entities to highlight their differences or similarities.,هُوَ طَوِيلٌ بِالمُقَارَنَةِ مَعَ أَخِيهِ.,He is tall compared with his brother.,True,True,,verified
95,بِدُونِ أَيِّ تَأْخِيرٍ,without any delay / promptly,sans aucun retard / sans tarder,بغیر کسی تاخیر کے,Phrase emphasizing that an action must be performed immediately.,اِفْعَلْ ذَلِكَ بِدُونِ أَيِّ تَأْخِيرٍ.,Do that without any delay.,True,True,,verified
96,مِنْ نَاحِيَةٍ جُزْئِيَّةٍ,partially / from a partial standpoint,partiellement / d'un point de vue partiel,جزئی طور پر,Phrase used to indicate that a statement applies only to a part of the whole.,هَذَا صَحِيحٌ مِنْ نَاحِيَةٍ جُزْئِيَّةٍ.,This is partially correct.,True,True,,verified
97,عَلَى العُمُومِ,in general / generally speaking,en général / d'une manière générale,عام طور پر,Adverbial phrase used to indicate that a statement is true for most of the time or for most people.,عَلَى العُمُومِ، الحَيَاةُ صَعْبَةٌ.,"In general, life is difficult.",True,True,,verified
98,فِي هَذَا السِّيَاقِ,in this context,dans ce contexte,اس تناظر میں,Phrase used to link a statement to the specific surrounding circumstances or the flow of a discussion.,سَنُقَرِّرُ فِي هَذَا السِّيَاقِ.,We will decide in this context.,True,True,,verified
99,بِدُونِ مُبَالَغَةٍ,without exaggeration / literally,sans exagération / littéralement,مبالغہ آرائی کے بغیر,Phrase used to assert that a statement is accurately true even if it sounds extreme.,هُوَ عَبْقَرِيٌّ بِدُونِ مُبَالَغَةٍ.,He is a genius without exaggeration.,True,True,,verified
100,فِي نِهَايَةِ المَطَافِ,in the end / after all,finalement / après tout,آخرکار / قصہ مختصر,Phrase used to express the final outcome or conclusion.,فِي نِهَايَةِ المَطَافِ، سَنَرَى.,"In the end, we will see.",True,True,,verified
