rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
549,بِغَرَضِ الاِسْتِمَالَةِ العَاطِفِيَّةِ,بغرض الاستمالة العاطفية,for the purpose of emotional winning over / manipulation,à des fins de séduction émotionnelle / de manipulation,جذباتی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to play on someone's feelings (pity, love, or anger) to get them to agree with a point or side.",بَكَى بِغَرَضِ الاِسْتِمَالَةِ العَاطِفِيَّةِ.,He cried for the purpose of emotional winning over.,— (multiword expression; no single lexical root),"لِلتَّأْثِيرِ النَّفْسِيِّ, لِجَذْبِ القَلْبِ",3,0.667,الاستمالة,4,0.750,الاستمالة,low_calima_front_coverage,explicit_review_required
563,بِغَرَضِ الاِسْتِمَالَةِ المِهَنِيَّةِ,بغرض الاستمالة المهنية,for the purpose of professional winning over / networking,à des fins de séduction professionnelle / de réseautage,پیشہ ورانہ طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince a colleague, a boss, or a client to support your work or join your business project.",أَرْسَلَ السِّيرَةَ الذَّاتِيَّةَ بِغَرَضِ الاِسْتِمَالَةِ المِهَنِيَّةِ.,He sent the CV for the purpose of professional winning over.,— (multiword expression; no single lexical root),"لِكَسْبِ ثِقَةِ الزُّمَلَاءِ, لِلْعَمَلِ",3,0.667,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
576,بِغَرَضِ الاِسْتِمَالَةِ الفَنِّيَّةِ,بغرض الاستمالة الفنية,for the purpose of artistic winning over / aesthetic appeal,à des fins de séduction artistique / d'attrait esthétique,فنی (آرٹسٹک) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince an audience through beauty, style, or creative skill rather than logic.",زَيَّنَ الكِتَابَ بِغَرَضِ الاِسْتِمَالَةِ الفَنِّيَّةِ.,He decorated the book for the purpose of artistic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ الذَّوْقِ, لِلْجَمَالِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
589,بِغَرَضِ الاِسْتِمَالَةِ الدِّبْلُومَاسِيَّةِ,بغرض الاستمالة الدبلوماسية,for the purpose of diplomatic winning over / lobbying,à des fins de séduction diplomatique / de lobbying,سفارتی طور پر مائل کرنے کی غرض سے,Phrase used when an action is taken to convince foreign governments or international organizations to support a specific policy or peace plan.,زَارَ الوَزِيرُ العَاصِمَةَ بِغَرَضِ الاِسْتِمَالَةِ الدِّبْلُومَاسِيَّةِ.,The minister visited the capital for the purpose of diplomatic winning over.,— (multiword expression; no single lexical root),"لِكَسْبِ الحُلَفَاءِ, لِلسِّيَاسَةِ الدَّوْلِيَّةِ",3,0.667,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
602,بِغَرَضِ الاِسْتِمَالَةِ المَنْطِقِيَّةِ,بغرض الاستمالة المنطقية,for the purpose of logical winning over / persuasion,à des fins de séduction logique / de persuasion,منطقی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone using cold facts, numbers, and clear reasoning rather than emotion or style.",قَدَّمَ الأَدِلَّةَ بِغَرَضِ الاِسْتِمَالَةِ المَنْطِقِيَّةِ.,He presented evidence for the purpose of logical winning over.,— (multiword expression; no single lexical root),"لِلاِقْنِاعِ بِالعَقْلِ, لِلْبُرْهَانِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
614,بِغَرَضِ الاِسْتِمَالَةِ الكِلاسِيكِيَّةِ,بغرض الاستمالة الكلاسيكية,for the purpose of classical winning over / traditional appeal,à des fins de séduction classique / d'attrait traditionnel,کلاسیکی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone using old-fashioned, high-culture, or traditionally elegant methods (like a formal poem or a handwritten letter).",كَتَبَ الرِّسَالَةَ بِغَرَضِ الاِسْتِمَالَةِ الكِلاسِيكِيَّةِ.,He wrote the letter for the purpose of classical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ القُلُوبِ بِالأَدَبِ, لِلْجَمَالِ القَدِيمِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
627,بِغَرَضِ الاِسْتِمَالَةِ العَبْقَرِيَّةِ,بغرض الاستمالة العبقرية,for the purpose of genius winning over / brilliant appeal,à des fins de séduction géniale / d'attrait brillant,عبقری (جینیئس) طور پر مائل کرنے کی غرض سے,Phrase used when an action is taken to convince someone using a plan so brilliant and complex that it looks like it was created by a genius.,صَمَّمَ المَشْرُوعَ بِغَرَضِ الاِسْتِمَالَةِ العَبْقَرِيَّةِ.,He designed the project for the purpose of genius winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ العُقُولِ الذَّكِيَّةِ, لِلإِبْدَاعِ الفَرِيدِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
639,بِغَرَضِ الاِسْتِمَالَةِ المَلَحِمِيَّةِ,بغرض الاستمالة الملحمية,for the purpose of epic winning over / heroic appeal,à des fins de séduction épique / d'attrait héroïque,رزمیہ (ایپک) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince a nation or a group by invoking great stories of heroes, battles, and legendary glory.",خَطَبَ المَلِكُ بِغَرَضِ الاِسْتِمَالَةِ المَلَحِمِيَّةِ.,The king spoke for the purpose of epic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ قُلُوبِ الفُرْسَانِ, لِلْمَجْدِ العَظِيمِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
649,بِغَرَضِ الاِسْتِمَالَةِ السِّينِمَائِيَّةِ,بغرض الاستمالة السينمائية,for the purpose of cinematic winning over / visual storytelling,à des fins de séduction cinématographique / de narration visuelle,سینمائی (مووی) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince an audience by using powerful images, lighting, and dramatic music, like in a movie.",صَوَّرَ الإِعْلَانَ بِغَرَضِ الاِسْتِمَالَةِ السِّينِمَائِيَّةِ.,He filmed the advertisement for the purpose of cinematic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ الأَنْظَارِ بِالفَنِّ, لِلصُّورَةِ المُؤَثِّرَةِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
661,بِغَرَضِ الاِسْتِمَالَةِ المِعْمَارِيَّةِ,بغرض الاستمالة المعمارية,for the purpose of architectural winning over / structural appeal,à des fins de séduction architecturale / d'attrait structurel,معمارانہ (آرکیٹیکچرل) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them beautiful buildings, grand designs, and perfect urban planning.",بَنَى القَصْرَ بِغَرَضِ الاِسْتِمَالَةِ المِعْمَارِيَّةِ.,He built the palace for the purpose of architectural winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ القُلُوبِ بِالبُنْيَانِ, لِلْجَمَالِ المَبْنِيِّ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
669,بِمَحْضِ تَقْدِيرِكَ العِلْمِيِّ الجِينِيِّ,بمحض تقديرك العلمي الجيني,at your own scientific and genetic discretion,à ta seule discrétion scientifique et génétique,آپ کی اپنی سائنسی اور جینیاتی صوابدید پر,"(Triple emphatic). Focuses entirely on the listener's understanding of DNA, heredity, and the biological code of life.",عَدِّلِ الخَلِيَّةَ بِمَحْضِ تَقْدِيرِكَ العِلْمِيِّ الجِينِيِّ.,Edit the cell at your own scientific and genetic discretion.,— (multiword expression; no single lexical root),"حَسْبَ الشَّفْرَةِ الوِرَاثِيَّةِ, لِلْعَالِمِ الجِينِيِّ",4,0.750,الجيني,6,0.833,الجيني,low_calima_front_coverage,explicit_review_required
671,بِغَرَضِ الاِسْتِمَالَةِ الفَلْسَفِيَّةِ,بغرض الاستمالة الفلسفية,for the purpose of philosophical winning over / intellectual appeal,à des fins de séduction philosophique / d'attrait intellectuel,فلسفیانہ طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using deep questions about life, existence, and the meaning of the soul.",نَاقَشَ الوُجُودَ بِغَرَضِ الاِسْتِمَالَةِ الفَلْسَفِيَّةِ.,He discussed existence for the purpose of philosophical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ العُقُولِ بِالحِكْمَةِ, لِلْبَحْثِ عَنِ الحَقِيقَةِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
679,بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ,بغرض الاستمالة الفيزيائية,for the purpose of physical winning over / material appeal,à des fins de séduction physique / d'attrait matériel,مادی (فزیکل) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them physical objects, material wealth, or the strength of one's body.",قَدَّمَ المَالَ بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ.,He presented the money for the purpose of physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ الحَوَاسِّ, لِلمَادَّةِ المَلْمُوسَةِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
689,بِغَرَضِ الاِسْتِمَالَةِ الكِيمْيَائِيَّةِ,بغرض الاستمالة الكيميائية,for the purpose of chemical winning over / hormonal appeal,à des fins de séduction chimique / d'attrait hormonal,کیمیائی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using perfumes, medicines, or things that affect the body's internal chemistry and feelings.",اِسْتَعْمَلَ العِطْرَ بِغَرَضِ الاِسْتِمَالَةِ الكِيمْيَائِيَّةِ.,He used perfume for the purpose of chemical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ الجَسَدِ, لِلتَّأْثِيرِ الحَيَوِيِّ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
701,بِغَرَضِ الاِسْتِمَالَةِ الجِيُولوجِيَّةِ,بغرض الاستمالة الجيولوجية,for the purpose of geological winning over / territorial appeal,à des fins de séduction géologique / d'attrait territorial,جیو لوجیکل طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them the value of the rocks, minerals, and the deep earth secrets of a land.",نَقَّبَ بِغَرَضِ الاِسْتِمَالَةِ الجِيُولوجِيَّةِ.,He prospected for the purpose of geological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النَّاسِ بِالثَّرَوَاتِ, لِلأَرْضِ العَمِيقَةِ",3,0.667,الاستمالة,4,0.750,الاستمالة,low_calima_front_coverage,explicit_review_required
712,بِغَرَضِ الاِسْتِمَالَةِ الفَلَكِيَّةِ,بغرض الاستمالة الفلكية,for the purpose of astronomical winning over / cosmic appeal,à des fins de séduction astronomique / d'attrait cosmique,فلکیاتی (ایسٹرونومیکل) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them the beauty of the stars, the planets, and the vastness of the universe.",رَصَدَ النُّجُومَ بِغَرَضِ الاِسْتِمَالَةِ الفَلَكِيَّةِ.,He observed the stars for the purpose of astronomical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالفَضَاءِ, لِجَمَالِ السَّمَاءِ العَمِيقِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
723,بِغَرَضِ الاِسْتِمَالَةِ الجِينِيَّةِ,بغرض الاستمالة الجينية,for the purpose of genetic winning over / hereditary appeal,à des fins de séduction génétique / d'attrait héréditaire,جینیاتی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them the value of their DNA, their ancestry, and the biological power of their family line.",دَرَسَ السُّلالَةَ بِغَرَضِ الاِسْتِمَالَةِ الجِينِيَّةِ.,He studied the lineage for the purpose of genetic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النَّاسِ بِأَصْلِهِمْ, لِلشَّفْرَةِ الوِرَاثِيَّةِ",3,0.333,الاستمالة|الجينية,5,0.600,الاستمالة|الجينية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
732,بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ,بغرض الاستمالة السوسيولوجية,for the purpose of sociological winning over / social appeal,à des fins de séduction sociologique / d'attrait social,عمرانیاتی (سوشل بیالوجیکل) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince a group of people by understanding their social habits, their fears, and their group identity.",خَاطَبَ الشَّعْبَ بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ.,He addressed the people for the purpose of sociological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ الجَمَاهِيرِ بِالفَهْمِ, لِلْوَاقِعِ الاِجْتِمَاعِيِّ",3,0.333,الاستمالة|السوسيولوجية,5,0.600,الاستمالة|السوسيولوجية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
755,بِغَرَضِ الاِسْتِمَالَةِ الرُّوحَانِيَّةِ,بغرض الاستمالة الروحانية,for the purpose of spiritual winning over / soulful appeal,à des fins de séduction spirituelle / d'attrait de l'âme,روحانی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by speaking to their soul, their conscience, and their deep internal connection to the Divine.",خَاطَبَ القَلْبَ بِغَرَضِ الاِسْتِمَالَةِ الرُّوحَانِيَّةِ.,He addressed the heart for the purpose of spiritual winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالإِيمَانِ, لِلصَّفَاءِ الدَّاخِلِيِّ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
764,بِغَرَضِ الاِسْتِمَالَةِ العَقْلِيَّةِ,بغرض الاستمالة العقلية,for the purpose of intellectual winning over / rational appeal,à des fins de séduction intellectuelle / d'attrait rationnel,عقلی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using pure logic, facts, and the power of the human mind.",نَاقَشَ الفَيْلسُوفُ بِغَرَضِ الاِسْتِمَالَةِ العَقْلِيَّةِ.,The philosopher discussed for the purpose of intellectual winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالمَنْطِقِ, لِلفَهْمِ العَمِيقِ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
773,بِغَرَضِ الاِسْتِمَالَةِ الكَوْنِيَّةِ,بغرض الاستمالة الكونية,for the purpose of cosmic winning over / universal appeal,à des fins de séduction cosmique / d'attrait universel,آفاقی طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power, mystery, and the absolute laws of the entire universe.",نَظَرَ إِلَى النُّجُومِ بِغَرَضِ الاِسْتِمَالَةِ الكَوْنِيَّةِ.,He looked at the stars for the purpose of cosmic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالحَقِيقَةِ الكُبْرَى, لِلفَضَاءِ العَمِيقِ",3,0.667,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
782,بِغَرَضِ الاِسْتِمَالَةِ الإِيكُولُوجِيَّةِ,بغرض الاستمالة الإيكولوجية,for the purpose of ecological winning over / nature appeal,à des fins de séduction écologique / d'attrait de la nature,ایکولوجیکل (ماحولیاتی) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by showing them the beauty, balance, and the absolute power of nature and the planet.",صَوَّرَ الغَابَةَ بِغَرَضِ الاِسْتِمَالَةِ الإِيكُولُوجِيَّةِ.,He photographed the forest for the purpose of ecological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالطَّبِيعَةِ, لِلْبِيئَةِ الخَضْرَاءِ",3,0.333,الاستمالة|الإيكولوجية,5,0.600,الاستمالة|الإيكولوجية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
801,بِغَرَضِ الاِسْتِمَالَةِ الجِيُوبُولِيتِيكِيَّةِ,بغرض الاستمالة الجيوبوليتيكية,for the purpose of geo-political winning over / border-based appeal,à des fins de séduction géopolitique / d'attrait des frontières,جیو پولیٹیکل طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of maps, the location of land, and the absolute rules of international power.",رَسَمَ الخَرِيْطَةَ بِغَرَضِ الاِسْتِمَالَةِ الجِيُوبُولِيتِيكِيَّةِ.,He drew the map for the purpose of geo-political winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالقُوَّةِ الدَّوْلِيَّةِ, لِلْمَكَانِ العَمِيقِ",3,0.333,الاستمالة|الجيوبوليتيكية,5,0.600,الاستمالة|الجيوبوليتيكية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
822,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ الجِيُوبُولِيتِيكِيِّ,من الصعب تفادي الوقوع في هذا الشراك الجيوبوليتيكي,hard to avoid falling into this geo-political web / international trap,difficile d'éviter de tomber dans ce tissu de pièges géopolitiques,اس جیو پولیٹیکل جال (بین الاقوامی شکنجے) میں گرنے سے بچنا مشکل ہو,"Phrase used when a country is surrounded by enemies, treaties, and borders in a way that no matter what move they make, they are caught in a global conflict.",غَرِقَتِ الدَّوْلَةُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ الجِيُوبُولِيتِيكِيِّ.,The state sank and it was hard to avoid falling into this geo-political web.,— (multiword expression; no single lexical root),"خَطَرٌ دَوْلِيٌّ شَامِلٌ, فَخٌّ حُدُودِيٌّ لا مَفَرَّ مِنْهُ",8,0.750,الشراك|الجيوبوليتيكي,10,0.800,الشراك|الجيوبوليتيكي,low_calima_front_coverage,explicit_review_required
830,بِغَرَضِ الاِسْتِمَالَةِ التِّكْنُولُوجِيَّةِ,بغرض الاستمالة التكنولوجية,for the purpose of technological winning over / machine appeal,à des fins de séduction technologique / d'attrait des machines,ٹیکنالوجیکل طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of speed, code, automation, and the absolute reality of machines.",صَمَّمَ الجِهَازَ بِغَرَضِ الاِسْتِمَالَةِ التِّكْنُولُوجِيَّةِ.,He designed the device for the purpose of technological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالعِلْمِ الآلِيِّ, لِلْعَالَمِ الرَّقْمِيِّ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
839,بِغَرَضِ الاِسْتِمَالَةِ البِيُولُوجِيَّةِ,بغرض الاستمالة البيولوجية,for the purpose of biological winning over / life-based appeal,à des fins de séduction biologique / d'attrait de la vie,بائیولوجیکل طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of nature, DNA, life-force, and the absolute rules of biology.",زَرَعَ الحَدِيْقَةَ بِغَرَضِ الاِسْتِمَالَةِ البِيُولُوجِيَّةِ.,He planted the garden for the purpose of biological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِسِرِّ الحَيَاةِ, لِلْعَالَمِ العُضْوِيِّ",3,0.667,الاستمالة,5,0.800,الاستمالة,low_calima_front_coverage,explicit_review_required
846,بِمَحْضِ تَقْدِيرِكَ العِلْمِيِّ السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ,بمحض تقديرك العلمي السوسيولوجي الإيكولوجي,"at your own scientific, sociological and ecological discretion","à ta seule discrétion scientifique, sociologique et écologique",آپ کی اپنی سائنسی، عمرانیاتی اور ایکولوجیکل صوابدید پر,"(Triple emphatic). Focuses entirely on the listener's understanding of human groups, habits, and the absolute rules of nature and life-balance.",نَظِّمِ المَدِينَةَ بِمَحْضِ تَقْدِيرِكَ العِلْمِيِّ السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ.,"Organize the city at your own scientific, sociological and ecological discretion.",— (multiword expression; no single lexical root),"حَسْبَ قَوَانِينِ الشُّعُوبِ وَالطَّبِيعَةِ, لِلْعَالِمِ الاِجْتِمَاعِيِّ البِيئِيِّ",5,0.600,السوسيولوجي|الإيكولوجي,7,0.714,السوسيولوجي|الإيكولوجي,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
848,بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ الكَوْنِيَّةِ,بغرض الاستمالة الفيزيائية الكونية,for the purpose of cosmic physical winning over / universe-based appeal,à des fins de séduction physique cosmique / d'attrait de l'univers,آفاقی مادی (فزیکل) طور پر مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of gravity, stars, energy, and the absolute physical reality of the entire universe.",رَسَمَ النُّجُومَ بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ الكَوْنِيَّةِ.,He drew the stars for the purpose of cosmic physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِقُوَّةِ السَّمَاءِ, لِلْمَادَّةِ العَمِيقَةِ الكَوْنِيَّةِ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
