source_rank,front,reasons
676,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا,synthetic_escalation_artifact
686,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
687,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا,synthetic_escalation_artifact
691,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا,synthetic_escalation_artifact
699,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
700,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا,synthetic_escalation_artifact
704,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا,synthetic_escalation_artifact
707,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الكِيمْيَائِيِّ,synthetic_escalation_artifact
713,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
714,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا,synthetic_escalation_artifact
716,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا,synthetic_escalation_artifact
725,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
726,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا,synthetic_escalation_artifact
729,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
739,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
740,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا,synthetic_escalation_artifact
744,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
753,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
754,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا,synthetic_escalation_artifact
758,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
761,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الجِينِيِّ,synthetic_escalation_artifact
768,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan,latin_in_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
769,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا,synthetic_escalation_artifact
773,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
776,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ المَنَاخِيِّ,synthetic_escalation_artifact
781,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
782,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا,overlong_front|synthetic_escalation_artifact
786,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
789,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الإِيكُولُوجِيِّ,synthetic_escalation_artifact
795,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
796,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
797,عَلَى وَشْكِ التَّلاشِي العَرْشِيِّ التَّامِّ,synthetic_escalation_artifact
800,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
802,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الطِّبِّيِّ,synthetic_escalation_artifact
807,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
808,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
809,عَلَى وَشْكِ التَّلاشِي القُدُسِيِّ المَحْضِ,synthetic_escalation_artifact
812,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
813,بِغَرَضِ الاِسْتِمَالَةِ العَرْشِيَّةِ,synthetic_escalation_artifact
815,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ المَجَرِّيِّ,synthetic_escalation_artifact
818,عَلَى نِطَاقٍ تَرْبَوِيٍّ كَوْنِيٍّ شَامِلٍ,synthetic_escalation_artifact
819,فِي هَذِهِ المَرْحَلَةِ المِفْصَلِيَّةِ العَرْشِيَّةِ لِلْغَايَةِ,synthetic_escalation_artifact
822,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
823,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
825,بِمَحْضِ تَقْدِيرِكَ العِلْمِيِّ الفَلَكِيِّ الكَوْنِيِّ العَرْشِيِّ,synthetic_escalation_artifact
827,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
834,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
835,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ SH-D-Y-D-T-M-M-J-D-D-M-Ṭ-L-Q-N-H-Y-K-L-L-J-DH-R-K-W-N-S-R-M-KH-L-N-W-R-M-L-K-R-W-Ḥ,latin_in_front|synthetic_escalation_artifact
839,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
842,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الرُّوحِيِّ,synthetic_escalation_artifact
847,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
848,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
852,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا خَالِدِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
855,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ العَقْلِيِّ,synthetic_escalation_artifact
860,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan khalidiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
861,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
865,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
868,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ السُّوسِيُولُوجِيِّ,synthetic_escalation_artifact
874,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan khalidiyyan nuraniyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
875,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
879,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
881,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ الجِيُوبُولِيتِيكِيِّ,synthetic_escalation_artifact
888,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
889,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
892,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
895,بِمَا لَا يَدَعُ مَجَالاً لِلتَّبَاينِ التِّكْنُولُوجِيِّ,synthetic_escalation_artifact
902,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
903,بِغَضِّ النَّظَرِ عَنِ الاِعْتِبَارَاتِ النَّفْسِيَّةِ العَابِرَةِ لِلأَسَفِ المُرِّ القَاتِلِ الشَّدِيدِ تَمَامًا جِدًّا مُطْلَقًا نِهَائِيًّا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
907,عَلَى مَدَى الأَجْيَالِ المُنْبَعِثَةِ مِنْ بَيْنِ الرُّكَامِ بَعْدَ الصَّبْرِ الجَمِيلِ جِدًّا تَمَامًا نِهَائِيًّا مُطْلَقًا كُلِّيًّا جَذْرِيًّا كَوْنِيًّا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا قُدُسِيًّا نِهَائِيًّا مَحْضًا سَرْمَدِيًّا خَالِدِيًّا نُورَانِيًّا مَلَكُوتِيًّا رُوحَانِيًّا عَرْشِيًّا,overlong_front|too_many_front_tokens|synthetic_escalation_artifact
913,فِي المَدَى المَنْظُورِ القَرِيبِ المَلْمُوسِ fawran jiddan haalan tamaman mutlaqan nihaiyyan kulliyan jadriyyan kowniyyan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan qudusiyyan nihaiyyan mahdan sarmadiyyan khalidiyyan nuraniyyan malakutiyyan ruhaniyyan arshiyyan,latin_in_front|overlong_front|synthetic_escalation_artifact|normalized_duplicate_of_source_rank_372
