rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,kaikki_entry,semantic_source,source,legacy_crosscheck,kaikki_crosscheck,freedict_crosscheck,meaning_selection
31,نہ,not; neither; do not,adv|conj|particle,46989,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"not; neither, nor",,explicit_high_risk_review
32,جب,when,adv,46894,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,when (non-interrogative),,explicit_high_risk_review
33,اپنے,one's own; own (masculine plural/oblique form of اپنا),closed-class,46829,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
34,آپ,you (formal/honorific); oneself,pron,46299,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"reflexive pronoun: oneself, one's own; third-person subjective or objective personal pronoun, exclusively used for the Islamic prophet Muhammad: he; second-person subjective or objective personal pronoun, grammatically plural: you, ye; Early Modern English formal ye",,explicit_high_risk_review
35,جس,who/which/that (oblique singular relative pronoun),closed-class,45733,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
36,دیا,gave; given (masculine singular form of دینا); lamp,noun,45394,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,gift; lamp; love,,explicit_high_risk_review
37,تھے,were (masculine plural/honorific),verb,43418,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine plural imperfect indicative of ہونا (honā),,explicit_high_risk_review
38,ہوئے,became; happened; were (plural/honorific form),verb,42427,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine plural perfect indicative; masculine plural perfective participle,,explicit_high_risk_review
39,تک,until; up to; as far as,closed-class,42422,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
40,بعد,after; afterwards,noun|postp|prep,40860,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"after; posterior, subsequent; later or succeeding time",,explicit_high_risk_review
41,ساتھ,"together; side (figuratively, the region near someone)",adv|noun,38807,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"together; side (figuratively, the region near someone)",,kaikki
42,لیکن,but; however,conj,38482,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,but; except,,explicit_high_risk_review
43,گی,will (feminine future marker),suffix,37533,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,form of the suffix ـی (-ī) for words that end in the short vowel ـہ (-a),,explicit_high_risk_review
44,کوئی,someone; anyone; some; any,adj|pron,36801,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,any; some; certain,,explicit_high_risk_review
45,گے,will (masculine plural/honorific future marker),noun,36725,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"gay, homosexual",,explicit_high_risk_review
46,اپنی,one's own; own (feminine form of اپنا),closed-class,33693,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
47,وقت,"time; turn; era, duration",noun,33424,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"time; turn; era, duration",,kaikki
48,بہت,"many, much; enough, sufficient",adj,33032,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"many, much; enough, sufficient",,kaikki
49,کسی,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",adj|pron,32246,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"oblique of کوئی (koī): anyone, someone; oblique of کوئی (koī): some, a certain, a given",,kaikki
50,تھی,was (feminine singular),verb,31627,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,feminine singular imperfect indicative of ہونا (honā),,explicit_high_risk_review
51,یا,or; O!/oh! (vocative in some contexts),conj|intj,31361,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,or; oh!,,explicit_high_risk_review
52,ہم,also; either; as well,adv|conj|det|pron,30962,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,also; either; as well,,kaikki
53,ہوں,first-person singular present indicative/subjunctive of ہونا (honā),verb,30623,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,first-person singular present indicative/subjunctive of ہونا (honā),,kaikki
54,زیادہ,"more, very many, excessive; more, much, a lot, excessively",adj|adv,29541,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"more, very many, excessive; more, much, a lot, excessively",,kaikki
55,ملک,"realm; country, land",noun,29528,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"realm; country, land",,kaikki
56,بات,"saying; thing, point; matter, affair",noun,29415,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"saying; thing, point; matter, affair",,kaikki
57,طرح,"condition; type, kind; method, manner, mode",noun,28965,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"condition; type, kind; method, manner, mode",,kaikki
58,اگر,if; agarwood,conj|noun,28729,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,if; agarwood,,kaikki
59,اب,as; thus; father,adv|noun,28345,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,as; thus; father,,kaikki
60,حکومت,"government; power, reign, rule; jurisdiction; authority",noun,28332,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"government; power, reign, rule; jurisdiction; authority",,kaikki
61,دو,two,num,28236,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,two,,kaikki
62,ہوا,air; whiff; wind; breeze,noun|verb,27535,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,air; whiff; wind; breeze,,kaikki
63,دی,gave (feminine singular form of دینا),content word,27265,True,False,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
64,ہوتا,is/becomes/happens habitually; would be (masculine singular),verb,26341,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine singular contrafactual; masculine singular habitual participle,,explicit_high_risk_review
65,کام,love; lust; wish,noun,26218,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,love; lust; wish,,kaikki
66,حاصل,"conclusion, result; obtained, acquired; achieved",adj,25881,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"conclusion, result; obtained, acquired; achieved",,kaikki
67,سب,all; every,adj|det|pron,24486,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,all; every,,kaikki
68,کرنا,to do; to make; to cause,verb,24242,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,to do; to make; to cause,,kaikki
69,ہر,each; every,det,24102,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,each; every,,kaikki
70,سی,like; as; -like (feminine comparative/resemblance form),closed-class,23927,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
71,طور,"hill, mount; manner, way; state, condition",noun,22284,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"hill, mount; manner, way; state, condition",,kaikki
72,خان,khan,name|noun,21801,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,khan,,kaikki
73,پہلے,direct masculine plural; oblique masculine singular/plural,adj,21641,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,direct masculine plural; oblique masculine singular/plural,,kaikki
74,کچھ,some,adj|adv|pron,21568,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,some,,kaikki
75,صرف,"busy; morphology; only, just",adj|adv|noun,21425,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"busy; morphology; only, just",,kaikki
76,انہیں,them; to them,pron,20853,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,contracted dative/accusative singular of وہ (vo); contracted dative/accusative singular of یہ (ye),,explicit_high_risk_review
77,سال,hall; year; house,noun,20564,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,hall; year; house,,kaikki
78,وجہ,reason; cause,noun,20301,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"face, visage, countenance, aspect; presence, appearance, shape, semblance; means of subsistence; wages, salary; money",,explicit_high_risk_review
79,کم,few; little (not much); less (in lower degree; to smaller extent),adj|adv|det,20261,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,few; little (not much); less (in lower degree; to smaller extent),,kaikki
80,جنگ,war; fight; battle,noun,20095,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,war; fight; battle,,kaikki
81,اسے,him; her; it; to him/her/it,pron,19942,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,contracted dative/accusative singular of وہ (vo); contracted dative/accusative singular of یہ (ye),,explicit_high_risk_review
82,لیے,for; for the sake of,verb,19820,False,True,False,True,Kaikki/Wiktextract,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,masculine plural perfect indicative; masculine plural perfective participle,,explicit_high_risk_review
83,صدر,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",name|noun,19575,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"president; chief, head; host (of an event etc.); Saddar (a neighbourhood of Karachi, Sindh, Pakistan)",,kaikki
84,تمام,all; every,adj,19203,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,all; every,,kaikki
85,اسی,eighty,num,19032,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,eighty,,kaikki
86,خلاف,"against, opposed",adj,18573,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"against, opposed",,kaikki
87,احمد,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",name,18454,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"an epithet for Prophet Muhammad; a male surname, Ahmed or Ahmad, from Arabic; a male given name, Ahmed or Ahmad, from Arabic",,kaikki
88,طرف,side; direction,noun,17960,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,side; direction,,kaikki
89,دنیا,Earth; world; kingdom,noun,17856,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,Earth; world; kingdom,,kaikki
90,شروع,onset; beginning; commencement,noun,17615,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,onset; beginning; commencement,,kaikki
91,افراد,"kinds, types, species",noun,17315,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"kinds, types, species",,kaikki
92,وزیر,vizier; minister; queen / fers,noun,16475,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,vizier; minister; queen / fers,,kaikki
93,جن,who; which; those who (plural oblique),noun,16169,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,jinn; demon,,explicit_high_risk_review
94,آباد,populous; inhabited; cultivated,adj|suffix,15957,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,populous; inhabited; cultivated,,kaikki
95,دور,"far, far off; distant, remote; period, era, age",adj|adv|noun,15906,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"far, far off; distant, remote; period, era, age",,kaikki
96,آ,come; come! (stem/imperative of آنا),character,15727,True,False,False,True,Kaikki/Wiktextract,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"A vowel of Urdu, the variant of alif used for initial /aː/",,explicit_high_risk_review
97,دوست,friend,noun,15494,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,friend,,kaikki
98,علی,"Ali ibn Abi Talib; a male given name, Ali, from Arabic; upon, over, on (only used in borrowed Arabic phrases; see related terms below)",name|prep,15436,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"Ali ibn Abi Talib; a male given name, Ali, from Arabic; upon, over, on (only used in borrowed Arabic phrases; see related terms below)",,kaikki
99,ڈاکٹر,doctor; physician,noun,15370,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,doctor; physician,,kaikki
100,شامل,"associated, involved; included, comprised, incorporated",adj,15136,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"associated, involved; included, comprised, incorporated",,kaikki
