rank,front,meaning,frequency_evidence,frequency_source,evidence_tier,iwn_en_english_ids,iwn_en_direct_sense_count,selected_direct_sense_count,indowordnet_lemma,kaikki_meaning,readurdu_meaning,word2word_meaning,external_selector_score,semantic_basis
1027,لگا,fixed,6494,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1100072,1,1,False,,"seemed, struck, began (of لگنا)",Pleasure; felt; meet; MEET; Nice,0,IWN-En Direct manual link (single direct sense)
1028,تازہ ترین,up-to-the-minute; latest,6469,CLE Urdu top-5000 frequency list,A_direct_iwn_en,701863,1,1,False,,,,0,IWN-En Direct manual link (single direct sense)
1029,گرفتار,stressed; distressed; in a bad way(p); prisoner; captive; engulfed; enveloped; swallowed,6428,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2541245|10319255|1718595,3,3,False,,adj. &,arrest; captured; arrested; under; captivated,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1030,اقبال,adoption; acceptance; acceptation; espousal; luck; fortune; chance; hazard,6264,CLE Urdu top-5000 frequency list,A_direct_iwn_en,176880|11253548,3,2,False,,"s.m. Prosperity, good fortune, auspices, felicity; prestige; — acceptance (of a bond, bill, &c.); admission…",,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1031,پروگرام,program; programme; computer program; computer programme,6197,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6482276,2,1,True,,,program; WOULD; Continuing; vaccination; programs,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1032,نمبر,mark; grade; score; numeral; number; identification number; issue,6107,CLE Urdu top-5000 frequency list,A_direct_iwn_en,5666505|6715816|6339243|6509212|5036355|13407358,8,6,True,,"number, numeral; phone number",number; No; numbers; requested; calling,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1033,لی,Lie; Trygve Lie; Trygve Halvden Lie,6097,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10968780,1,1,False,,took (feminine of لینا),took; Le; Midnight; Wherever; meeting,0,IWN-En Direct manual link (single direct sense)
1034,رپورٹ,report; study; written report; account,6039,CLE Urdu top-5000 frequency list,A_direct_iwn_en,7119574|7119028,2,2,False,,report,report; reported; REPORTS; RE; -Did,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1035,خطاب,vocative; vocative case; title; title of respect; form of address,5872,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6228825|6254336,2,2,False,,(inf. n. of iii of خطب 'to recite'),Speech; mechanical; modestly; engineer; Speaking,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1036,سرکاری,governmental,5791,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2924583,1,1,False,,"governmental, official",official; officially; Officially; answer; Google-proof,1,IWN-En Direct manual link (single direct sense)
1037,بورڈ,board; blackboard; chalkboard; council; committee; commission,5620,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2828722|2819077|8208859|8195432|8210392,5,5,True,,,mile; Oakland; resident; Pinsky; Justin,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1038,چکا,wheel; potter' s wheel,5540,CLE Urdu top-5000 frequency list,A_direct_iwn_en,4521217|4520493|3947493,3,3,True,,already done (completive of چکنا),letters; drop; gone; Actually; bought,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1039,حسن,virtue,5403,CLE Urdu top-5000 frequency list,A_direct_iwn_en,4792148,1,1,True,,beauty,seats; kindly; Good; stay; Lord,0,IWN-En Direct manual link (single direct sense)
1040,صوبائی,provincial,5348,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2871065,2,1,False,,provincial,,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1041,کانفرنس,conference,5120,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8194558,2,1,False,,conference,conference; Sydney; Eyes; Five; -Press,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1042,مولانا,ethicist; ethician; Mullah; Mollah; Mulla,5090,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9915472|10183939,2,2,False,,a maulana,,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1043,پہنچ,scope; range; reach; orbit; compass; ambit; outreach,4983,CLE Urdu top-5000 frequency list,A_direct_iwn_en,5065140|345345,2,2,False,,(see pahuṅćnā),reach; reached; gotten; solid; undo,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1044,پیداوار,product; production,4983,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3962771|899833,3,2,True,,"produce; yield (of land); production, manufacture",produce; production; warm; nice; Increase,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1045,کونسل,council,4975,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8195432,2,1,False,,,council; Council; grant; supersede; sole,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1046,صورتحال,status; position,4933,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13759811,3,1,False,,,situation; Steps; Directly; status; SOUNDS,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1047,درج,registered,4899,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2027948,2,1,False,,(inf. n. of درج 'to fold or roll up'),Enter; trumpeted; entered; Ahab; Recorded,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1048,معاشی,fiscal; financial,4819,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2933054,1,1,False,,,economic; control; This; social; is,0,IWN-En Direct manual link (single direct sense)
1049,قیام,residency; residence; abidance,4801,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1039590,3,1,False,,"stay, residence; establishment",formation; stay; visit; Keep; Mangrove,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1050,ڈالر,Cayman Islands dollar; Hong Kong dollar; New Zealand dollar; Trinidad and Tobago dollar; United States dollar; Brunei dollar; Canadian dollar; Australian dollar; Bahamian dollar; Barbados dollar; Belize dollar; Bermuda dollar; Taiwan dollar; Fiji dollar; Grenada dollar; Guyana dollar,4749,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13492700|13493188|13493576|13493871|13494083|13492273|13492605|13491778|13491888|13491988|13492085|13492178|13493778|13492911|13493000|13493095|13492813|13493287|13493679|13493383|13493480|13493990|13494393|13481061,24,24,True,,dollar,dollars; billions; Dollars; bald; 1200,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1051,بہترین,best,4740,CLE Urdu top-5000 frequency list,A_direct_iwn_en,248569,2,1,False,,"best, excellent",best; demands; Best; school; Detective,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1052,زیر,defeated,4719,CLE Urdu top-5000 frequency list,A_direct_iwn_en,730563,1,1,False,,"under, below (زیرِ غور = under consideration)",underground; footprint; logs; figure; deck,0,IWN-En Direct manual link (single direct sense)
1053,زخمی,hurt; wounded; maimed,4700,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1367907|7842817,3,2,False,,(rel. n. fr. zaḵẖm),wounded; -Medic; Buddy; leg; attacks,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1054,شخصیت,personality,4699,CLE Urdu top-5000 frequency list,A_direct_iwn_en,4562609,1,1,False,,"(for A. شخصية, abst. s. fr. شخصی, rel. n. of shaḵẖṣ)",personality; Multiple; disorder; controversy; figure,1,IWN-En Direct manual link (single direct sense)
1055,متاثر,stressed; distressed; in a bad way(p); affected,4625,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2541245|76117,2,2,True,,,impressed; impressive; KNEW; L.A; HIT,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1056,حیثیت,capability; capableness,4516,CLE Urdu top-5000 frequency list,A_direct_iwn_en,5141007,1,1,False,,"status, standing, capacity",position; exactly; supported; fully; refugee,0,IWN-En Direct manual link (single direct sense)
1057,کہیں,somewhere; someplace; anywhere; anyplace,4506,CLE Urdu top-5000 frequency list,A_direct_iwn_en,26220|25951,3,2,True,,"somewhere, anywhere",anywhere; somewhere; nowhere; Anywhere; wherever,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1058,ملا,Mullah; Mollah; Mulla,4477,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10183939,5,1,False,,"met, received (of ملنا); mullah",got; Got; found; met; SECOND,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1059,زائد,excess; extra; redundant; spare; supererogatory; superfluous; supernumerary; surplus; accretion,4350,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1639173|13252491,2,2,False,,"(act. part. of زيد 'to increase,' &c.)",over; Lights; Waziristan; Impala; lanes,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1060,شرح,ratio,4343,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13637796,1,1,False,,rate; commentary,rate; Heart; rising; highest; homicide,0,IWN-En Direct manual link (single direct sense)
1061,تقریب,celebration; jubilation,4342,CLE Urdu top-5000 frequency list,A_direct_iwn_en,7348821,3,1,False,,"s.f. Giving access (to), causing to approach, bringing near; approaching; approximation, proximity; approach,…",event; an; other; won; night,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1062,جمع,collection; collecting; assembling; aggregation; collected; gathered,4222,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1000048|3227290,5,2,True,,(inf. n. of جمع 'to collect'),gather; collecting; collection; scrap; metal,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1063,آؤٹ,out,4201,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,0,True,,out,OUT; walk-out; ONE-NINETY-EIGHT; MIGHT; NOT,2,IndoWordNet Urdu lemma + ReadUrdu/word2word agreement
1064,رقم,sum; sum of money; amount; amount of money; fund; monetary fund,4004,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13159702|13186788,2,2,False,,"(inf. n. of رقم 'to stamp, mark,' &c.)",money; amount; My; dollars; Five,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1065,چیئرمین,chairmanship; presidency; presidentship; mayor; city manager; president,3968,CLE Urdu top-5000 frequency list,A_direct_iwn_en,584622|591382|10150149|10311921,4,4,False,,,,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1066,عرصہ,long time; age; years,3902,CLE Urdu top-5000 frequency list,A_direct_iwn_en,15043767,3,1,False,,"(for A. عرصة, v.n. fr. عرص 'to play, sport,' &c.)",long; ago; weren; staying; Tsars,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1067,یونیورسٹی,college; university,3842,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8164594|8172785,2,2,False,,university,University; hacked; bachelor; stored; university,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1068,انضمام,dissolving; dissolution; soluble; merging; meeting; coming together; union; unification; uniting; conjugation; jointure,3807,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13294859|2341695|144115|377719,4,4,True,,,Met; discussion; merger; fascist; movement,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1069,برقرار,firm; steadfast; steady; stiff; unbendable; unfaltering; unshakable; unwavering; present,3776,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2060048|1912209,2,2,True,,"established, confirmed, fixed, settled, maintained",maintain; Maintaining; preserve; oxygen; level,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1070,حکام,agency; federal agency; government agency; bureau; office; authority; official; functionary,3771,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8222706|10217337,2,2,False,,"authorities, officials (plural of حاکم)",authorities; officials; discover; THANK; high-level,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1071,ملے,Malay,3726,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6846327,1,1,True,,"met, received (plural)",met; ice; Somebody; Tess; anxious,0,IWN-En Direct manual link (single direct sense)
1072,نامہ نگار,reporter; newsman; newsperson,3660,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10363826,1,1,False,correspondent (journalist who sends reports from abroad),,,1,IWN-En Direct manual link (single direct sense)
1073,سربراہ,principal; school principal; head teacher; head; chief; top dog,3652,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10318027|10011822,3,2,False,,"head, chief (of an organization)",head; bar; Hayden; Michael; Reiser,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1074,منعقد,aforethought(ip); planned; plotted,3631,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1908468,1,1,False,,"(act. part. of اِنْعقد 'to become tied, or knit,' &c., vii of عقد 'to tie,' &c.), part.",hold; held; SOMETHIN; MIGHT; WANNA,0,IWN-En Direct manual link (single direct sense)
1075,قائد,captain; chieftain,3630,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9747527,1,1,False,,"(act. part. of قود 'to lead,' &c.)",,0,IWN-En Direct manual link (single direct sense)
1076,تبدیلی,change; alteration; modification; transformation; transmutation; shift; transfer; transference; variety,3627,CLE Urdu top-5000 frequency list,A_direct_iwn_en,7196495|7258802|198058|4696176,9,4,False,,"s.f. Transfer (of officials, &c.); relief (of a guard)",change; strung; swoop; ritalin; paradigm,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1077,بین الاقوامی,international,3578,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1626358,2,1,False,international,,,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1078,آپریشن,operation; surgery; surgical operation; surgical procedure; surgical process,3566,CLE Urdu top-5000 frequency list,A_direct_iwn_en,662975,1,1,False,,operation (military or medical),ops; operation; Ops; fucked-up; tip,2,IWN-En Direct manual link (single direct sense)
1079,وفاقی,union,3506,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8190959,1,1,False,,federal,Federal; federal; Victoria; decides; daughter,0,IWN-En Direct manual link (single direct sense)
1080,تعلیمی,academic; educational,3495,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2684816|1374209,2,2,False,,,,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1081,ٹیکس,tax; taxation; revenue enhancement,3488,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13137820,1,1,False,,tax,tax; Tax; Taxes; Lewis; Tex,2,IWN-En Direct manual link (single direct sense)
1082,فروخت,sale,3486,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1102627,1,1,False,,"s.f. Selling; sale: — faroḵẖt karnā, v.t. To sell",sell; sold; To; selling; sales,2,IWN-En Direct manual link (single direct sense)
1083,نواز,kindhearted; kind-hearted,3453,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1424625,1,1,False,,"(fr. nawāḵẖtan; see nawāḵẖta), part.",,0,IWN-En Direct manual link (single direct sense)
1084,محفوظ,protected; secure; safe,3438,CLE Urdu top-5000 frequency list,A_direct_iwn_en,1951498|2128580,3,2,True,,"(pass. part. of حفظ 'to keep, preserve, guard,' &c.), part. Kept safe, preserved, guarded, protected, taken…",safe; SAFE; BE; D; WARM,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1085,تعاون,contribution; part; share; cooperation,3403,CLE Urdu top-5000 frequency list,A_direct_iwn_en,775927|1187760,3,2,False,,"[inf. n. vi of عون; the iii of which is prob. formed from ʻaun, 'help')",cooperation; Fuck; deployed; team; full,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1086,بحالی,reinstatement,3387,CLE Urdu top-5000 frequency list,A_direct_iwn_en,397391,2,1,True,,,restoration; INTERRUPTING; AM; ANYTHING; mission,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1087,رکن,member,3378,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10153551|8057864|13629486,5,3,False,,,member; Spiderman; Batman; longer; inner,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1088,پالیسی,policy; insurance policy; insurance,3309,CLE Urdu top-5000 frequency list,A_direct_iwn_en,6437031|5826639,3,2,False,,,policy; politics; Policy; political; cashing,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1089,اپوزیشن,adversary; antagonist; opponent; opposer; resister,3280,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9629916,1,1,False,,opposition (political),,1,IWN-En Direct manual link (single direct sense)
1090,فروغ,advancement; progress; increase; step-up; success; rise,3230,CLE Urdu top-5000 frequency list,A_direct_iwn_en,245749|359349|14282210|7224691,4,4,True,,"(for furoḵẖ, by change of خ to غ; see furoz, and furoḵẖta)",promotion; thriving; cherished; Such; fact,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1091,شمار,count; counting; numeration; enumeration; reckoning; tally,3217,CLE Urdu top-5000 frequency list,A_direct_iwn_en,628546,3,1,False,,"s.f. Counting, reckoning, computing, numbering; calculation, amount, number; account, note, estimation: —…",count; condolence; letters; On; steps,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1092,عملی,functional; usable; useable; in working order(p); operable; operational,3135,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2201198,3,1,False,,(rel. n. fr. ʻamal),devising; strategy; practically; cult; Even,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1093,ہاکی,hockey stick; field hockey; hockey,3135,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3485910|463022,2,2,True,,hockey,,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1094,مطالبہ,requirement; demand,3132,CLE Urdu top-5000 frequency list,A_direct_iwn_en,5817818,1,1,False,,demand,amnesty; demand; demanding; answers; committee,2,IWN-En Direct manual link (single direct sense)
1095,چلا,went (of چلنا),3123,CLE Urdu top-5000 frequency list,B_two_source_fallback,,0,0,True,,"moved, went (of چلنا)",gone; running; went; goes; stone,2,IndoWordNet Urdu lemma + ReadUrdu/word2word agreement
1096,نمائندہ,agent; representative; example; illustration; instance; decay; decomposition,3078,CLE Urdu top-5000 frequency list,A_direct_iwn_en,9633952|10364199|5747823|11279926,4,4,False,,,Spiderman; Batman; parents; Superman; was,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1097,شعبہ,department; section,3051,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8004597|8430061,4,2,False,,"(for A. شعبة shǒʻbat, v.n. fr. شعب 'to collect;' 'to separate,' &c.)",department; deep-science; Nazi; This; division,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1098,ملین,million; 1000000; one thousand thousand; meg,3032,CLE Urdu top-5000 frequency list,A_direct_iwn_en,13570444|2275437,2,2,False,,"(act. part. of ليّن 'to smooth; to soften,' &c., ii of لان (for لين) 'to be smooth,' &c.)",million; PM; Five; Buried; 30,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1099,نمایاں,unconcealed; demonstrated,2927,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2162447|621528,2,2,False,,alternative form of,,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1100,نیٹ,internet; net; cyberspace; network; mesh; meshing; meshwork,2918,CLE Urdu top-5000 frequency list,A_direct_iwn_en,3541436|3777509|3776950,3,3,False,,,interconnected; cave; parallel; global; cutouts,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1101,ذمہ دار,responsible; guarantor; surety; warrantor; warranter,2909,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2065703|9998451,2,2,False,,,,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1102,یونین,Union; North,2909,CLE Urdu top-5000 frequency list,A_direct_iwn_en,8922457,4,1,True,,operation denoted by symbol “∪” applied on two sets; the set of all distinct elements in the collection,poverty; union; Like; symbolizes; save,2,IWN-En Direct manual links; best valid sense set selected by 2 independent bilingual signal(s)
1103,سردار,usurer; loan shark; moneylender; shylock; God; Supreme Being; head; chief; top dog; overlord; master; lord; captain; chieftain; king; male monarch,2904,CLE Urdu top-5000 frequency list,A_direct_iwn_en,10581867|9399300|10011822|10233260|9747527|10078740|249338|10311921|10193028,9,9,False,,"(sar+dār, q",Warlord; Kosh; payment; A; from,0,IWN-En Direct manual links (all direct valid senses retained; no unsupported disambiguation)
1104,ایل,eel,2900,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2503343,1,1,True,,the English letter L (in acronyms),Kal-El; LA; days; SQL; injections,0,IWN-En Direct manual link (single direct sense)
1105,دیر,delay; hold; time lag; postponement; wait; late,2842,CLE Urdu top-5000 frequency list,A_direct_iwn_en,15071368|854652,2,2,True,,"(rare) [old P. drañga; Pehl. darg, der; Zend daregha, fr. darez = S.",late; long; longer; running; Late,1,IWN-En Direct manual links; best valid sense set selected by 1 independent bilingual signal(s)
1106,سماجی,social; societal,2838,CLE Urdu top-5000 frequency list,A_direct_iwn_en,2883554,1,1,False,,s.m. Musicians that attend dancers,social; economic; influence; privilege; occasion,1,IWN-En Direct manual link (single direct sense)
