"Front","Back"
"si","Translations:
EN: if / so / yes (to negative)
AR: إِذَا / جِدًّا / بَلَى
UR: اگر / اتنا / کیوں نہیں

Definition:
(EN) Conjunction used to express condition, or an adverb for emphasis ('so'), or a specific 'yes' to a negative question.

Example: Si tu veux.

Translation: If you want.

Root Word: Latin 'si'

Synonyms: tellement, oui"
"bien","Translations:
EN: well / good / property
AR: جَيِّد / حَسَنًا
UR: اچھا / ٹھیک

Definition:
(EN) Adverb indicating a good manner or degree, or a noun meaning property/assets.

Example: C'est bien fait.

Translation: It is well done.

Root Word: Latin 'bene'

Synonyms: correctement, bon"
"où","Translations:
EN: where
AR: أَيْنَ / حَيْثُ
UR: کہاں / جہاں

Definition:
(EN) Interrogative adverb or relative pronoun referring to a place or time.

Example: Où es-tu?

Translation: Where are you?

Root Word: Latin 'ubi'

Synonyms: (none)"
"lui","Translations:
EN: him / her / to him / to her
AR: هُوَ / لَهُ
UR: اس کو / اسے

Definition:
(EN) Disjunctive or indirect object pronoun for the third-person singular.

Example: Je lui parle.

Translation: I am speaking to him/her.

Root Word: Latin 'illui'

Synonyms: (none)"
"vous","Translations:
EN: you (plural / formal)
AR: أَنْتُمْ / أَنْتَ (formal)
UR: آپ / تم لوگ

Definition:
(EN) Second-person plural or formal singular subject/object pronoun.

Example: Comment allez-vous?

Translation: How are you?

Root Word: Latin 'vos'

Synonyms: (none)"
"sa","Translations:
EN: his / her / its (feminine)
AR: (possessive f.)
UR: اس کی

Definition:
(EN) Possessive adjective for a feminine singular noun.

Example: C'est sa voiture.

Translation: It is his/her car.

Root Word: Latin 'suam'

Synonyms: son, ses"
"aussi","Translations:
EN: also / too / as
AR: أَيْضًا
UR: بھی

Definition:
(EN) Adverb indicating addition or comparison.

Example: Moi aussi.

Translation: Me too.

Root Word: Latin 'aliud' + 'sic'

Synonyms: également, pareillement"
"vouloir","Translations:
EN: to want
AR: أَرَادَ
UR: چاہنا

Definition:
(EN) Verb expressing desire or will.

Example: Je veux manger.

Translation: I want to eat.

Root Word: Latin 'volere'

Synonyms: désirer, souhaiter"
"voir","Translations:
EN: to see
AR: رَأَى
UR: دیکھنا

Definition:
(EN) Verb expressing the act of perceiving with the eyes.

Example: Je vois la mer.

Translation: I see the sea.

Root Word: Latin 'videre'

Synonyms: regarder, apercevoir"
"comme","Translations:
EN: like / as / since
AR: مِثْلَ / كَمَا / بِمَا أَنَّ
UR: جیسے / جس طرح / چونکہ

Definition:
(EN) Preposition or conjunction expressing comparison or cause.

Example: Blanc comme neige.

Translation: White as snow.

Root Word: Latin 'quomodo'

Synonyms: tel que, puisque"
"venir","Translations:
EN: to come
AR: جَاءَ / أَتَى
UR: آنا

Definition:
(EN) Verb expressing motion towards the speaker or a destination.

Example: Viens ici.

Translation: Come here.

Root Word: Latin 'venire'

Synonyms: arriver, accourir"
"après","Translations:
EN: after
AR: بَعْدَ
UR: بعد

Definition:
(EN) Preposition or adverb indicating a later time or position.

Example: Après le dîner.

Translation: After dinner.

Root Word: Latin 'ad' + 'pressum'

Synonyms: ensuite, ultérieurement"
"devant","Translations:
EN: in front of / before
AR: أَمَامَ
UR: سامنے

Definition:
(EN) Preposition indicating position at the front of something.

Example: Devant la maison.

Translation: In front of the house.

Root Word: Latin 'de' + 'ab' + 'ante'

Synonyms: en face de, avant"
"entre","Translations:
EN: between / among
AR: بَيْنَ
UR: درمیان

Definition:
(EN) Preposition indicating a position in the middle of two or more things.

Example: Entre nous.

Translation: Between us.

Root Word: Latin 'inter'

Synonyms: au milieu de, parmi"
"rien","Translations:
EN: nothing
AR: لَا شَيْء
UR: کچھ نہیں

Definition:
(EN) Pronoun meaning not anything or a thing of no importance.

Example: Je ne sais rien.

Translation: I know nothing.

Root Word: Latin 'rem' (thing)

Synonyms: néant, nullement"
"temps","Translations:
EN: time / weather
AR: وَقْت / طَقْس
UR: وقت / موسم

Definition:
(EN) Noun referring to the duration of events or the state of the atmosphere.

Example: Quel temps fait-il?

Translation: How is the weather?

Root Word: Latin 'tempus'

Synonyms: époque, climat"
"petit","Translations:
EN: small / little
AR: صَغِير
UR: چھوٹا

Definition:
(EN) Adjective describing something of limited size, age, or importance.

Example: Un petit chat.

Translation: A small cat.

Root Word: Latin 'pitinnus'

Synonyms: minuscule, bref"
"deux","Translations:
EN: two
AR: اِثْنَان
UR: دو

Definition:
(EN) Cardinal number equivalent to the sum of one and one.

Example: J'ai deux mains.

Translation: I have two hands.

Root Word: Latin 'duo'

Synonyms: paire, double"
"nouveau","Translations:
EN: new / recent
AR: جَدِيد
UR: نیا

Definition:
(EN) Adjective describing something recently created, discovered, or appearing for the first time.

Example: Un nouveau livre.

Translation: A new book.

Root Word: Latin 'novellus'

Synonyms: récent, original"
"notre","Translations:
EN: our
AR: (possessive pl.)
UR: ہمارا

Definition:
(EN) Possessive adjective for the first-person plural.

Example: C'est notre maison.

Translation: It is our house.

Root Word: Latin 'noster'

Synonyms: nos, le nôtre"
"votre","Translations:
EN: your (plural / formal)
AR: (possessive formal)
UR: آپ کا

Definition:
(EN) Possessive adjective for the second-person plural or formal singular.

Example: C'est votre voiture.

Translation: It is your car.

Root Word: Latin 'voster'

Synonyms: vos, le vôtre"
"leur","Translations:
EN: their / to them
AR: (possessive pl.) / لَهُمْ
UR: ان کا / انہیں

Definition:
(EN) Possessive adjective ('their') or indirect object pronoun ('to them').

Example: Je leur parle.

Translation: I am speaking to them.

Root Word: Latin 'illorum'

Synonyms: (none)"
"autre","Translations:
EN: other / another
AR: آخَر
UR: دوسرا / اور

Definition:
(EN) Adjective or pronoun referring to a different person or thing from the one already mentioned.

Example: Un autre jour.

Translation: Another day.

Root Word: Latin 'alter'

Synonyms: différent, second"
"même","Translations:
EN: same / even / self
AR: نَفْس / حَتَّى
UR: وہی / یہاں تک کہ / خود

Definition:
(EN) Adjective indicating identity ('same') or an adverb for emphasis ('even').

Example: La même chose.

Translation: The same thing.

Root Word: Latin 'metipsimus'

Synonyms: identique, pareil"
"quel","Translations:
EN: which / what
AR: أَيّ
UR: کونسا / کیا

Definition:
(EN) Interrogative adjective used to ask about the identity or nature of something.

Example: Quel est ton nom?

Translation: What is your name?

Root Word: Latin 'qualis'

Synonyms: lequel, quoi"
"tel","Translations:
EN: such / like
AR: كَذَا / مِثْلَ
UR: ایسا / جیسا

Definition:
(EN) Adjective used to indicate a certain quality or degree already mentioned or implied.

Example: Un tel homme.

Translation: Such a man.

Root Word: Latin 'talis'

Synonyms: semblable, pareil"
"chaque","Translations:
EN: each / every
AR: كُلّ
UR: ہر

Definition:
(EN) Determiner referring to all members of a group considered individually.

Example: Chaque jour.

Translation: Each day.

Root Word: Latin 'quisque'

Synonyms: tout, quelconque"
"aucun","Translations:
EN: none / no / any (in negatives)
AR: لَا أَحَد
UR: کوئی نہیں

Definition:
(EN) Determiner or pronoun used in negative sentences to mean 'not one'.

Example: Aucun problème.

Translation: No problem.

Root Word: Latin 'aliquis' + 'unus'

Synonyms: nul, personne"
"trop","Translations:
EN: too much / too many
AR: جِدًّا / كَثِيرًا جِدًّا
UR: بہت زیادہ

Definition:
(EN) Adverb indicating an excessive quantity or degree.

Example: C'est trop cher.

Translation: It is too expensive.

Root Word: Germanic origin ('thorp') via Old French.

Synonyms: excessivement, énormément"
"encore","Translations:
EN: again / still / yet
AR: مَرَّةً أُخْرَى / مَا زَالَ
UR: پھر / ابھی تک

Definition:
(EN) Adverb indicating the repetition or continuation of an action.

Example: Encore une fois.

Translation: One more time.

Root Word: Latin 'hanc' + 'horam' (at this hour)

Synonyms: toujours, de nouveau"
"sous","Translations:
EN: under / below
AR: تَحْتَ
UR: نیچے

Definition:
(EN) Preposition indicating a position lower than or covered by something else.

Example: Sous la table.

Translation: Under the table.

Root Word: Latin 'subtus'

Synonyms: dessous, au-dessous de"
"passer","Translations:
EN: to pass / to spend (time)
AR: مَرَّ / قَضَى
UR: گزرنا / گزارنا

Definition:
(EN) Verb meaning to move past something or to occupy time.

Example: Passer du temps.

Translation: To spend time.

Root Word: Latin 'passare'

Synonyms: traverser, s'écouler"
"car","Translations:
EN: because / since / for
AR: لِأَنَّ
UR: کیونکہ

Definition:
(EN) Conjunction used to introduce a reason or explanation.

Example: Je mange, car j'ai faim.

Translation: I am eating, because I am hungry.

Root Word: Latin 'quare'

Synonyms: parce que, puisque"
"grand","Translations:
EN: big / tall / great
AR: كَبِير / طَوِيل
UR: بڑا / لمبا

Definition:
(EN) Adjective describing something of considerable size, height, or importance.

Example: Un grand homme.

Translation: A great/tall man.

Root Word: Latin 'grandis'

Synonyms: énorme, vaste"
"devoir","Translations:
EN: to have to / must / duty
AR: يَجِب / وَاجِب
UR: فرض / کرنا پڑنا

Definition:
(EN) Verb expressing obligation or necessity, or a noun meaning duty/homework.

Example: Je dois partir.

Translation: I must leave.

Root Word: Latin 'debere'

Synonyms: être obligé de, tâche"
"croire","Translations:
EN: to believe
AR: اِعْتَقَدَ / آمَنَ
UR: یقین کرنا / ماننا

Definition:
(EN) Verb expressing the acceptance of something as true or the existence of something.

Example: Je te crois.

Translation: I believe you.

Root Word: Latin 'credere'

Synonyms: penser, estimer"
"prendre","Translations:
EN: to take / to catch
AR: أَخَذَ
UR: لینا / پکڑنا

Definition:
(EN) Verb meaning to lay hold of something or to consume food/drink.

Example: Prendre le bus.

Translation: To take the bus.

Root Word: Latin 'prehendere'

Synonyms: saisir, attraper"
"parler","Translations:
EN: to speak / to talk
AR: تَكَلَّمَ
UR: بولنا / بات کرنا

Definition:
(EN) Verb used to express thoughts or information using spoken words.

Example: Parler français.

Translation: To speak French.

Root Word: Latin 'parabolare'

Synonyms: discuter, converser"
"trouver","Translations:
EN: to find / to think
AR: وَجَدَ / اِعْتَقَدَ
UR: پانا / خیال کرنا

Definition:
(EN) Verb meaning to discover something or to have a particular opinion.

Example: J'ai trouvé mes clés.

Translation: I found my keys.

Root Word: Latin 'tropare' (to compose songs)

Synonyms: découvrir, localiser"
"donner","Translations:
EN: to give
AR: أَعْطَى
UR: دینا

Definition:
(EN) Verb meaning to provide someone with something or to transfer ownership.

Example: Donner un cadeau.

Translation: To give a gift.

Root Word: Latin 'donare'

Synonyms: offrir, remettre"
"falloir","Translations:
EN: to be necessary / must
AR: وَجَبَ / يَنْبَغِي
UR: ضرورت ہونا / چاہیے

Definition:
(EN) Impersonal verb used to express necessity or obligation (usually 'il faut').

Example: Il faut manger.

Translation: It is necessary to eat.

Root Word: Latin 'fallere' (to fail/lack)

Synonyms: être nécessaire, devoir"
"savoir","Translations:
EN: to know / knowledge
AR: عَرَفَ / عِلْم
UR: جاننا / علم

Definition:
(EN) Verb meaning to have knowledge of a fact or how to do something.

Example: Je sais nager.

Translation: I know how to swim.

Root Word: Latin 'sapere'

Synonyms: connaître, ignorer (antonym)"
"maintenant","Translations:
EN: now
AR: الآنَ
UR: اب / ابھی

Definition:
(EN) Adverb referring to the present time.

Example: Maintenant ou jamais.

Translation: Now or never.

Root Word: French 'main' + 'tenant' (holding in hand)

Synonyms: actuellement, présentement"
"alors","Translations:
EN: then / so
AR: إِذًا / عِنْدَئِذٍ
UR: پھر / تو

Definition:
(EN) Adverb or conjunction indicating a consequence or a specific time in the past.

Example: Alors, on y va?

Translation: So, shall we go?

Root Word: Latin 'ad' + 'illam' + 'horam' (at that hour)

Synonyms: donc, par conséquent"
"regarder","Translations:
EN: to look / to watch
AR: نَظَرَ / شَاهَدَ
UR: دیکھنا

Definition:
(EN) Verb expressing the act of directing one's gaze toward something or observing an event.

Example: Regarder la télé.

Translation: To watch TV.

Root Word: Old French 're-' + 'garder' (to guard/heed)

Synonyms: observer, contempler"
"mettre","Translations:
EN: to put / to place / to set
AR: وَضَعَ
UR: رکھنا

Definition:
(EN) Verb meaning to move something to a particular place or to wear clothing.

Example: Mettre un manteau.

Translation: To put on a coat.

Root Word: Latin 'mittere' (to send/release)

Synonyms: poser, installer"
"rester","Translations:
EN: to stay / to remain
AR: بَقِيَ
UR: رہنا / ٹھہرنا

Definition:
(EN) Verb expressing the act of continuing to be in a place or a state.

Example: Je reste ici.

Translation: I am staying here.

Root Word: Latin 'restare'

Synonyms: demeurer, séjourner"
"entendre","Translations:
EN: to hear / to understand
AR: سَمِعَ / فَهِمَ
UR: سننا / سمجھنا

Definition:
(EN) Verb meaning to perceive sound or to comprehend a meaning.

Example: J'entends un bruit.

Translation: I hear a noise.

Root Word: Latin 'intendere' (to stretch/direct)

Synonyms: ouïr (archaic), comprendre"
"répondre","Translations:
EN: to answer / to reply
AR: أَجَابَ
UR: جواب دینا

Definition:
(EN) Verb used to react to a question or a stimulus with words or actions.

Example: Répondre au téléphone.

Translation: To answer the phone.

Root Word: Latin 'respondere'

Synonyms: répliquer, rétorquer"
"connaître","Translations:
EN: to know (someone / a place)
AR: عَرَفَ
UR: جاننا / پہچاننا

Definition:
(EN) Verb expressing familiarity with a person, place, or thing (distinct from 'savoir').

Example: Je connais Paris.

Translation: I know Paris.

Root Word: Latin 'cognoscere'

Synonyms: identifier, fréquenter"
"devenir","Translations:
EN: to become
AR: أَصْبَحَ / صَارَ
UR: بننا / ہو جانا

Definition:
(EN) Verb indicating a change in state or identity.

Example: Il est devenu médecin.

Translation: He became a doctor.

Root Word: Latin 'de' + 'venire' (to come from)

Synonyms: se transformer, changer"
"penser","Translations:
EN: to think
AR: فَكَّرَ / اِعْتَقَدَ
UR: سوچنا / خیال کرنا

Definition:
(EN) Verb expressing the act of using one's mind to form ideas or opinions.

Example: Je pense à toi.

Translation: I am thinking of you.

Root Word: Latin 'pensare' (to weigh)

Synonyms: réfléchir, estimer"
"arriver","Translations:
EN: to arrive / to happen
AR: وَصَلَ / حَدَثَ
UR: پہنچنا / ہونا

Definition:
(EN) Verb meaning to reach a destination or for an event to take place.

Example: Le train arrive.

Translation: The train is arriving.

Root Word: Latin 'ad' + 'ripa' (to the shore)

Synonyms: parvenir, survenir"
"comprendre","Translations:
EN: to understand / to include
AR: فَهِمَ / شَمِلَ
UR: سمجھنا / شامل کرنا

Definition:
(EN) Verb expressing the act of grasping a concept or containing multiple parts.

Example: Je comprends tout.

Translation: I understand everything.

Root Word: Latin 'comprehendere'

Synonyms: saisir, inclure"
"paraître","Translations:
EN: to appear / to seem / to be published
AR: بَدَا / ظَهَرَ
UR: لگنا / ظاہر ہونا

Definition:
(EN) Verb indicating that something seems a certain way or becomes visible/available.

Example: Il paraît fatigué.

Translation: He seems tired.

Root Word: Latin 'parescere'

Synonyms: sembler, apparaître"
"perdre","Translations:
EN: to lose
AR: خَسِرَ / فَقَدَ
UR: ہارنا / کھونا

Definition:
(EN) Verb meaning to no longer have something or to be defeated.

Example: J'ai perdu mon temps.

Translation: I lost my time.

Root Word: Latin 'perdere'

Synonyms: égarer, rater"
"attendre","Translations:
EN: to wait (for) / to expect
AR: اِنْتَظَرَ / تَوَقَّعَ
UR: انتظار کرنا / امید رکھنا

Definition:
(EN) Verb expressing the act of staying in a place until something happens.

Example: Attends-moi.

Translation: Wait for me.

Root Word: Latin 'attendere' (to stretch toward)

Synonyms: espérer, patienter"
"aimer","Translations:
EN: to love / to like
AR: أَحَبَّ
UR: پیار کرنا / پسند کرنا

Definition:
(EN) Verb expressing affection, desire, or preference for someone or something.

Example: J'aime le chocolat.

Translation: I love chocolate.

Root Word: Latin 'amare'

Synonyms: adorer, apprécier"
"sembler","Translations:
EN: to seem / to appear
AR: بَدَا / ظَهَرَ
UR: لگنا / دکھائی دینا

Definition:
(EN) Verb indicating a subjective impression of a state or quality.

Example: Cela semble vrai.

Translation: That seems true.

Root Word: Latin 'simulare'

Synonyms: paraître, avoir l'air"
"tenir","Translations:
EN: to hold / to keep
AR: أَمْسَكَ / حَفِظَ
UR: پکڑنا / رکھنا

Definition:
(EN) Verb meaning to have something in one's hands or to maintain a state.

Example: Tenir la main.

Translation: To hold the hand.

Root Word: Latin 'tenere'

Synonyms: garder, maintenir"
"porter","Translations:
EN: to carry / to wear
AR: حَمَلَ / لَبِسَ
UR: لے جانا / پہننا

Definition:
(EN) Verb expressing the act of supporting the weight of something or wearing an item of clothing.

Example: Porter un sac.

Translation: To carry a bag.

Root Word: Latin 'portare'

Synonyms: transporter, vêtir"
"montrer","Translations:
EN: to show / to display
AR: أَظْهَرَ / أَرَى
UR: دکھانا

Definition:
(EN) Verb used to make something visible or to point something out to someone.

Example: Montre-moi ton dessin.

Translation: Show me your drawing.

Root Word: Latin 'monstrare'

Synonyms: exposer, désigner"
"continuer","Translations:
EN: to continue / to keep going
AR: اِسْتَمَرَّ
UR: جاری رکھنا

Definition:
(EN) Verb meaning to persist in an activity or to go further in a direction.

Example: Continuer le travail.

Translation: To continue the work.

Root Word: Latin 'continuare'

Synonyms: poursuivre, persister"
"suivre","Translations:
EN: to follow
AR: تَبِعَ / لَحِقَ
UR: پیچھے چلنا / پیروی کرنا

Definition:
(EN) Verb meaning to move behind someone or to adhere to a rule/instruction.

Example: Suivez le guide.

Translation: Follow the guide.

Root Word: Latin 'sequi'

Synonyms: accompagner, succéder"
"commencer","Translations:
EN: to start / to begin
AR: بَدَأَ
UR: شروع کرنا

Definition:
(EN) Verb indicating the first part of an action or the moment an event initiates.

Example: Commencer à lire.

Translation: To start reading.

Root Word: Latin 'cum' + 'initiare'

Synonyms: débuter, entamer"
"écrire","Translations:
EN: to write
AR: كَتَبَ
UR: لکھنا

Definition:
(EN) Verb expressing the act of forming letters or words on a surface.

Example: Écrire une lettre.

Translation: To write a letter.

Root Word: Latin 'scribere'

Synonyms: noter, rédiger"
"appeler","Translations:
EN: to call / to name
AR: نَادَى / سَمَّى
UR: پکارنا / نام رکھنا

Definition:
(EN) Verb used to attract someone's attention or to give someone a name.

Example: Je m'appelle Jean.

Translation: My name is (I call myself) Jean.

Root Word: Latin 'ad' + 'pellere' (to drive/push)

Synonyms: nommer, interpeller"
"laisser","Translations:
EN: to let / to leave / to allow
AR: تَرَكَ / سَمَحَ
UR: چھوڑنا / اجازت دینا

Definition:
(EN) Verb meaning to go away from someone/something or to permit an action.

Example: Laisse-moi tranquille.

Translation: Leave me alone.

Root Word: Latin 'laxare' (to loosen)

Synonyms: abandonner, permettre"
"entrer","Translations:
EN: to enter / to go in
AR: دَخَلَ
UR: داخل ہونا / اندر آنا

Definition:
(EN) Verb expressing the motion of moving into an enclosed space.

Example: Entrer dans la chambre.

Translation: To enter the room.

Root Word: Latin 'intrare'

Synonyms: pénétrer, arriver"
"sortir","Translations:
EN: to go out / to exit / to leave
AR: خَرَجَ
UR: باہر جانا / نکلنا

Definition:
(EN) Verb expressing motion away from an interior or a regular place.

Example: Je sors ce soir.

Translation: I am going out tonight.

Root Word: Latin 'sortiri' (to go/draw lots)

Synonyms: quitter, s'en aller"
"reprendre","Translations:
EN: to take back / to resume / to recover
AR: اِسْتَعَادَ / اِسْتَأْنَفَ
UR: دوبارہ لینا / پھر شروع کرنا

Definition:
(EN) Verb meaning to get something back or to start an activity again after a pause.

Example: Reprendre le travail.

Translation: To resume work.

Root Word: French 're-' + 'prendre'

Synonyms: recommencer, regagner"
"partir","Translations:
EN: to leave / to depart / to go away
AR: غَادَرَ / رَحَلَ
UR: روانہ ہونا / چلے جانا

Definition:
(EN) Verb expressing the act of setting off for a destination or leaving a place.

Example: Le train va partir.

Translation: The train is going to leave.

Root Word: Latin 'partiri' (to divide/distribute)

Synonyms: s'en aller, s'éloigner"
"mourir","Translations:
EN: to die
AR: مَاتَ
UR: مرنا

Definition:
(EN) Verb expressing the end of life or existence.

Example: Mourir de rire.

Translation: To die of laughter.

Root Word: Latin 'mori'

Synonyms: décéder, s'éteindre"
