rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
51,REPAIR,مجھے نقشہ چاہیے۔,I need the map.,mˌʊɟʰeː nˈaqʃa cˈaːhjeː,mohohgyʰay naqsha cahyay,Normalize نقشہ final vowel and standard sentence frame.,/mʊd͡ʒʰeː nəqʃaː t͡ʃaːɦijeː/,mujhay nuq-shaa chaa-hi-yay
52,REPAIR,مجھے نقشہ نہیں چاہیے۔,I don't need the map.,mˌʊɟʰeː nˈaqʃa nahˈiːn cˈaːhjeː,mohohgyʰay naqsha nahayayn cahyay,Normalize نقشہ, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː nəqʃaː nəɦĩː t͡ʃaːɦijeː/,mujhay nuq-shaa nuh-heen chaa-hi-yay
63,REPAIR,کیا آپ کو ٹکٹ چاہیے؟,Do you need the ticket?,kjˈaː ˌaːp kˈoː ʈˈɪkɪʈ cˈaːhjeː,kya ap koh tayaykayayt cahyay,Normalize interrogative کیا, ٹکٹ, and چاہیے.,/kjaː aːp koː ʈɪkəʈ t͡ʃaːɦijeː/,kyaa aap ko ti-kut chaa-hi-yay
64,REPAIR,ہمیں ٹکٹ چاہیے۔,We need the ticket.,hˈʌmẽː ʈˈɪkɪʈ cˈaːhjeː,hʌmẽ tayaykayayt cahyay,Normalize ہمیں nasal vowel, ٹکٹ, and چاہیے.,/ɦəmẽː ʈɪkəʈ t͡ʃaːɦijeː/,humein ti-kut chaa-hi-yay
65,REPAIR,ٹکٹ کہاں ہے؟,Where is the ticket?,ʈˈɪkɪʈ kˈʌhãː hɛ,tayaykayayt kʌhã hay,Normalize ٹکٹ /ʈɪkəʈ/, کہاں, and ہے.,/ʈɪkəʈ kəɦãː ɦɛː/,ti-kut kahaan hai
66,REPAIR,کیا ٹکٹ یہاں ہے؟,Is the ticket here?,kjˈaː ʈˈɪkɪʈ jˈʌhãː hɛ,kya tayaykayayt yʌhã hay,Normalize interrogative کیا, ٹکٹ, یہاں, and ہے.,/kjaː ʈɪkəʈ jəɦãː ɦɛː/,kyaa ti-kut yahaan hai
67,REPAIR,براہِ کرم ٹکٹ لے آئیے۔,Please bring the ticket.,bˌəraːhˈeː kˈʌrəm ʈˈɪkɪʈ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm tayaykayayt lay ayay,Normalize polite phrase, ٹکٹ, and آئیے glide.,/bəɾaːɦe kəɾəm ʈɪkəʈ leː aːɪjeː/,baraah-e-karam ti-kut lay aa-i-yay
68,REPAIR,براہِ کرم مجھے ٹکٹ دیجیے۔,Please give me the ticket.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː ʈˈɪkɪʈ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay tayaykayayt dayaygyayayay,Normalize ٹکٹ and polite دیجیے with Urdu affricate/dental.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː ʈɪkəʈ d̪iːd͡ʒijeː/,baraah-e-karam mujhay ti-kut dee-ji-yay
69,REPAIR,میرے پاس ٹکٹ ہے۔,I have the ticket.,mˈeːreː pˈaːs ʈˈɪkɪʈ hɛ,mayray pas tayaykayayt hay,Normalize rhotic, ٹکٹ, and ہے.,/meːɾeː paːs ʈɪkəʈ ɦɛː/,may-ray paas ti-kut hai
70,REPAIR,کیا آپ کے پاس ٹکٹ ہے؟,Do you have the ticket?,kjˈaː ˌaːp keː pˈaːs ʈˈɪkɪʈ hɛ,kya ap kay pas tayaykayayt hay,Normalize interrogative کیا, ٹکٹ, and ہے.,/kjaː aːp keː paːs ʈɪkəʈ ɦɛː/,kyaa aap kay paas ti-kut hai
71,REPAIR,مجھے پاسپورٹ چاہیے۔,I need the passport.,mˌʊɟʰeː pˌaːspˈoːrʈ cˈaːhjeː,mohohgyʰay paspohrt cahyay,Normalize Urdu rhotic in پاسپورٹ and standard sentence frame.,/mʊd͡ʒʰeː paːspoːɾʈ t͡ʃaːɦijeː/,mujhay paas-port chaa-hi-yay
72,REPAIR,مجھے پاسپورٹ نہیں چاہیے۔,I don't need the passport.,mˌʊɟʰeː pˌaːspˈoːrʈ nahˈiːn cˈaːhjeː,mohohgyʰay paspohrt nahayayn cahyay,Normalize پاسپورٹ, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː paːspoːɾʈ nəɦĩː t͡ʃaːɦijeː/,mujhay paas-port nuh-heen chaa-hi-yay
73,REPAIR,کیا آپ کو پاسپورٹ چاہیے؟,Do you need the passport?,kjˈaː ˌaːp kˈoː pˌaːspˈoːrʈ cˈaːhjeː,kya ap koh paspohrt cahyay,Normalize interrogative کیا, پاسپورٹ, and چاہیے.,/kjaː aːp koː paːspoːɾʈ t͡ʃaːɦijeː/,kyaa aap ko paas-port chaa-hi-yay
74,REPAIR,ہمیں پاسپورٹ چاہیے۔,We need the passport.,hˈʌmẽː pˌaːspˈoːrʈ cˈaːhjeː,hʌmẽ paspohrt cahyay,Normalize ہمیں nasal vowel, پاسپورٹ, and چاہیے.,/ɦəmẽː paːspoːɾʈ t͡ʃaːɦijeː/,humein paas-port chaa-hi-yay
75,REPAIR,پاسپورٹ کہاں ہے؟,Where is the passport?,pˌaːspˈoːrʈ kˈʌhãː hɛ,paspohrt kʌhã hay,Normalize پاسپورٹ rhotic, کہاں, and ہے.,/paːspoːɾʈ kəɦãː ɦɛː/,paas-port kahaan hai
76,REPAIR,کیا پاسپورٹ یہاں ہے؟,Is the passport here?,kjˈaː pˌaːspˈoːrʈ jˈʌhãː hɛ,kya paspohrt yʌhã hay,Normalize interrogative کیا, پاسپورٹ, یہاں, and ہے.,/kjaː paːspoːɾʈ jəɦãː ɦɛː/,kyaa paas-port yahaan hai
77,REPAIR,براہِ کرم پاسپورٹ لے آئیے۔,Please bring the passport.,bˌəraːhˈeː kˈʌrəm pˌaːspˈoːrʈ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm paspohrt lay ayay,Normalize polite phrase, پاسپورٹ rhotic, and آئیے glide.,/bəɾaːɦe kəɾəm paːspoːɾʈ leː aːɪjeː/,baraah-e-karam paas-port lay aa-i-yay
78,REPAIR,براہِ کرم مجھے پاسپورٹ دیجیے۔,Please give me the passport.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː pˌaːspˈoːrʈ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay paspohrt dayaygyayayay,Normalize Urdu affricates/dental and پاسپورٹ rhotic.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː paːspoːɾʈ d̪iːd͡ʒijeː/,baraah-e-karam mujhay paas-port dee-ji-yay
79,REPAIR,میرے پاس پاسپورٹ ہے۔,I have the passport.,mˈeːreː pˈaːs pˌaːspˈoːrʈ hɛ,mayray pas paspohrt hay,Normalize rhotics and standard ہے.,/meːɾeː paːs paːspoːɾʈ ɦɛː/,may-ray paas paas-port hai
80,REPAIR,کیا آپ کے پاس پاسپورٹ ہے؟,Do you have the passport?,kjˈaː ˌaːp keː pˈaːs pˌaːspˈoːrʈ hɛ,kya ap kay pas paspohrt hay,Normalize interrogative کیا, پاسپورٹ rhotic, and ہے.,/kjaː aːp keː paːs paːspoːɾʈ ɦɛː/,kyaa aap kay paas paas-port hai
81,REPAIR,مجھے شناختی کارڈ چاہیے۔,I need the ID card.,mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,mohohgyʰay shohohhnakhtayay kard cahyay,Normalize شناختی /ʃənaːxt̪iː/, Urdu rhotic in کارڈ, and sentence frame.,/mʊd͡ʒʰeː ʃənaːxt̪iː kaːɾɖ t͡ʃaːɦijeː/,mujhay shi-naakh-tee kaard chaa-hi-yay
82,REPAIR,مجھے شناختی کارڈ نہیں چاہیے۔,I don't need the ID card.,mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ nahˈiːn cˈaːhjeː,mohohgyʰay shohohhnakhtayay kard nahayayn cahyay,Normalize شناختی کارڈ, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː ʃənaːxt̪iː kaːɾɖ nəɦĩː t͡ʃaːɦijeː/,mujhay shi-naakh-tee kaard nuh-heen chaa-hi-yay
83,REPAIR,کیا آپ کو شناختی کارڈ چاہیے؟,Do you need the ID card?,kjˈaː ˌaːp kˈoː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,kya ap koh shohohhnakhtayay kard cahyay,Normalize interrogative کیا and شناختی کارڈ consonants/vowels.,/kjaː aːp koː ʃənaːxt̪iː kaːɾɖ t͡ʃaːɦijeː/,kyaa aap ko shi-naakh-tee kaard chaa-hi-yay
84,REPAIR,ہمیں شناختی کارڈ چاہیے۔,We need the ID card.,hˈʌmẽː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,hʌmẽ shohohhnakhtayay kard cahyay,Normalize ہمیں nasal vowel and شناختی کارڈ.,/ɦəmẽː ʃənaːxt̪iː kaːɾɖ t͡ʃaːɦijeː/,humein shi-naakh-tee kaard chaa-hi-yay
85,REPAIR,شناختی کارڈ کہاں ہے؟,Where is the ID card?,ʃənˈaːxtˌiː kˈaːrɖ kˈʌhãː hɛ,shohohhnakhtayay kard kʌhã hay,Normalize شناختی کارڈ, کہاں, and ہے.,/ʃənaːxt̪iː kaːɾɖ kəɦãː ɦɛː/,shi-naakh-tee kaard kahaan hai
86,REPAIR,کیا شناختی کارڈ یہاں ہے؟,Is the ID card here?,kjˈaː ʃənˈaːxtˌiː kˈaːrɖ jˈʌhãː hɛ,kya shohohhnakhtayay kard yʌhã hay,Normalize interrogative کیا, شناختی کارڈ, یہاں, and ہے.,/kjaː ʃənaːxt̪iː kaːɾɖ jəɦãː ɦɛː/,kyaa shi-naakh-tee kaard yahaan hai
87,REPAIR,براہِ کرم شناختی کارڈ لے آئیے۔,Please bring the ID card.,bˌəraːhˈeː kˈʌrəm ʃənˈaːxtˌiː kˈaːrɖ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm shohohhnakhtayay kard lay ayay,Normalize polite phrase, شناختی کارڈ, and آئیے glide.,/bəɾaːɦe kəɾəm ʃənaːxt̪iː kaːɾɖ leː aːɪjeː/,baraah-e-karam shi-naakh-tee kaard lay aa-i-yay
88,REPAIR,براہِ کرم مجھے شناختی کارڈ دیجیے۔,Please give me the ID card.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay shohohhnakhtayay kard dayaygyayayay,Normalize شناختی کارڈ plus Urdu affricates and polite دیجیے.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː ʃənaːxt̪iː kaːɾɖ d̪iːd͡ʒijeː/,baraah-e-karam mujhay shi-naakh-tee kaard dee-ji-yay
89,REPAIR,میرے پاس شناختی کارڈ ہے۔,I have the ID card.,mˈeːreː pˈaːs ʃənˈaːxtˌiː kˈaːrɖ hɛ,mayray pas shohohhnakhtayay kard hay,Normalize Urdu rhotics, شناختی, and ہے.,/meːɾeː paːs ʃənaːxt̪iː kaːɾɖ ɦɛː/,may-ray paas shi-naakh-tee kaard hai
90,REPAIR,کیا آپ کے پاس شناختی کارڈ ہے؟,Do you have the ID card?,kjˈaː ˌaːp keː pˈaːs ʃənˈaːxtˌiː kˈaːrɖ hɛ,kya ap kay pas shohohhnakhtayay kard hay,Normalize interrogative کیا, شناختی کارڈ, and ہے.,/kjaː aːp keː paːs ʃənaːxt̪iː kaːɾɖ ɦɛː/,kyaa aap kay paas shi-naakh-tee kaard hai
91,REPAIR,مجھے چابی چاہیے۔,I need the key.,mˌʊɟʰeː cˈaːbi cˈaːhjeː,mohohgyʰay cabayay cahyay,Urdu چ is /t͡ʃ/ and چابی ends in long /iː/; normalize چاہیے.,/mʊd͡ʒʰeː t͡ʃaːbiː t͡ʃaːɦijeː/,mujhay chaa-bee chaa-hi-yay
92,REPAIR,مجھے چابی نہیں چاہیے۔,I don't need the key.,mˌʊɟʰeː cˈaːbi nahˈiːn cˈaːhjeː,mohohgyʰay cabayay nahayayn cahyay,Normalize چابی, nasal نہیں, and چاہیے.,/mʊd͡ʒʰeː t͡ʃaːbiː nəɦĩː t͡ʃaːɦijeː/,mujhay chaa-bee nuh-heen chaa-hi-yay
93,REPAIR,کیا آپ کو چابی چاہیے؟,Do you need the key?,kjˈaː ˌaːp kˈoː cˈaːbi cˈaːhjeː,kya ap koh cabayay cahyay,Normalize interrogative کیا and both چ words with /t͡ʃ/.,/kjaː aːp koː t͡ʃaːbiː t͡ʃaːɦijeː/,kyaa aap ko chaa-bee chaa-hi-yay
94,REPAIR,ہمیں چابی چاہیے۔,We need the key.,hˈʌmẽː cˈaːbi cˈaːhjeː,hʌmẽ cabayay cahyay,Normalize ہمیں nasal vowel and both چ words.,/ɦəmẽː t͡ʃaːbiː t͡ʃaːɦijeː/,humein chaa-bee chaa-hi-yay
95,REPAIR,چابی کہاں ہے؟,Where is the key?,cˈaːbi kˈʌhãː hɛ,cabayay kʌhã hay,Normalize چابی /t͡ʃaːbiː/, کہاں, and ہے.,/t͡ʃaːbiː kəɦãː ɦɛː/,chaa-bee kahaan hai
96,REPAIR,کیا چابی یہاں ہے؟,Is the key here?,kjˈaː cˈaːbi jˈʌhãː hɛ,kya cabayay yʌhã hay,Normalize interrogative کیا, چابی, یہاں, and ہے.,/kjaː t͡ʃaːbiː jəɦãː ɦɛː/,kyaa chaa-bee yahaan hai
97,REPAIR,براہِ کرم چابی لے آئیے۔,Please bring the key.,bˌəraːhˈeː kˈʌrəm cˈaːbi lˈeː ˈaːjeː,bohohhrahay kʌrohohhm cabayay lay ayay,Normalize polite phrase, چابی, and آئیے glide.,/bəɾaːɦe kəɾəm t͡ʃaːbiː leː aːɪjeː/,baraah-e-karam chaa-bee lay aa-i-yay
98,REPAIR,براہِ کرم مجھے چابی دیجیے۔,Please give me the key.,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː cˈaːbi diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay cabayay dayaygyayayay,Normalize Urdu affricates, چابی, and polite دیجیے.,/bəɾaːɦe kəɾəm mʊd͡ʒʰeː t͡ʃaːbiː d̪iːd͡ʒijeː/,baraah-e-karam mujhay chaa-bee dee-ji-yay
99,REPAIR,میرے پاس چابی ہے۔,I have the key.,mˈeːreː pˈaːs cˈaːbi hɛ,mayray pas cabayay hay,Normalize Urdu rhotic, چابی, and ہے.,/meːɾeː paːs t͡ʃaːbiː ɦɛː/,may-ray paas chaa-bee hai
100,REPAIR,کیا آپ کے پاس چابی ہے؟,Do you have the key?,kjˈaː ˌaːp keː pˈaːs cˈaːbi hɛ,kya ap kay pas cabayay hay,Normalize interrogative کیا, چابی, and ہے.,/kjaː aːp keː paːs t͡ʃaːbiː ɦɛː/,kyaa aap kay paas chaa-bee hai
