rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
217,REPAIR,طلب,request; demand; order; requested/asked,t̪ˈalab,t̪alab,Workbook gloss spans noun طَلَب and past verb طَلَبَ; machine also fails to mark emphatic ṭ,/tˤalab/ / /tˤalaba/,ṭalab / ṭalaba
218,REPAIR,تحقيق,investigation; achievement/realization (context-dependent),taħqˈiːq,tahqayayq,Machine hint is unusable; normalize ḥ and vowel length,/taħqiːq/,taḥqīq
219,REPAIR,جميل,beautiful; nice,dʒˈamiːl,yamayayl,Machine hint is unusable; normalize standard MSA form,/dʒamiːl/,jamīl
220,REPAIR,بيت,house; home,bˈajt,bayt,Normalize broad monosyllabic IPA,/bajt/,bayt
221,REPAIR,هم,they; concern; worry (هُمْ / هَمّ),hˈum,hohohm,Workbook gloss explicitly spans هُمْ and هَمّ; include both readings,/hum/ / /hamm/,hum / hamm
222,REPAIR,وزارة,ministry,wizˈaːra,wayayzara,Machine hint is unusable; normalize standard MSA form,/wizaːra/,wizāra
223,REPAIR,قرار,decision; resolution,qarˈaːr,qarar,Normalize broad IPA and preserve vowel length,/qaraːr/,qarār
224,REPAIR,رغم,despite; in spite of (رغم),rˈaɣm,raghm,Normalize broad MSA IPA,/raɣm/,raghm
225,REPAIR,ساعة,hour; watch; clock,sˈaːʕa,sa‘a,Normalize broad IPA and preserve long vowel plus ʿayn,/saːʕa/,sāʿa
226,REPAIR,جاء,came; arrived,dʒˈaːʔ,yaʔ,Machine form drops the lexical final vowel of the past verb and hint loses vowel length,/dʒaːʔa/,jāʾa
227,REPAIR,أرض,earth; land; ground,ʔˈardˤ,ʔardˤ,Normalize broad IPA and standardized hamza/emphatic transliteration,/ʔardˤ/,ʾarḍ
228,REPAIR,يحاول,tries; attempts,jħˈaːwl,yhawl,Machine candidate omits lexical vowels and uses the wrong initial vowel for يُحَاوِل,/juħaːwil/,yuḥāwil
229,REPAIR,عين,eye; spring; individual/notable; appointed/designated (depending on vocalization),ʕˈajn,‘ayn,Workbook gloss spans noun عَيْن and past verb عَيَّنَ; include both readings,/ʕajn/ / /ʕajjana/,ʿayn / ʿayyana
230,REPAIR,كي,so that; in order that,kˈaj,kay,Normalize broad monosyllabic IPA,/kaj/,kay
231,REPAIR,كم,how many?; how much?; many/a great many (interrogative or declarative كَمْ),kiːlˈuː mitˌar,kayaylohoh mayaytar,Machine engine catastrophically interpreted the spelling as a measurement abbreviation; standard Arabic particle is كَمْ,/kam/,kam
232,REPAIR,أيام,days,ʔˈiːaːm,ʔayayam,Machine candidate is lexically incorrect and misses gemination; standard plural is أَيَّام,/ʔajjaːm/,ʾayyām
233,REPAIR,أصبح,became; came to be,ʔˈas̪baħ,ʔas̪bah,Machine form drops the lexical final vowel and fails to mark emphatic ṣ,/ʔasˤbaħa/,ʾaṣbaḥa
234,REPAIR,حسب,according to; enough/sufficient; calculated/count(ed); considered/thought (depending on vocalization/use),ħˈasab,hasab,Workbook gloss spans حَسَبَ and حَسْب and حَسِبَ; include the distinct readings,/ħasaba/ / /ħasb/ / /ħasiba/,ḥasaba / ḥasb / ḥasiba
235,REPAIR,دائما,always,dˈaːʔmaː,daʔma,Machine candidate misreads دَائِمًا and omits the medial vowel plus tanwin,/daːʔiman/,dāʾiman
236,REPAIR,انظر,look!; see!,ˈanðr,andhr,Machine candidate misreads imperative اُنْظُر and omits vowels/emphasis,/ʔunðˤur/,ʾunẓur
237,REPAIR,طريقة,way; method; manner,t̪ˈariːqˌa,t̪arayayqa,Machine consonant quality is wrong for emphatic ṭ and hint is unusable,/tˤariːqa/,ṭarīqa
238,REPAIR,فيما,"in what; in which; concerning what/which; while/insofar as, depending on context",fˈiːmaː,fayayma,Machine hint is unusable; preserve both long vowels,/fiːmaː/,fīmā
239,REPAIR,صديق,friend,s̪ˈadiːq,s̪adayayq,Machine consonant quality is wrong for emphatic ṣ and hint is unusable,/sˤadiːq/,ṣadīq
240,REPAIR,عرض,offer; presentation or display; width; symptom; presented or offered or displayed,ʕˈardˤ,‘ardˤ,Workbook gloss spans عَرْض and عَرَض and past verb عَرَضَ; include all relevant readings,/ʕardˤ/ / /ʕaradˤ/ / /ʕaradˤa/,ʿarḍ / ʿaraḍ / ʿaraḍa
241,REPAIR,أبدا,ever; never (with negation); at all,ʔbdˈaː,ʔbda,Machine candidate misreads أَبَدًا and omits lexical vowels plus tanwin,/ʔabadan/,ʾabadan
242,REPAIR,هدف,goal; target; objective,hˈadaf,hadaf,Normalize broad MSA IPA,/hadaf/,hadaf
243,REPAIR,يعد,counts/enumerates; prepares; is considered (يَعُدّ / يُعِدّ / يُعَدّ),jʕd,y‘d,Workbook gloss explicitly spans three vocalizations; machine candidate supplies none,/jaʕudd/ / /juʕidd/ / /juʕadd/,yaʿudd / yuʿidd / yuʿadd
244,REPAIR,وجود,existence; presence,wudʒˈuːd,wohohyohohd,Machine hint is unusable; normalize vowel length,/wudʒuːd/,wujūd
245,REPAIR,نهاية,end; ending; conclusion,nihˈaːja,nayayhaya,Machine hint is unusable; normalize standard MSA form,/nihaːja/,nihāya
246,REPAIR,مجموعة,group; collection; set,madʒmˈuːʕa,maymohoh‘a,Machine hint is unusable; normalize ʿayn and vowel length,/madʒmuːʕa/,majmūʿa
247,REPAIR,دول,countries; states,dˈuːl,dohohl,Machine candidate is lexically incorrect; plural of دولة is دُوَل,/duwal/,duwal
248,REPAIR,فقد,lost; loss/absence; so/then + already/may (فَقَدَ / فَقْد / فَ + قَدْ),fˈaqad,faqad,Workbook gloss explicitly spans three structures; include each distinct pronunciation,/faqada/ / /faqd/ / /faqad/,faqada / faqd / faqad
249,REPAIR,مختلف,different; various,mˈuxtalˌif,mohohkhtalayayf,Machine hint is unusable; normalize standard MSA form,/muxtalif/,mukhtalif
250,REPAIR,ألف,thousand; authored/composed/compiled (أَلْف / أَلَّفَ),ʔˈallaf,ʔallaf,Workbook gloss explicitly spans noun أَلْف and past verb أَلَّفَ; include both readings,/ʔalf/ / /ʔallafa/,ʾalf / ʾallafa
