rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
101,REPAIR,Que veux-tu ?,What do you want?,kə vˈøtˈy ?,kohohh veuty ?,Remove artificial stresses; veux-tu is /vø ty/ with no liaison consonant.,/kə vø ty/,kuh veu tü
129,REPAIR,Je pourrais t'aider.,I could help you.,ʒə- puʁˈɛ tɛdˈe.,zhohohh- pohohray tayday.,T'aider is /tede/, not /tɛde/; remove machine hyphen/artificial stresses.,/ʒə puʁɛ tede/,zhuh poo-reh tay-day
130,REPAIR,Je vous apprécie vraiment.,I do like you.,ʒə- vuz apʁesˈi vʁɛmˈɑ̃.,zhohohh- vohohz apraysayay vrayman.,Keep mandatory /z/ liaison from object clitic vous before vowel-initial apprécie; remove artificial stresses and normalize apprécie /apʁesi/.,/ʒə vu zapʁesi vʁɛmɑ̃/,zhuh voo zah-pray-see vreh-mahn (final nasal)
131,REPAIR,Je n'ai pas d'excuse.,I have no excuse.,ʒə- ne pa dɛkskˈyz.,zhohohh- nay pa daykskyz.,Remove machine hyphen/artificial stress; excuse contains French /y/.,/ʒə ne pa dɛkskyz/,zhuh nay pah deks-küz
132,REPAIR,Je suis sans abri.,I am homeless.,ʒə- syˌi sɑ̃z abʁˈi.,zhohohh- syayay sanz abrayay.,Machine misses /ɥ/ in suis. Retain natural liaison /z/ in the fixed phrase sans abri; remove artificial stresses.,/ʒə sɥi sɑ̃ zabʁi/,zhuh swee sahn zah-bree (sahn nasal)
133,REPAIR,Je n'ai pas le temps.,I have no time.,ʒə- ne pa lə- tˈɑ̃.,zhohohh- nay pa lohohh- tan.,Remove machine hyphens/artificial stress; temps is nasal /ɑ̃/.,/ʒə ne pa lə tɑ̃/,zhuh nay pah luh tahn (nasal final vowel)
134,REPAIR,Je sais que tu comprends.,I know you understand.,ʒə- sˈɛ kə ty kɔ̃pʁˈɑ̃.,zhohohh- say kohohh ty kohnpran.,Remove machine hyphen/artificial stresses; cue /ɛ/, /y/, and nasal vowels accurately.,/ʒə sɛ kə ty kɔ̃pʁɑ̃/,zhuh seh kuh tü kohn-prahn (nasal vowels)
135,REPAIR,J'aime ton travail.,I like your work.,ʒˈɛm tɔ̃ tʁavˈaj.,zhaym tohn travay.,Remove artificial stresses; ton is nasal /ɔ̃/ and travail ends /aj/.,/ʒɛm tɔ̃ tʁavaj/,zhem tohn trah-vahy (tohn nasal)
136,REPAIR,J'ai besoin d'aide ici.,I need help here.,ʒe bəzwˈɛ̃ dˈɛd isˈi.,zhay bohohhzwayayn dayd ayaysayay.,Remove artificial stresses; besoin is nasal and learner hint is corrupted.,/ʒe bəzwɛ̃ dɛd isi/,zhay buh-zwehn ded ee-see (zwehn nasal)
137,REPAIR,J'ai besoin de toi ici.,I need you here.,ʒe bəzwˈɛ̃ də- twˌa isˈi.,zhay bohohhzwayayn dohohh- twa ayaysayay.,Remove artificial stresses/hyphen; besoin is nasal and learner hint is corrupted.,/ʒe bəzwɛ̃ də twa isi/,zhay buh-zwehn duh twa ee-see (zwehn nasal)
138,REPAIR,J'ai besoin que tu m'aides.,I need you to help me.,ʒe bəzwˈɛ̃ kə ty mˈɛd.,zhay bohohhzwayayn kohohh ty mayd.,Remove artificial stresses; m'aides correctly has /ɛd/, while /y/ and nasal besoin need clear cues.,/ʒe bəzwɛ̃ kə ty mɛd/,zhay buh-zwehn kuh tü med (zwehn nasal)
139,REPAIR,Je crois que nous le pouvons.,I think we can.,ʒə- kʁwˈa kə nu lə- puvˈɔ̃.,zhohohh- krwa kohohh nohoh lohohh- pohohvohn.,Remove machine hyphens/artificial stresses; final pouvons vowel is nasal /ɔ̃/.,/ʒə kʁwa kə nu lə puvɔ̃/,zhuh krwa kuh noo luh poo-vohn (vohn nasal)
140,REPAIR,Paie ce que tu peux.,Pay what you can.,pˈɛ sə- kə ty pˈø.,pay sohohh- kohohh ty peu.,Remove artificial stresses/hyphen. Imperative paie is broadly /pɛ/ in the normalized variety.,/pɛ sə kə ty pø/,peh suh kuh tü peu
141,REPAIR,Payez ce que vous voulez.,Pay what you want.,pɛjˈe sə- kə vu vulˈe.,payyay sohohh- kohohh vohoh vohohlay.,Normalize payez to /peje/ and remove artificial stresses/hyphen.,/peje sə kə vu vule/,pay-yay suh kuh voo voo-lay
142,REPAIR,Dis-moi que tu me comprends.,Tell me you understand me.,dˈimwˌa kə ty mə- kɔ̃pʁˈɑ̃.,dayaymwa kohohh ty mohohh- kohnpran.,Remove artificial stresses/machine hyphen; comprends contains nasal vowels.,/di mwa kə ty mə kɔ̃pʁɑ̃/,dee mwa kuh tü muh kohn-prahn (nasal vowels)
143,REPAIR,Il n'y a pas de lendemain.,There is no tomorrow.,il ni a pa də- lɑ̃dmˈɛ̃.,ayayl nayay a pa dohohh- landmayayn.,Remove machine hyphen/artificial stress; lendemain has two nasal vowels and learner hint is corrupted.,/il ni a pa də lɑ̃dmɛ̃/,eel nee ah pah duh lahn-dmehn (nasal vowels)
144,REPAIR,On a besoin d'aide ici.,We need help here.,ɔ̃n a bəzwˈɛ̃ dˈɛd isˈi.,ohnn a bohohhzwayayn dayd ayaysayay.,Represent mandatory /n/ liaison in on a; remove artificial stresses and cue nasal besoin.,/ɔ̃ na bəzwɛ̃ dɛd isi/,ohn nah buh-zwehn ded ee-see (nasal vowels)
145,REPAIR,Nous avons besoin de votre aide.,We need your help.,nuz avˈɔ̃ bəzwˈɛ̃ də- votʁ ˈɛd.,nohohz avohn bohohhzwayayn dohohh- vohtr ayd.,Keep mandatory liaison nous avons /nu zavɔ̃/; remove artificial stresses/hyphen and correct votre /vɔtʁ/.,/nu zavɔ̃ bəzwɛ̃ də vɔtʁ ɛd/,noo zah-vohn buh-zwehn duh vawtr ed (nasal vowels)
146,REPAIR,"Oui, je vous comprends.","Yes, I understand you.","wˈi, ʒə- vu kɔ̃pʁˈɑ̃.","wayay, zhohohh- vohoh kohnpran.",Remove artificial stresses/machine hyphen; learner hint is corrupted and comprends is nasal.,/wi ʒə vu kɔ̃pʁɑ̃/,wee zhuh voo kohn-prahn (nasal vowels)
147,REPAIR,"Oui, nous pouvons partir.","Yes, we can go.","wˈi, nu puvˈɔ̃ paʁtˈiʁ.","wayay, nohoh pohohvohn partayayr.",Remove artificial stresses; learner hint is corrupted and pouvons is nasal.,/wi nu puvɔ̃ paʁtiʁ/,wee noo poo-vohn par-teer (vohn nasal)
148,REPAIR,Tu peux venir à la maison.,You can come home.,ty pˈø vənˈiʁ a la- mɛzˈɔ̃.,ty peu vohohhnayayr a la- mayzohn.,Remove artificial stresses/machine hyphen; maison ends in nasal /ɔ̃/.,/ty pø vəniʁ a la mɛzɔ̃/,tü peu vuh-neer ah lah meh-zohn (zohn nasal)
149,REPAIR,Vous pouvez rentrer chez vous.,You can go home.,vu puvˈe ʁɑ̃tʁˈe ʃe vˈu.,vohoh pohohvay rantray shay vohoh.,Remove artificial stresses; rentrée/rentrer begins with nasal /ɑ̃/ and learner hint is corrupted.,/vu puve ʁɑ̃tʁe ʃe vu/,voo poo-vay rahn-tray shay voo (rahn nasal)
150,REPAIR,Vous pouvez vous y rendre.,You can go there.,vu puvˈe vuz i ʁˈɑ̃dʁ.,vohoh pohohvay vohohz ayay randr.,Keep liaison /z/ in clitic sequence vous y; remove artificial stresses and mark rendre nasal vowel.,/vu puve vu zi ʁɑ̃dʁ/,voo poo-vay voo zee rahn-dr (rahn nasal)
