rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
751,REPAIR,یہ خراب ہے۔,This is bad.,jeːh xərˈaːb hɛ,yayh khohohhrab hay,Normalize یہ, خراب with Urdu rhotic/schwa, and ہے.,/jeː xəɾaːb ɦɛː/,yay khuh-raab hai
770,REPAIR,وہ قیمتی نہیں ہے۔,That is not expensive.,woː qˈiːmti nahˈiːn hɛ,woh qayaymtayay nahayayn hay,Normalize وہ, قیمتی, nasal نہیں, and ہے.,/ʋoː qiːmət̪iː nəɦĩː ɦɛː/,woh qee-muh-tee nuh-heen hai
771,REPAIR,یہ کم قیمت ہے۔,This is inexpensive.,jeːh kˈʌm qimˈat hɛ,yayh kʌm qayaymat hay,Normalize کم /kəm/, قیمت with dental /t̪/, یہ, and ہے.,/jeː kəm qiːmət̪ ɦɛː/,yay kum qee-mut hai
772,REPAIR,کیا یہ کم قیمت ہے؟,Is this inexpensive?,kjˈaː jeːh kˈʌm qimˈat hɛ,kya yayh kʌm qayaymat hay,Normalize interrogative کیا, کم قیمت, یہ, and ہے.,/kjaː jeː kəm qiːmət̪ ɦɛː/,kyaa yay kum qee-mut hai
773,REPAIR,وہ کم قیمت ہے۔,That is inexpensive.,woː kˈʌm qimˈat hɛ,woh kʌm qayaymat hay,Normalize وہ, کم قیمت, and ہے.,/ʋoː kəm qiːmət̪ ɦɛː/,woh kum qee-mut hai
774,REPAIR,یہ کم قیمت نہیں ہے۔,This is not inexpensive.,jeːh kˈʌm qimˈat nahˈiːn hɛ,yayh kʌm qayaymat nahayayn hay,Normalize یہ, کم قیمت, nasal نہیں, and ہے.,/jeː kəm qiːmət̪ nəɦĩː ɦɛː/,yay kum qee-mut nuh-heen hai
775,REPAIR,وہ کم قیمت نہیں ہے۔,That is not inexpensive.,woː kˈʌm qimˈat nahˈiːn hɛ,woh kʌm qayaymat nahayayn hay,Normalize وہ, کم قیمت, nasal نہیں, and ہے.,/ʋoː kəm qiːmət̪ nəɦĩː ɦɛː/,woh kum qee-mut nuh-heen hai
776,REPAIR,یہ تیز ہے۔,This is fast.,jeːh tˈeːz hɛ,yayh tayz hay,Use dental /t̪/ in تیز; normalize یہ and ہے.,/jeː t̪eːz ɦɛː/,yay tayz hai
777,REPAIR,کیا یہ تیز ہے؟,Is this fast?,kjˈaː jeːh tˈeːz hɛ,kya yayh tayz hay,Normalize interrogative کیا, یہ, تیز, and ہے.,/kjaː jeː t̪eːz ɦɛː/,kyaa yay tayz hai
778,REPAIR,وہ تیز ہے۔,That is fast.,woː tˈeːz hɛ,woh tayz hay,Normalize وہ, تیز, and ہے.,/ʋoː t̪eːz ɦɛː/,woh tayz hai
779,REPAIR,یہ تیز نہیں ہے۔,This is not fast.,jeːh tˈeːz nahˈiːn hɛ,yayh tayz nahayayn hay,Normalize یہ, تیز, nasal نہیں, and ہے.,/jeː t̪eːz nəɦĩː ɦɛː/,yay tayz nuh-heen hai
780,REPAIR,وہ تیز نہیں ہے۔,That is not fast.,woː tˈeːz nahˈiːn hɛ,woh tayz nahayayn hay,Normalize وہ, تیز, nasal نہیں, and ہے.,/ʋoː t̪eːz nəɦĩː ɦɛː/,woh tayz nuh-heen hai
781,REPAIR,یہ آہستہ ہے۔,This is slow.,jeːh aːhˈɪsta hɛ,yayh ahayaysta hay,Normalize آہستہ with /ɦ/ + dental /t̪/ and final long vowel; normalize یہ/ہے.,/jeː aːɦɪst̪aː ɦɛː/,yay aa-his-taa hai
782,REPAIR,کیا یہ آہستہ ہے؟,Is this slow?,kjˈaː jeːh aːhˈɪsta hɛ,kya yayh ahayaysta hay,Normalize interrogative کیا, یہ, آہستہ, and ہے.,/kjaː jeː aːɦɪst̪aː ɦɛː/,kyaa yay aa-his-taa hai
783,REPAIR,وہ آہستہ ہے۔,That is slow.,woː aːhˈɪsta hɛ,woh ahayaysta hay,Normalize وہ, آہستہ, and ہے.,/ʋoː aːɦɪst̪aː ɦɛː/,woh aa-his-taa hai
784,REPAIR,یہ آہستہ نہیں ہے۔,This is not slow.,jeːh aːhˈɪsta nahˈiːn hɛ,yayh ahayaysta nahayayn hay,Normalize یہ, آہستہ, nasal نہیں, and ہے.,/jeː aːɦɪst̪aː nəɦĩː ɦɛː/,yay aa-his-taa nuh-heen hai
785,REPAIR,وہ آہستہ نہیں ہے۔,That is not slow.,woː aːhˈɪsta nahˈiːn hɛ,woh ahayaysta nahayayn hay,Normalize وہ, آہستہ, nasal نہیں, and ہے.,/ʋoː aːɦɪst̪aː nəɦĩː ɦɛː/,woh aa-his-taa nuh-heen hai
786,REPAIR,یہ قریب ہے۔,This is nearby.,jeːh qərˈiːb hɛ,yayh qohohhrayayb hay,Normalize قریب rhotic, یہ, and ہے.,/jeː qəɾiːb ɦɛː/,yay qareeb hai
787,REPAIR,کیا یہ قریب ہے؟,Is this nearby?,kjˈaː jeːh qərˈiːb hɛ,kya yayh qohohhrayayb hay,Normalize interrogative کیا, یہ, قریب, and ہے.,/kjaː jeː qəɾiːb ɦɛː/,kyaa yay qareeb hai
788,REPAIR,وہ قریب ہے۔,That is nearby.,woː qərˈiːb hɛ,woh qohohhrayayb hay,Normalize وہ, قریب, and ہے.,/ʋoː qəɾiːb ɦɛː/,woh qareeb hai
789,REPAIR,یہ قریب نہیں ہے۔,This is not nearby.,jeːh qərˈiːb nahˈiːn hɛ,yayh qohohhrayayb nahayayn hay,Normalize یہ, قریب, nasal نہیں, and ہے.,/jeː qəɾiːb nəɦĩː ɦɛː/,yay qareeb nuh-heen hai
790,REPAIR,وہ قریب نہیں ہے۔,That is not nearby.,woː qərˈiːb nahˈiːn hɛ,woh qohohhrayayb nahayayn hay,Normalize وہ, قریب, nasal نہیں, and ہے.,/ʋoː qəɾiːb nəɦĩː ɦɛː/,woh qareeb nuh-heen hai
791,REPAIR,یہ دور ہے۔,This is far away.,jeːh dˈuːr hɛ,yayh dohohr hay,Use dental /d̪/ and Urdu rhotic in دور; normalize یہ/ہے.,/jeː d̪uːɾ ɦɛː/,yay door hai
792,REPAIR,کیا یہ دور ہے؟,Is this far away?,kjˈaː jeːh dˈuːr hɛ,kya yayh dohohr hay,Normalize interrogative کیا, یہ, دور, and ہے.,/kjaː jeː d̪uːɾ ɦɛː/,kyaa yay door hai
793,REPAIR,وہ دور ہے۔,That is far away.,woː dˈuːr hɛ,woh dohohr hay,Normalize وہ, دور, and ہے.,/ʋoː d̪uːɾ ɦɛː/,woh door hai
794,REPAIR,یہ دور نہیں ہے۔,This is not far away.,jeːh dˈuːr nahˈiːn hɛ,yayh dohohr nahayayn hay,Normalize یہ, دور, nasal نہیں, and ہے.,/jeː d̪uːɾ nəɦĩː ɦɛː/,yay door nuh-heen hai
795,REPAIR,وہ دور نہیں ہے۔,That is not far away.,woː dˈuːr nahˈiːn hɛ,woh dohohr nahayayn hay,Normalize وہ, دور, nasal نہیں, and ہے.,/ʋoː d̪uːɾ nəɦĩː ɦɛː/,woh door nuh-heen hai
796,REPAIR,یہ بہتر ہے۔,This is better.,jeːh bɛhtˈar hɛ,yayh bayhtar hay,Normalize بہتر with /ɦ/, dental /t̪/, Urdu rhotic, and standard frame.,/jeː bɛɦt̪əɾ ɦɛː/,yay beh-tur hai
797,REPAIR,کیا یہ بہتر ہے؟,Is this better?,kjˈaː jeːh bɛhtˈar hɛ,kya yayh bayhtar hay,Normalize interrogative کیا, یہ, بہتر, and ہے.,/kjaː jeː bɛɦt̪əɾ ɦɛː/,kyaa yay beh-tur hai
798,REPAIR,وہ بہتر ہے۔,That is better.,woː bɛhtˈar hɛ,woh bayhtar hay,Normalize وہ, بہتر, and ہے.,/ʋoː bɛɦt̪əɾ ɦɛː/,woh beh-tur hai
799,REPAIR,یہ بہتر نہیں ہے۔,This is not better.,jeːh bɛhtˈar nahˈiːn hɛ,yayh bayhtar nahayayn hay,Normalize یہ, بہتر, nasal نہیں, and ہے.,/jeː bɛɦt̪əɾ nəɦĩː ɦɛː/,yay beh-tur nuh-heen hai
800,REPAIR,وہ بہتر نہیں ہے۔,That is not better.,woː bɛhtˈar nahˈiːn hɛ,woh bayhtar nahayayn hay,Normalize وہ, بہتر, nasal نہیں, and ہے.,/ʋoː bɛɦt̪əɾ nəɦĩː ɦɛː/,woh beh-tur nuh-heen hai
