rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
269,REPAIR,sembler,seem; appear; appear to be,sɑ̃blˈe,sanblay,Remove inappropriate lexical stress; first vowel is nasal /ɑ̃/.,/sɑ̃ble/,sahn-blay (nasal first vowel)
270,REPAIR,mois,month,mwˈa,mwa,Remove inappropriate lexical stress; final written s is silent.,/mwa/,mwa
271,REPAIR,type,type; kind; guy; man/person (informal),tˈip,tayayp,Remove inappropriate lexical stress; learner hint is corrupted.,/tip/,teep
272,REPAIR,ville,city; town,vˈil,vayayl,Remove inappropriate lexical stress; learner hint is corrupted.,/vil/,veel
273,REPAIR,police,police,polˈis,pohlayays,Standard first vowel is open /ɔ/: /pɔlis/, not /polis/; remove lexical stress.,/pɔlis/,paw-lees
274,REPAIR,point,not; point; stitch pattern,pwˈɛ̃,pwayayn,Remove inappropriate lexical stress; final vowel is nasal /ɛ̃/.,/pwɛ̃/,pwehn (nasal)
275,REPAIR,foutre,"to fuck; to put/do/throw (vulgar, highly context-dependent); semen (dated/vulgar noun)",fˈutʁ,fohohtr,Remove inappropriate lexical stress; learner hint is corrupted.,/futʁ/,foo-tr
276,REPAIR,droit,right; straight; upright; straight ahead; right/entitlement; law,dʁwˈa,drwa,Remove inappropriate lexical stress; IPA otherwise correct.,/dʁwa/,drwa
277,REPAIR,aucun,"none, no-one; no, none, not any",okˈœ̃,ohkohohn,Remove inappropriate lexical stress; final vowel is nasal /œ̃/ and learner hint is corrupted.,/okœ̃/,oh-kuhn (nasal)
278,REPAIR,putain,prostitute; damn!/fuck!; fucking/bloody (vulgar intensifier),pytˈɛ̃,pytayayn,Remove inappropriate lexical stress; learner hint should distinguish /y/ and cue final nasal /ɛ̃/.,/pytɛ̃/,pü-tehn (nasal final vowel)
279,REPAIR,rappeler,to remind; recall; call back,ʁaplˈe,raplay,Remove inappropriate lexical stress; standard citation form /ʁaple/.,/ʁaple/,rah-play
280,REPAIR,car,"as, since, because, for; a single-decked long-distance, or privately hired, bus, a coach",kaʁ,kar,Learner hint should cue open /a/; IPA otherwise correct.,/kaʁ/,kahr
281,REPAIR,endroit,"place, spot (specified area)",ɑ̃dʁwˈa,andrwa,Remove inappropriate lexical stress; initial vowel is nasal /ɑ̃/.,/ɑ̃dʁwa/,ahn-drwa (nasal first vowel)
282,REPAIR,côté,side,kotˈe,kohtay,Remove inappropriate lexical stress; IPA otherwise correct.,/kote/,koh-tay
283,REPAIR,jeune,young; young person; youth,ʒˈøn,zheun,Remove inappropriate lexical stress; learner hint should cue rounded /œ/.,/ʒœn/,zhuhn (rounded vowel)
284,REPAIR,chaque,each; every,ʃˈak,shak,Remove inappropriate lexical stress; cue open /a/.,/ʃak/,shahk
285,REPAIR,retrouver,to find again; to meet up with; to regain / rediscover,ʁətʁuvˈe,rohohhtrohohvay,Remove inappropriate lexical stress; learner hint is corrupted.,/ʁətʁuve/,ruh-troo-vay
286,REPAIR,continuer,to continue,kɔ̃tinyˈe,kohntayaynyay,Machine misses the /ɥ/ glide before final /e/: continuer is /kɔ̃tinɥe/, not /kɔ̃tinye/; remove stress.,/kɔ̃tinɥe/,kohn-tee-nü-ay (nasal first vowel; glide)
287,REPAIR,façon,way; manner; fashion,fasˈɔ̃,fasohn,Remove inappropriate lexical stress; final vowel is nasal /ɔ̃/.,/fasɔ̃/,fah-sohn (nasal final vowel)
288,REPAIR,longtemps,long; a long time; for a long time,lɔ̃tˈɑ̃,lohntan,Remove inappropriate lexical stress; both vowels are nasal.,/lɔ̃tɑ̃/,lohn-tahn (nasal vowels)
289,REPAIR,place,"place, seat; place, space, room; place, square, plaza, piazza",plˈas,plas,Remove inappropriate lexical stress; cue open /a/.,/plas/,plahs
290,REPAIR,sauver,to save; to rescue; to escape/run away (se sauver),sovˈe,sohvay,Remove inappropriate lexical stress; normalize learner segmentation.,/sove/,soh-vay
291,REPAIR,train,train; pace/course; process (être en train de = to be in the process of),tʁˈɛ̃,trayayn,Remove inappropriate lexical stress; vowel is nasal /ɛ̃/.,/tʁɛ̃/,trehn (nasal)
292,REPAIR,plein,full,plˈɛ̃,playayn,Remove inappropriate lexical stress; vowel is nasal /ɛ̃/.,/plɛ̃/,plehn (nasal)
293,REPAIR,retourner,to return / go back; to turn over; to flip,ʁətuʁnˈe,rohohhtohohrnay,Remove inappropriate lexical stress; learner hint is corrupted.,/ʁətuʁne/,ruh-toor-nay
294,REPAIR,asseoir,to seat; to set/establish; to sit down (s'asseoir),aswˈaʁ,aswar,Remove inappropriate lexical stress; IPA otherwise correct.,/aswaʁ/,ah-swar
295,REPAIR,boire,drink,bwˈaʁ,bwar,Remove inappropriate lexical stress; IPA otherwise correct.,/bwaʁ/,bwar
296,REPAIR,dormir,to sleep,dɔʁmˈiʁ,dohrmayayr,Remove inappropriate lexical stress; learner hint is corrupted.,/dɔʁmiʁ/,dawr-meer
297,REPAIR,acheter,to purchase; buy,aʃtˈe,ashtay,Remove inappropriate lexical stress; careful citation form is /aʃte/.,/aʃte/,ahsh-tay
298,REPAIR,arme,weapon,ˈaʁm,arm,Remove inappropriate lexical stress; cue open /a/.,/aʁm/,ahrm
299,REPAIR,dont,whose; of whom; of which; including,dɔ̃,dohn,Learner hint should explicitly cue nasal /ɔ̃/.,/dɔ̃/,dohn (nasal)
300,REPAIR,mot,word,mˈo,moh,Remove inappropriate lexical stress; final written t is silent.,/mo/,moh
