rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
701,REPAIR,یہ آسان ہے۔,This is easy.,jeːh aːsˈaːn hɛ,yayh asan hay,Final ہ in یہ is not pronounced; normalize آسان and ہے.,/jeː aːsaːn ɦɛː/,yay aa-saan hai
702,REPAIR,کیا یہ آسان ہے؟,Is this easy?,kjˈaː jeːh aːsˈaːn hɛ,kya yayh asan hay,Normalize interrogative کیا, یہ, آسان, and ہے.,/kjaː jeː aːsaːn ɦɛː/,kyaa yay aa-saan hai
717,REPAIR,کیا یہ ممکن ہے؟,Is this possible?,kjˈaː jeːh mˈʊmkˌɪn hɛ,kya yayh mohohmkayayn hay,Normalize interrogative کیا, یہ, ممکن, and ہے.,/kjaː jeː mʊmkɪn ɦɛː/,kyaa yay mum-kin hai
718,REPAIR,وہ ممکن ہے۔,That is possible.,woː mˈʊmkˌɪn hɛ,woh mohohmkayayn hay,Normalize وہ, ممکن, and ہے.,/ʋoː mʊmkɪn ɦɛː/,woh mum-kin hai
719,REPAIR,یہ ممکن نہیں ہے۔,This is not possible.,jeːh mˈʊmkˌɪn nahˈiːn hɛ,yayh mohohmkayayn nahayayn hay,Normalize یہ, ممکن, nasal نہیں, and ہے.,/jeː mʊmkɪn nəɦĩː ɦɛː/,yay mum-kin nuh-heen hai
720,REPAIR,وہ ممکن نہیں ہے۔,That is not possible.,woː mˈʊmkˌɪn nahˈiːn hɛ,woh mohohmkayayn nahayayn hay,Normalize وہ, ممکن, nasal نہیں, and ہے.,/ʋoː mʊmkɪn nəɦĩː ɦɛː/,woh mum-kin nuh-heen hai
721,REPAIR,یہ ناممکن ہے۔,This is impossible.,jeːh nˈaːmʊmkˌɪn hɛ,yayh namohohmkayayn hay,Normalize یہ, ناممکن, and ہے.,/jeː naːmʊmkɪn ɦɛː/,yay naa-mum-kin hai
722,REPAIR,کیا یہ ناممکن ہے؟,Is this impossible?,kjˈaː jeːh nˈaːmʊmkˌɪn hɛ,kya yayh namohohmkayayn hay,Normalize interrogative کیا, یہ, ناممکن, and ہے.,/kjaː jeː naːmʊmkɪn ɦɛː/,kyaa yay naa-mum-kin hai
723,REPAIR,وہ ناممکن ہے۔,That is impossible.,woː nˈaːmʊmkˌɪn hɛ,woh namohohmkayayn hay,Normalize وہ, ناممکن, and ہے.,/ʋoː naːmʊmkɪn ɦɛː/,woh naa-mum-kin hai
724,REPAIR,یہ ناممکن نہیں ہے۔,This is not impossible.,jeːh nˈaːmʊmkˌɪn nahˈiːn hɛ,yayh namohohmkayayn nahayayn hay,Normalize یہ, ناممکن, nasal نہیں, and ہے.,/jeː naːmʊmkɪn nəɦĩː ɦɛː/,yay naa-mum-kin nuh-heen hai
725,REPAIR,وہ ناممکن نہیں ہے۔,That is not impossible.,woː nˈaːmʊmkˌɪn nahˈiːn hɛ,woh namohohmkayayn nahayayn hay,Normalize وہ, ناممکن, nasal نہیں, and ہے.,/ʋoː naːmʊmkɪn nəɦĩː ɦɛː/,woh naa-mum-kin nuh-heen hai
726,REPAIR,یہ محفوظ ہے۔,This is safe.,jeːh mˌeːhfˈuːʐ hɛ,yayh mayhfohohʐ hay,Urdu ظ merges to /z/; normalize محفوظ to /məɦfuːz/, یہ, and ہے.,/jeː məɦfuːz ɦɛː/,yay muh-fooz hai
727,REPAIR,کیا یہ محفوظ ہے؟,Is this safe?,kjˈaː jeːh mˌeːhfˈuːʐ hɛ,kya yayh mayhfohohʐ hay,Normalize interrogative کیا, یہ, محفوظ, and ہے.,/kjaː jeː məɦfuːz ɦɛː/,kyaa yay muh-fooz hai
728,REPAIR,وہ محفوظ ہے۔,That is safe.,woː mˌeːhfˈuːʐ hɛ,woh mayhfohohʐ hay,Normalize وہ, محفوظ, and ہے.,/ʋoː məɦfuːz ɦɛː/,woh muh-fooz hai
729,REPAIR,یہ محفوظ نہیں ہے۔,This is not safe.,jeːh mˌeːhfˈuːʐ nahˈiːn hɛ,yayh mayhfohohʐ nahayayn hay,Normalize یہ, محفوظ, nasal نہیں, and ہے.,/jeː məɦfuːz nəɦĩː ɦɛː/,yay muh-fooz nuh-heen hai
730,REPAIR,وہ محفوظ نہیں ہے۔,That is not safe.,woː mˌeːhfˈuːʐ nahˈiːn hɛ,woh mayhfohohʐ nahayayn hay,Normalize وہ, محفوظ, nasal نہیں, and ہے.,/ʋoː məɦfuːz nəɦĩː ɦɛː/,woh muh-fooz nuh-heen hai
731,REPAIR,یہ خطرناک ہے۔,This is dangerous.,jeːh xˌətərnˈaːk hɛ,yayh khohohhtohohhrnak hay,Normalize خطرناک with dental /t̪/, Urdu rhotic/schwa, یہ, and ہے.,/jeː xət̪ɾənaːk ɦɛː/,yay khut-ruh-naak hai
732,REPAIR,کیا یہ خطرناک ہے؟,Is this dangerous?,kjˈaː jeːh xˌətərnˈaːk hɛ,kya yayh khohohhtohohhrnak hay,Normalize interrogative کیا, یہ, خطرناک, and ہے.,/kjaː jeː xət̪ɾənaːk ɦɛː/,kyaa yay khut-ruh-naak hai
733,REPAIR,وہ خطرناک ہے۔,That is dangerous.,woː xˌətərnˈaːk hɛ,woh khohohhtohohhrnak hay,Normalize وہ, خطرناک, and ہے.,/ʋoː xət̪ɾənaːk ɦɛː/,woh khut-ruh-naak hai
734,REPAIR,یہ خطرناک نہیں ہے۔,This is not dangerous.,jeːh xˌətərnˈaːk nahˈiːn hɛ,yayh khohohhtohohhrnak nahayayn hay,Normalize یہ, خطرناک, nasal نہیں, and ہے.,/jeː xət̪ɾənaːk nəɦĩː ɦɛː/,yay khut-ruh-naak nuh-heen hai
735,REPAIR,وہ خطرناک نہیں ہے۔,That is not dangerous.,woː xˌətərnˈaːk nahˈiːn hɛ,woh khohohhtohohhrnak nahayayn hay,Normalize وہ, خطرناک, nasal نہیں, and ہے.,/ʋoː xət̪ɾənaːk nəɦĩː ɦɛː/,woh khut-ruh-naak nuh-heen hai
736,REPAIR,یہ صحیح ہے۔,This is correct.,jeːh ʂəhˈiːh hɛ,yayh ʂohohhhayayh hay,Standard Urdu ص merges to /s/; normalize صحیح broadly as /səɦiː/, یہ, and ہے.,/jeː səɦiː ɦɛː/,yay suh-hee hai
737,REPAIR,کیا یہ صحیح ہے؟,Is this correct?,kjˈaː jeːh ʂəhˈiːh hɛ,kya yayh ʂohohhhayayh hay,Normalize interrogative کیا, یہ, صحیح, and ہے.,/kjaː jeː səɦiː ɦɛː/,kyaa yay suh-hee hai
738,REPAIR,وہ صحیح ہے۔,That is correct.,woː ʂəhˈiːh hɛ,woh ʂohohhhayayh hay,Normalize وہ, صحیح, and ہے.,/ʋoː səɦiː ɦɛː/,woh suh-hee hai
739,REPAIR,یہ صحیح نہیں ہے۔,This is not correct.,jeːh ʂəhˈiːh nahˈiːn hɛ,yayh ʂohohhhayayh nahayayn hay,Normalize یہ, صحیح, nasal نہیں, and ہے.,/jeː səɦiː nəɦĩː ɦɛː/,yay suh-hee nuh-heen hai
740,REPAIR,وہ صحیح نہیں ہے۔,That is not correct.,woː ʂəhˈiːh nahˈiːn hɛ,woh ʂohohhhayayh nahayayn hay,Normalize وہ, صحیح, nasal نہیں, and ہے.,/ʋoː səɦiː nəɦĩː ɦɛː/,woh suh-hee nuh-heen hai
741,REPAIR,یہ غلط ہے۔,This is wrong.,jeːh ɣˈʌlət hɛ,yayh ghʌlohohht hay,Normalize غلط with schwas and dental final /t̪/; normalize یہ/ہے.,/jeː ɣələt̪ ɦɛː/,yay ghuh-lut hai
742,REPAIR,کیا یہ غلط ہے؟,Is this wrong?,kjˈaː jeːh ɣˈʌlət hɛ,kya yayh ghʌlohohht hay,Normalize interrogative کیا, یہ, غلط, and ہے.,/kjaː jeː ɣələt̪ ɦɛː/,kyaa yay ghuh-lut hai
743,REPAIR,وہ غلط ہے۔,That is wrong.,woː ɣˈʌlət hɛ,woh ghʌlohohht hay,Normalize وہ, غلط, and ہے.,/ʋoː ɣələt̪ ɦɛː/,woh ghuh-lut hai
744,REPAIR,یہ غلط نہیں ہے۔,This is not wrong.,jeːh ɣˈʌlət nahˈiːn hɛ,yayh ghʌlohohht nahayayn hay,Normalize یہ, غلط, nasal نہیں, and ہے.,/jeː ɣələt̪ nəɦĩː ɦɛː/,yay ghuh-lut nuh-heen hai
745,REPAIR,وہ غلط نہیں ہے۔,That is not wrong.,woː ɣˈʌlət nahˈiːn hɛ,woh ghʌlohohht nahayayn hay,Normalize وہ, غلط, nasal نہیں, and ہے.,/ʋoː ɣələt̪ nəɦĩː ɦɛː/,woh ghuh-lut nuh-heen hai
746,REPAIR,یہ صاف ہے۔,This is clean.,jeːh ʂˈaːf hɛ,yayh ʂaf hay,Standard Urdu ص merges to /s/; normalize صاف, یہ, and ہے.,/jeː saːf ɦɛː/,yay saaf hai
747,REPAIR,کیا یہ صاف ہے؟,Is this clean?,kjˈaː jeːh ʂˈaːf hɛ,kya yayh ʂaf hay,Normalize interrogative کیا, یہ, صاف, and ہے.,/kjaː jeː saːf ɦɛː/,kyaa yay saaf hai
748,REPAIR,وہ صاف ہے۔,That is clean.,woː ʂˈaːf hɛ,woh ʂaf hay,Normalize وہ, صاف, and ہے.,/ʋoː saːf ɦɛː/,woh saaf hai
749,REPAIR,یہ صاف نہیں ہے۔,This is not clean.,jeːh ʂˈaːf nahˈiːn hɛ,yayh ʂaf nahayayn hay,Normalize یہ, صاف, nasal نہیں, and ہے.,/jeː saːf nəɦĩː ɦɛː/,yay saaf nuh-heen hai
750,REPAIR,وہ صاف نہیں ہے۔,That is not clean.,woː ʂˈaːf nahˈiːn hɛ,woh ʂaf nahayayn hay,Normalize وہ, صاف, nasal نہیں, and ہے.,/ʋoː saːf nəɦĩː ɦɛː/,woh saaf nuh-heen hai
