rank,status,target,english,ipa_candidate,learner_hint_candidate,issue,proposed_ipa,proposed_learner_hint
371,REPAIR,Comment as-tu fait cela ?,How did you do that?,kɔmˌɑ̃ atˈy fˈɛ səlˈa ?,kohman aty fay sohohhla ?,As-tu is /a ty/; remove artificial stresses.,/kɔmɑ̃ a ty fɛ səla/,koh-mahn ah tü feh suh-lah (comment nasal)
372,REPAIR,Comment l'avez-vous fait ?,How did you do it?,kɔmˌɑ̃ lavˈevu fˈɛ ?,kohman lavayvohoh fay ?,L'avez-vous is /lave vu/ without /z/ liaison; remove artificial stresses.,/kɔmɑ̃ lave vu fɛ/,koh-mahn lah-vay voo feh (comment nasal)
373,REPAIR,Comment m'as-tu trouvée ?,How did you find me?,kɔmˌɑ̃ matˈy tʁuvˈe ?,kohman maty trohohvay ?,M'as-tu is /ma ty/; remove artificial stresses and learner corruption.,/kɔmɑ̃ ma ty tʁuve/,koh-mahn mah tü troo-vay (comment nasal)
374,REPAIR,Comment êtes-vous arrivé ici ?,How did you get here?,kɔmˌɑ̃ ˈɛtvuz aʁivˈe isˈi ?,kohman aytvohohz arayayvay ayaysayay ?,Keep standard liaison from inverted subject vous before vowel-initial participle arrivé: /vu zaʁive/; remove artificial stresses.,/kɔmɑ̃ ɛt vu zaʁive isi/,koh-mahn et voo zah-ree-vay ee-see (comment nasal)
375,REPAIR,Comment s'est déroulé ton discours ?,How did your speech go?,kɔmˌɑ̃ sɛ deʁulˈe tɔ̃ diskˈuʁ ?,kohman say dayrohohlay tohn dayayskohohr ?,Remove artificial stresses; s'est is /sɛ/, ton is nasal, and learner hint is corrupted.,/kɔmɑ̃ sɛ deʁule tɔ̃ diskuʁ/,koh-mahn seh day-roo-lay tohn dees-koor (nasal vowels)
376,REPAIR,Comment je mange ça ?,How do I eat this?,kɔmˌɑ̃ ʒə- mˈɑ̃ʒ sˈa ?,kohman zhohohh- manzh sa ?,Remove machine hyphen/artificial stresses; comment and mange are nasal.,/kɔmɑ̃ ʒə mɑ̃ʒ sa/,koh-mahn zhuh mahnzh sah (nasal vowels)
377,REPAIR,Comment puis-je vous remercier ?,How can I thank you?,kɔmˌɑ̃ pyˈiʒ vu ʁəmɛʁsjˈe ?,kohman pyayayzh vohoh rohohhmayrsyay ?,Machine misses /ɥ/ in puis-je; remove artificial stresses and retain /j/ in remercier.,/kɔmɑ̃ pɥiʒ vu ʁəmɛʁsje/,koh-mahn pweezh voo ruh-mehr-syay (comment nasal)
378,REPAIR,Comment on y va ?,How do we get there?,kɔmˌɑ̃ ɔ̃n i vˈa ?,kohman ohnn ayay va ?,Represent natural /n/ liaison in on y: /ɔ̃ ni/; remove artificial stresses.,/kɔmɑ̃ ɔ̃ ni va/,koh-mahn ohn nee vah (nasal vowels)
379,REPAIR,Comment le savons-nous ?,How do we know that?,kɔmˌɑ̃ lə- savˈɔ̃nˈu ?,kohman lohohh- savohnnohoh ?,Savons-nous is /savɔ̃ nu/ without extra consonant; remove machine hyphen/stresses.,/kɔmɑ̃ lə savɔ̃ nu/,koh-mahn luh sah-vohn noo (nasal vowels)
380,REPAIR,D'où me connais-tu ?,Where do you know me from?,du mə- kɔnˈɛtˈy ?,dohoh mohohh- kohnayty ?,Connais-tu is /kɔnɛ ty/; remove machine hyphen/artificial stresses.,/du mə kɔnɛ ty/,doo muh kaw-neh tü
381,REPAIR,Comment tu sais ça ?,How do you know this?,kɔmˌɑ̃ ty sˈɛ sˈa ?,kohman ty say sa ?,Remove artificial stresses; comment is nasal and ça has open /a/.,/kɔmɑ̃ ty sɛ sa/,koh-mahn tü seh sah (comment nasal)
382,REPAIR,Comment peux-tu ne pas comprendre ?,How can you not understand?,kɔmˌɑ̃ pˈøty nə- pa kɔ̃pʁˈɑ̃dʁ ?,kohman peuty nohohh- pa kohnprandr ?,Peux-tu is /pø ty/; remove machine hyphen/stresses and mark comprendre's nasal vowels.,/kɔmɑ̃ pø ty nə pa kɔ̃pʁɑ̃dʁ/,koh-mahn peu tü nuh pah kohn-prahn-dr (nasal vowels)
383,REPAIR,Comment dis-tu cela ?,How do you say that?,kɔmˌɑ̃ dˈity səlˈa ?,kohman dayayty sohohhla ?,Dis-tu is /di ty/; remove artificial stresses.,/kɔmɑ̃ di ty səla/,koh-mahn dee tü suh-lah (comment nasal)
384,REPAIR,Comment les veux-tu ?,How do you want them?,kɔmˌɑ̃ le- vˈøtˈy ?,kohman lay- veuty ?,Veux-tu is /vø ty/; remove machine hyphen/artificial stresses.,/kɔmɑ̃ le vø ty/,koh-mahn lay veu tü (comment nasal)
385,REPAIR,De combien de temps disposons-nous ?,How long do we have?,də- kɔ̃bjˈɛ̃ də- tˈɑ̃ dispozˈɔ̃nˈu ?,dohohh- kohnbyayayn dohohh- tan dayayspohzohnnohoh ?,Disposons-nous is /dispozɔ̃ nu/ without extra consonant; remove machine hyphens/stresses and mark nasal vowels.,/də kɔ̃bjɛ̃ də tɑ̃ dispozɔ̃ nu/,duh kohn-byehn duh tahn dee-spoh-zohn noo (nasal vowels)
386,REPAIR,Tu ne fais que travailler.,All you do is work.,ty nə- fˈɛ kə tʁavajˈe.,ty nohohh- fay kohohh travayay.,Remove machine hyphen/artificial stresses; travailler retains /j/ glide.,/ty nə fɛ kə tʁavaje/,tü nuh feh kuh trah-vah-yay
387,REPAIR,Appelle si tu as besoin de moi !,Call if you need me.,apˈɛl sˈi ty a bəzwˈɛ̃ də- mwˈa !,apayl sayay ty a bohohhzwayayn dohohh- mwa !,Remove artificial stresses/machine hyphen; besoin ends in nasal /ɛ̃/.,/apɛl si ty a bəzwɛ̃ də mwa/,ah-pel see tü ah buh-zwehn duh mwa (zwehn nasal)
388,REPAIR,Appelle-moi quand tu peux.,Call me when you can.,apˈɛlmwˌa kɑ̃ ty pˈø.,apaylmwa kan ty peu.,Remove artificial stresses; quand is nasal and /y/ should be distinguished.,/apɛl mwa kɑ̃ ty pø/,ah-pel mwa kahn tü peu (kahn nasal)
389,REPAIR,Viens ici et aide-moi.,Come here and help me.,vjˈɛ̃z isˈi e ˈɛdmwˈa.,vyayaynz ayaysayay ay aydmwa.,Machine incorrectly inserts /z/ after imperative viens before ici; verb-to-adverb liaison is not made. Remove stresses.,/vjɛ̃ isi e ɛd mwa/,vyehn ee-see ay ed mwa (vyehn nasal)
390,REPAIR,Fais comme je te dis.,Do as I tell you.,fˈɛ kɔm ʒə- tə- dˈi.,fay kohm zhohohh- tohohh- dayay.,Remove machine hyphens/artificial stresses; learner hint is corrupted.,/fɛ kɔm ʒə tə di/,feh kom zhuh tuh dee
391,REPAIR,"Aidez-moi, si vous le pouvez !",Help me if you can.,"ɛdˈemwˈa, sˈi vu lə- puvˈe !","aydaymwa, sayay vohoh lohohh- pohohvay !",Aidez is /ede/; remove machine hyphen/artificial stresses and normalize word boundaries.,/ede mwa si vu lə puve/,ay-day mwa see voo luh poo-vay
392,REPAIR,Je sais ce que vous ressentez.,I know how you feel.,ʒə- sˈɛ sə- kə vu ʁəsɑ̃tˈe.,zhohohh- say sohohh- kohohh vohoh rohohhsantay.,Remove machine hyphens/artificial stresses; ressentir stem contains nasal /ɑ̃/.,/ʒə sɛ sə kə vu ʁəsɑ̃te/,zhuh seh suh kuh voo ruh-sahn-tay (sahn nasal)
393,REPAIR,Je supposais que tu viendrais.,I assumed you would come.,ʒə- sypozˈɛ kə ty vjɛ̃dʁˈɛ.,zhohohh- sypohzay kohohh ty vyayayndray.,Remove machine hyphen/artificial stresses; distinguish /y/ in supposais and mark viendrais nasal.,/ʒə sypozɛ kə ty vjɛ̃dʁɛ/,zhuh sü-poh-zeh kuh tü vyehn-dreh (vyehn nasal)
394,REPAIR,Je peux te donner un coup de main.,I can help you out.,ʒə- pˈø tə- dɔnˈe œ̃ kˈu də- mˈɛ̃.,zhohohh- peu tohohh- dohnay ohohn kohoh dohohh- mayayn.,Remove machine hyphens/artificial stresses; un/main are nasal vowels.,/ʒə pø tə dɔne œ̃ ku də mɛ̃/,zhuh peu tuh daw-nay uhn koo duh mehn (nasal vowels)
395,REPAIR,Je peux quand même t'aider.,I can still help you.,ʒə- pˈø kɑ̃ mˈɛm tɛdˈe.,zhohohh- peu kan maym tayday.,T'aider is /tede/, not /tɛde/; remove machine hyphen/artificial stresses and mark quand nasal.,/ʒə pø kɑ̃ mɛm tede/,zhuh peu kahn mem tay-day (kahn nasal)
396,REPAIR,Je peux comprendre votre colère.,I can understand your anger.,ʒə- pˈø kɔ̃pʁˈɑ̃dʁ votʁ kolˈɛʁ.,zhohohh- peu kohnprandr vohtr kohlayr.,Correct votre /vɔtʁ/ and colère /kɔlɛʁ/; remove machine hyphen/stresses and mark comprendre's nasal vowels.,/ʒə pø kɔ̃pʁɑ̃dʁ vɔtʁ kɔlɛʁ/,zhuh peu kohn-prahn-dr vawtr kaw-lehr (nasal vowels)
397,REPAIR,Je peux comprendre ta langue.,I can understand your language.,ʒə- pˈø kɔ̃pʁˈɑ̃dʁ ta- lˈɑ̃ɡ.,zhohohh- peu kohnprandr ta- lang.,Remove machine hyphen/artificial stresses; comprendre and langue contain nasal vowels.,/ʒə pø kɔ̃pʁɑ̃dʁ ta lɑ̃ɡ/,zhuh peu kohn-prahn-dr tah lahng (nasal vowels)
398,REPAIR,Je peux comprendre votre réticence.,I can understand your reluctance.,ʒə- pˈø kɔ̃pʁˈɑ̃dʁ votʁ ʁetisˈɑ̃s.,zhohohh- peu kohnprandr vohtr raytayaysans.,Correct votre /vɔtʁ/; remove machine hyphen/stresses and mark nasal vowels in comprendre/réticence.,/ʒə pø kɔ̃pʁɑ̃dʁ vɔtʁ ʁetisɑ̃s/,zhuh peu kohn-prahn-dr vawtr ray-tee-sahns (nasal vowels)
399,REPAIR,Je peux t'attendre.,I can wait for you.,ʒə- pˈø tatˈɑ̃dʁ.,zhohohh- peu tatandr.,Remove machine hyphen/artificial stresses; t'attendre contains nasal /ɑ̃/.,/ʒə pø tatɑ̃dʁ/,zhuh peu tah-tahn-dr (tahn nasal)
400,REPAIR,Je ne peux pas attendre plus longtemps.,I can wait no longer.,ʒə- nə- pˈø paz atˈɑ̃dʁ ply lɔ̃tˈɑ̃.,zhohohh- nohohh- peu paz atandr ply lohntan.,Machine inserts optional/marked /z/ liaison after pas before infinitive attendre; normalize broad everyday form without it. Remove other artifacts and mark nasal vowels.,/ʒə nə pø pa atɑ̃dʁ ply lɔ̃tɑ̃/,zhuh nuh peu pah ah-tahn-dr plü lohn-tahn (nasal vowels)
