rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
18,لا، شكرًا لك.,"No, thank you.",A,lˈaː ʃˈukran lkˈa.,la shohohkran lka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
19,تعال إلى هنا من فضلك.,Please come here.,A,tˈaʕaːlˌa ʔˈilaː hˈunaː mˈin fˈadˤlka.,ta‘ala ʔayayla hohohna mayayn fadˤlka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
20,من فضلك ساعدني.,Please help me.,A,mˈin fˈadˤlka saːʕdnˌiː.,mayayn fadˤlka sa‘dnayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
21,نحن نحتاج إلى مساعدة,We need help.,A,nˈaħnu nħtˈaːdʒ ʔˈilaː musˈaːʕadˌa,nahnohoh nhtay ʔayayla mohohsa‘ada,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
22,نعم أنا أعلم,"Yes, I know.",A,nˈaʕam ˈana ʔˈaʕlam,na‘am ana ʔa‘lam,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
23,أنت تعرف السبب.,You know the reason.,A,ʔˈanta tˈaʕarrˌuf ʔassˈabab.,ʔanta ta‘arrohohf ʔassabab.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
24,أنت تفهمني.,You understand me.,A,ʔˈanta tfhmnˈiː.,ʔanta tfhmnayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
25,ها هو هنا,Here he is!,A,hˈaː hˈuwa hˈunaː,ha hohohwa hohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
26,نادني «بابا».,Call me Dad.,A,nˈaːdniː «bˈaːbaː».,nadnayay «baba».,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
27,تعال إلي,Come to me.,A,tˈaʕaːlˌa ʔlˈiː,ta‘ala ʔlayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
28,تعال معي.,Come with me.,A,tˈaʕaːlˌa mˈaʕj.,ta‘ala ma‘y.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
29,لا تأت هنا.,Don't come here.,A,lˈaː tʔt hˈunaː.,la tʔt hohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
30,كُل خضراواتك.,Eat your vegetables.,A,kul χdˤrˈaːwaːtkˌa.,kohohl khdˤrawatka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
31,تناول خضرواتك.,Eat your veggies.,A,tˈanaːwˌal χdˤrˈuːaːtkˌa.,tanawal khdˤrohohatka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
32,عد إلى المنزل في الحين.,Go home immediately.,A,ʕˈadː ʔˈilaː ʔalmˈanzil fˈiː ʔalħˈiːn.,‘ad ʔayayla ʔalmanzayayl fayay ʔalhayayn.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
33,اذهب إلى العمل,Go to work.,A,ˈaðhb ʔˈilaː ʔalʕˈamal,adhhb ʔayayla ʔal‘amal,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
34,بإمكانه المجيء,He can come.,A,bʔmkaːnh ʔalmˈadʒiːʔ,bʔmkanh ʔalmayayayʔ,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
35,ها هي.,Here it is.,A,hˈaː hˈija.,ha hayayya.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
36,ها هم قادمون.,Here they come.,A,hˈaː hˈum qˌaːdimˈuːna.,ha hohohm qadayaymohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
37,أصدقك.,I believe you.,A,ʔˈas̪daqkˌa.,ʔas̪daqka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
38,يمكنني القفز.,I can jump.,A,jmknnˈiː ʔalqˈafaz.,ymknnayay ʔalqafaz.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
39,يمكنني السباحة.,I can swim.,A,jmknnˈiː ʔassˈibaːħˌa.,ymknnayay ʔassayaybaha.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
40,فعلت هذا.,I did this.,A,fʕlt hˈaːðaː.,f‘lt hadha.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
41,لا أعرف.,I don't know.,A,lˈaː ʔˈaʕraf.,la ʔa‘raf.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
42,لا أفهم.,I don't understand.,A,lˈaː ʔˈafham.,la ʔafham.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
43,أشعر بالحكة.,I feel itchy.,A,ʔˈaʃʕar bilħˈikːa.,ʔash‘ar bayaylhayayka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
44,أشعر بالإرهاق.,I feel exhausted.,A,ʔˈaʃʕar bilʔˈirhaːq.,ʔash‘ar bayaylʔayayrhaq.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
45,لقد كَرِهتُ المَدرَسَة.,I hated school.,A,lqd karˌihtu ʔalmadrˈasat.,lqd karayayhtohoh ʔalmadrasat.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
46,لدي شكوك.,I have doubts.,A,ldiː ʃˈakwka.,ldayay shakwka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
47,عندي أسئلة.,I have questions.,A,ʕndˈiː ʔsʔlt.,‘ndayay ʔsʔlt.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
48,لدي أخوات.,I have sisters.,A,ldiː ʔχˈuːaːt.,ldayay ʔkhohohat.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
49,أنا أسمعك.,I hear you.,A,ˈana ʔˈasmaʕkˌa.,ana ʔasma‘ka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
50,أعرِفها.,I know her.,A,ʔʕrˈifhaː.,ʔ‘rayayfha.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
51,أعرفه.,I know him.,A,ʔˈaʕrafh.,ʔa‘rafh.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
52,أنا أحب الفرنسية,I like French.,A,ˈana ʔˈaħabː ʔalfrnsˈijjah,ana ʔahab ʔalfrnsayayyyah,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
53,أحب ضوء الشموع.,I like candlelight.,A,ʔˈaħabː dˤˈawʔ ʔaʃʃmˈuːʕ.,ʔahab dˤawʔ ʔashshmohoh‘.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
54,أحبُ الجزر,I like carrots.,A,ʔħbˈu ʔaldʒˈazar,ʔhbohoh ʔalyazar,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
55,أحب القلاع.,I like castles.,A,ʔˈaħabː ʔalqlˈaːʕ.,ʔahab ʔalqla‘.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
56,أحب الشوكولاتة.,I like chocolate.,A,ʔˈaħabː ʔaʃʃˈuːkuːlˌaːtt.,ʔahab ʔashshohohkohohlatt.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
57,أحب البنات.,I like girls.,A,ʔˈaħabː ʔalbnaːt.,ʔahab ʔalbnat.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
58,هذا يعجبني.,I like this.,A,hˈaːðaː jʕdʒbnˈiː.,hadha y‘ybnayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
59,أحب موسيقى الجاز.,I like jazz.,A,ʔˈaħabː mˈuːsiːqˌaː ʔaldʒˈaːz.,ʔahab mohohsayayqa ʔalyaz.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
60,أحب الأفلام.,I like movies.,A,ʔˈaħabː ʔalʔflˈaːm.,ʔahab ʔalʔflam.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
61,أحب الأرز.,I like rice.,A,ʔˈaħabː ʔalʔˈarz.,ʔahab ʔalʔarz.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
62,أحب الرياضة.,I like sports.,A,ʔˈaħabː ʔarrˈiːaːdˤˌa.,ʔahab ʔarrayayadˤa.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
63,أحب كرة المضرب.,I like tennis.,A,ʔˈaħabː kˈura ʔalmˈidˤrab.,ʔahab kohohra ʔalmayaydˤrab.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
64,أعيش هنا.,I live here.,A,ʔʕˈiːʃ hˈunaː.,ʔ‘ayaysh hohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
65,أنا أحبك.,I love you.,A,ˈana ʔˈaħabːkˌa.,ana ʔahabka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
66,اشتقت إليك.,I miss you.,A,ˈaʃtqt ʔlˈiːka.,ashtqt ʔlayayka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
67,افتقدتك.,I missed you.,A,ˈaftqdtka.,aftqdtka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
68,أعتقد خلاف ذلك.,I think otherwise.,A,ʔʕtqd χˈilaːf ðˈaːlikˌa.,ʔ‘tqd khayaylaf dhalayayka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
69,أعتقد ذلك.,I think so.,A,ʔʕtqd ðˈaːlikˌa.,ʔ‘tqd dhalayayka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
70,أثق بك.,I trust you.,A,ʔθq bˈak.,ʔthq bak.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
71,أفهم كل شيء,I understand everything.,A,ʔˈafham kˈull ʃˈajʔ,ʔafham kohohll shayʔ,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
72,أريد المزيد,I want more.,A,ʔrˈiːd ʔalmˈaziːd,ʔrayayd ʔalmazayayd,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
73,أريد مخلّلًا.,I want pickles.,A,ʔrˈiːd mχlllˈan.,ʔrayayd mkhlllan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
74,أريد الانتقام.,I want vengeance.,A,ʔrˈiːd alˈintiqˌaːm.,ʔrayayd alayayntayayqam.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
75,لم أكن هناك.,I wasn't there.,A,lˈam ʔˈakann hunˈaːka.,lam ʔakann hohohnaka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
76,سأتصل بك.,I'll call you.,A,sʔts̪l bˈak.,sʔts̪l bak.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
77,دَعني أذهب.,Let me go.,A,dˈaʕniː ʔˈaðhab.,da‘nayay ʔadhhab.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
78,الناس يحبونني.,People like me.,A,ʔannˈaːs jħbˈuːnniː.,ʔannas yhbohohnnayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
79,افعل شيئًا، رجاءً.,Please do something.,A,ˈafʕl ʃˈiːʔan rdʒˈaːʔan.,af‘l shayayʔan ryaʔan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
80,سامحني من فضلك.,Please forgive me.,A,saːmħnˌiː mˈin fˈadˤlka.,samhnayay mayayn fadˤlka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
81,تفضّل، البيت بيتك.,Make yourself at home.,A,tfdˤdˤl ʔalbˈajt bˈajtka.,tfdˤdˤl ʔalbayt baytka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
82,تفضلوا، البيت بيتكم.,Make yourselves at home.,A,tafˈadˤdˤalˌuː ʔalbˈajt biːtkm.,tafadˤdˤalohoh ʔalbayt bayaytkm.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
83,قل شيئًا، رجاءً.,Please say something.,A,qˈall ʃˈiːʔan rdʒˈaːʔan.,qall shayayʔan ryaʔan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
84,أراك غدًا.,See you tomorrow.,A,ʔrˈaːka ɣˈadan.,ʔraka ghadan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
85,متأسف، إنه خطأي.,"Sorry, my mistake.",A,mutˈaʔassˌif ʔˈinh χt̪ʔˈiː.,mohohtaʔassayayf ʔayaynh kht̪ʔayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
86,ارفع صوتك، رجاءً.,"Speak louder, please.",A,ˈarfʕ s̪ˈawtka rdʒˈaːʔan.,arf‘ s̪awtka ryaʔan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
87,خذ وقتك.,Take your time.,A,χð wˈaqtka.,khdh waqtka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
88,شكرًا يا رفاق.,"Thank you, guys.",A,ʃˈukran jˈaː rfˈaːq.,shohohkran ya rfaq.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
89,انتظرني.,Wait for me.,A,ˈantðrniː.,antdhrnayay.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
90,نحن مسرورون.,We are happy.,A,nˈaħnu mˌasruːrˈuːna.,nahnohoh masrohohrohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
91,إننا جائعون.,We are hungry.,A,ʔnnˈaː dʒˌaːʔiʕˈuːna.,ʔnna yaʔayay‘ohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
92,نحن رجال.,We are men.,A,nˈaħnu rdʒˈaːl.,nahnohoh ryal.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
93,نحن معلمون.,We are teachers.,A,nˈaħnu mˌuʕallimˈuːna.,nahnohoh mohoh‘allayaymohohna.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
94,نحن نعرفه,We know him.,A,nˈaħnu nʕrfh,nahnohoh n‘rfh,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
95,نحن نحتاج إلى المطر.,We need rain.,A,nˈaħnu nħtˈaːdʒ ʔˈilaː ʔalmˈat̪ar.,nahnohoh nhtay ʔayayla ʔalmat̪ar.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
96,نحتاج الماء,We need water.,A,nħtˈaːdʒ ʔalmˈaːʔ,nhtay ʔalmaʔ,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
97,هل لي أن أساعدك؟,Can I help you?,A,hˈal lˈajj ʔn ʔsˈaːʕdka,hal layy ʔn ʔsa‘dka,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
98,هل يمكنك أن تساعدني؟,Can you help me?,A,hˈal jmkˈunnakˌa ʔn tsˈaːʕdniː,hal ymkohohnnaka ʔn tsa‘dnayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
99,أيمكنك مساعدتي؟,Could you help me?,A,ʔiːmkˈunnakˌa msˈaːʕdtiː,ʔayaymkohohnnaka msa‘dtayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
100,هل تعرفني؟,Do you know me?,A,hˈal tʕrfnˈiː,hal t‘rfnayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
101,هل تعلم لماذا؟,Do you know why?,A,hˈal tˈaʕallˌam lˈimaːðˌaː,hal ta‘allam layaymadha,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
102,هل تفهمني؟,Do you understand me?,A,hˈal tfhmnˈiː,hal tfhmnayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
103,كيف يمكنني المساعدة؟,How can I help?,A,kˈajfa jmknnˈiː ʔalmusˈaːʕadˌa,kayfa ymknnayay ʔalmohohsa‘ada,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
104,كيف تعرف؟,How do you know?,A,kˈajfa tˈaʕarrˌuf,kayfa ta‘arrohohf,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
105,ما عساني أن أفعل؟,What can I do?,A,mˈaː ʕsˈaːniː ʔn ʔˈafʕal,ma ‘sanayay ʔn ʔaf‘al,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
106,ماذا فعلتَ؟,What did you do?,A,mˈaːðaː fʕlta,madha f‘lta,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
107,ماذا تحب؟,What do you like?,A,mˈaːðaː tħb,madha thb,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
108,ماذا تحتاج؟,What do you need?,A,mˈaːðaː tħtˈaːdʒ,madha thtay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
109,ماذا تقولين؟,What do you say?,A,mˈaːðaː tˌaqawwulˈiːna,madha taqawwohohlayayna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
110,ماذا ترون؟,What do you see?,A,mˈaːðaː trˈuːna,madha trohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
111,ما الذي تريده؟,What do you want?,A,mˈaː ʔˈallaðˌiː trˈiːdh,ma ʔalladhayay trayaydh,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
112,متى يمكننا الأكل؟,When can we eat?,A,mˈataː jmknnˈaː ʔalʔˈakal,mata ymknna ʔalʔakal,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
113,متى أتيت؟,When did you come?,A,mˈataː ʔtˈiːt,mata ʔtayayt,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
114,متى سنأكل؟,When will we eat?,A,mˈataː snʔkl,mata snʔkl,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
115,إلى أين ذهبت؟,Where did you go?,A,ʔˈilaː ʔˈajna ðhbt,ʔayayla ʔayna dhhbt,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
116,أين تعمل؟,Where do you work?,A,ʔˈajna tˈaʕammˌul,ʔayna ta‘ammohohl,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
117,لماذا أنت هنا؟,Why are you here?,A,lˈimaːðˌaː ʔˈanta hˈunaː,layaymadha ʔanta hohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
118,بإمكاني القدوم غدًا.,I can come tomorrow.,A,bʔmkaːnˌiː ʔalqˈaduːm ɣˈadan.,bʔmkanayay ʔalqadohohm ghadan.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
119,أنا أُحب عملك.,I like your work.,A,ˈana ʔˈuħb ʕˈamalkˌa.,ana ʔohohhb ‘amalka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
120,أحتاج مساعدتك.,I need your help.,A,ʔħtˈaːdʒ msˈaːʕdtka.,ʔhtay msa‘dtka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
121,نحتاج إلى مساعدتك.,We need your help.,A,nħtˈaːdʒ ʔˈilaː msˈaːʕdtka.,nhtay ʔayayla msa‘dtka.,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
122,هل الجميع جاهز؟,Is everyone ready?,A,hˈal ʔaldʒamˈiːʕ dʒˈaːhiz,hal ʔalyamayay‘ yahayayz,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
123,هل أنت في البيت؟,Are you at home?,A,hˈal ʔˈanta fˈiː ʔalbˈajt,hal ʔanta fayay ʔalbayt,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
124,هل أنت متفرغ غدًا؟,Are you free tomorrow?,A,hˈal ʔˈanta mtfrɣ ɣˈadan,hal ʔanta mtfrgh ghadan,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
125,هل أنت سعيد هنا؟,Are you happy here?,A,hˈal ʔˈanta sˈaʕiːd hˈunaː,hal ʔanta sa‘ayayd hohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
126,هل أنت جديد هنا؟,Are you new here?,A,hˈal ʔˈanta dʒadˈiːd hˈunaː,hal ʔanta yadayayd hohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
127,هل يمكننا البقاء هنا؟,Can we stay here?,A,hˈal jmknnˈaː ʔalbˈaqaːʔ hˈunaː,hal ymknna ʔalbaqaʔ hohohna,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
128,أيمكننا الوثوق بك؟,Can we trust you?,A,ʔˈiːmknnaː ʔalwˈuθuːq bˈak,ʔayaymknna ʔalwohohthohohq bak,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
129,أيمكنك أن تسمعني؟,Can you hear me?,A,ʔiːmkˈunnakˌa ʔn tsmʕnˈiː,ʔayaymkohohnnaka ʔn tsm‘nayay,8ddcd75ddf20aeebd5062dcd0a3fc3b888a9f6f26f708753015e7f095c88ad72
