rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
15,مع,with; together with,noun functioning adverbially (اسم؛ ويكون ظرفًا عند الإضافة),mˈaʕ,ma‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
16,به,with him; by him; with it; by it,preposition + attached pronoun (بِ + هِ),bh,bh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
17,يكون,is; is being; will be (يكون),imperfect / present verb,jˈakuːn,yakohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
18,لم,did not (past negation with the jussive),particle,lˈam,lam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
19,أنت,you (singular; masculine or feminine when unvocalized),pronoun,ʔˈanta,ʔanta,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
20,هل,yes/no question particle; is/are/do/does/did...?,interrogative particle,hˈal,hal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
21,التي,who; which; that (feminine singular relative pronoun),relative pronoun (اسم موصول),ʔˈallatˌiː,ʔallatayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
22,ليس,"is not; are not (ليس, negative copular verb)",negative copular verb,lˈajsa,laysa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
23,لكن,but; however (لَكِنْ / لَكِنَّ),conjunction / particle,lˈaːkin,lakayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
24,كل,all; every; each; eat! (كُلّ / كُلْ),noun / imperative verb,kˈull,kohohll,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
25,هذه,this (feminine singular),demonstrative,hˈaːðihˌi,hadhayayhayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
26,يا,O...!; vocative particle,particle,jˈaː,ya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
27,الذي,who; which; that (masculine singular relative pronoun),relative pronoun (اسم موصول),ʔˈallaðˌiː,ʔalladhayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
28,هو,he; it (masculine),pronoun,hˈuwa,hohohwa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
29,لقد,indeed; certainly; already (لَقَدْ),particle,lqd,lqd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
30,شيء,thing; something,noun,ʃˈajʔ,shayʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
31,ماذا,what?,interrogative pronoun / interrogative expression,mˈaːðaː,madha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
32,حسنا,well; okay; fine (حسنًا),discourse adverb / response expression,ħsnˈaː,hsna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
33,يريد,wants; desires; intends,verb,jrˈiːd,yrayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
34,هنا,here,demonstrative of place / adverbial deictic (اسم إشارة للمكان القريب),hˈunaː,hohohna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
35,قال,said; told,perfect / past verb,qˈaːl,qal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
36,يمكن,can; is possible; may be possible,imperfect / present verb,jmkˈunna,ymkohohnna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
37,بعد,after; later; afterwards,adverb,bˈaʕd,ba‘d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
38,أي,which; any; whichever,noun used interrogatively / conditionally / relatively (أَيٌّ),ʔˈajj,ʔayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
39,يعرف,knows; recognizes; defines/introduces (depending on vocalization),imperfect / present verb,jʕrf,y‘rf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
40,هناك,there; over there,demonstrative of place / adverbial deictic (اسم إشارة للمكان البعيد),hunˈaːka,hohohnaka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
41,لدى,with; at; in the possession of,adverb,lˈadaː,lada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
42,الآن,now,adverb,alʔˈaːn,alʔan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
43,أو,or,conjunction,ʔˈaw,ʔaw,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
44,إذا,if; when,adverb,ʔˈiðaː,ʔayaydha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
45,نعم,yes; indeed,response particle,nˈaʕam,na‘am,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
46,رئيس,president; head; chief,noun,raʔˈiːs,raʔayays,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
47,عام,year; general; public (depending on use),noun / adjective,ʕˈaːm,‘am,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
48,هي,she; it (feminine),pronoun,hˈija,hayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
49,يوم,day,noun,jˈawm,yawm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
50,سيد,Mr.; gentleman; master,noun,sˈajjid,sayyayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
51,بين,between; among; clarified/explained (بَيْن / بَيَّن),adverb / perfect / past verb,bˈajna,bayna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
52,قد,already; indeed; may; might (قَدْ),particle,qˈad,qad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
53,بعض,some; part of,noun,bˈaʕdˤ,ba‘dˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
54,فقط,only; just,adverb / restrictive expression,fˈaqat̪,faqat̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
55,لن,will not,particle,lˈan,lan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
56,حتى,until; up to; even; so that,particle / preposition / conjunction,ħˈatːaː,hata,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
57,أمر,matter; affair; order/command; ordered/commanded,noun / perfect / past verb,ʔˈamr,ʔamr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
58,عمل,work; action; worked; functioned,noun / perfect / past verb,ʕˈamal,‘amal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
59,يجب,must; should; is necessary,imperfect / present verb,jdʒb,yyb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
60,أحد,one; someone; anyone,noun,ʔˈaħad,ʔahad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
61,وقت,time,noun,wˈaqt,waqt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
62,أجل,term/appointed time; for the sake of/because of (أَجْل); yes/indeed (أَجَلْ),noun / adverbial-causal noun / response particle,ʔˈadʒl,ʔayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
63,قبل,before; prior to; earlier,temporal/spatial adverbial noun (ظرف زمان أو مكان),qˈabl,qabl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
64,خلال,during; throughout; through,adverb,xilˈaːl,khayaylal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
65,نفس,self; same; soul; breath (depending on vocalization),noun,nˈafs,nafs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
66,يفعل,does; performs,imperfect / present verb,jfʕl,yf‘l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
67,يعتقد,believes; thinks,imperfect / present verb,jʕtqd,y‘tqd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
68,يستطيع,can; is able to,imperfect / present verb,jstt̪ˈi.ːʕ,ystt̪ayay.‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
69,كما,as; just as; as well as,particle,kˈamaː,kama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
70,رجل,man; leg/foot (depending on vocalization),noun,rˈa.dʒul,ra.yohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
71,عندما,when,adverb,ʕndmˈaː,‘ndma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
72,كيف,how?,interrogative noun/adverbial (اسم استفهام مبني),kˈajfa,kayfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
73,نحن,we,pronoun,nˈaħnu,nahnohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
74,أول,first; foremost,elative / ordinal form (اسم تفضيل),ʔˈawwal,ʔawwal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
75,جيد,good; well,adjective,dʒˈajjid,yayyayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
76,يقول,says; tells,imperfect / present verb,jqwl,yqwl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
77,يرى,sees; considers,imperfect / present verb,jrˈaː,yra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
78,غير,other than; not; except; changed (غَيْر / غَيَّر),noun / adjective / perfect / past verb (غَيْر / غَيَّر),ɣˈajr,ghayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
79,واحد,one; single,numeral / quantifying noun,wˈaːħid,wahayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
80,جديد,new,adjective,dʒadˈiːd,yadayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
81,أكثر,more; most,elative / comparative form (اسم تفضيل),ʔˈakθar,ʔakthar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
82,مثل,like; similar to; example; proverb,noun,mˈiθl,mayaythl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
83,جدا,very; very much,adverb,dʒˈadaː,yada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
84,آخر,other; another (آخَر); last; final (آخِر),noun / adjective (آخَر / آخِر),ʔˈaːxar,ʔakhar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
85,سوف,will; shall (future marker),particle,sˈawfa,sawfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
86,كبير,big; large; great,adjective,kabˈiːr,kabayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
87,فريق,team; group,noun,farˈiːq,farayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
88,كثير,many; much; a lot,adjective / quantifying adjective,kaθˈiːr,kathayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
89,أيضا,also; too,adverb,ʔˈajdˤaːˌan,ʔaydˤaan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
90,تلك,that (feminine singular),demonstrative,tˈallka,tallka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
91,مجلس,council; board; assembly,noun,mˈadʒlis,maylayays,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
92,لماذا,why?,interrogative expression (لِ preposition + ماذا “what”),lˈimaːðˌaː,layaymadha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
93,أم,or (أَمْ); mother (أُمّ),particle / noun,ʔˈam,ʔam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
94,فعل,act/action; verb (grammar); did/performed,noun / perfect / past verb (فِعْل / فَعَلَ),fˈiʕl,fayay‘l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
95,عدد,number; count,noun,ʕˈadad,‘adad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
96,يذهب,goes,imperfect / present verb,jðhb,ydhhb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
97,أخرى,other; another (feminine),adjective,ʔˈuxraː,ʔohohkhra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
98,كذلك,likewise; also; in that way,prepositional/adverbial expression (كَ + ذلك),kðlka,kdhlka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
99,شخص,person,noun,ʃˈaxs̪,shakhs̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
100,مرة,time; occasion; once,noun,mˈarra.,marra.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
101,أمس,yesterday,adverb,ʔˈams,ʔams,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
102,حيث,where; in which; whereas,adverb,ħˈajθu,haythohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
103,حياة,life,noun,ħajˈaːh,hayah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
104,منذ,since; for (a period); ago,adverb,mˈunðu,mohohndhohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
105,ربما,perhaps; maybe,particle,rˈubːamˌaː,rohohbama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
106,أين,where?,interrogative/conditional place adverb (ظرف مكان),ʔˈajna,ʔayna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
107,جميع,all; entire; whole,noun / quantifier,dʒamˈiːʕ,yamayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
108,مكان,place; location,noun,mˈakaːn,makan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
109,هيا,come on!; let’s go!,exhortative particle / expression (كلمة حثّ),hˈajjaː,hayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
110,لو,if; if only; even if (لَوْ),particle,lˈaw,law,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
111,يبدو,seems; appears,imperfect / present verb,jbdˈuː,ybdohoh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
112,شكرا,thanks; thank you,thanks expression / verbal noun,ʃkrˈaː,shkra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
113,سبب,reason; cause; caused,noun / perfect / past verb,sˈabab,sabab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
114,ابن,son,noun,ʔˈibn,ʔayaybn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
115,عند,at; near; with/in the possession of,temporal/spatial adverbial noun,ʕˈind,‘ayaynd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
116,أفضل,better; best; preferable,elative / comparative-superlative (اسم تفضيل),ʔˈafdˤal,ʔafdˤal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
117,تم,was completed; took place; became complete,perfect / past verb,tˈamm,tamm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
118,دولة,state; country,noun,dˈawla,dawla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
119,يعلم,knows; teaches (depending on vocalization),imperfect / present verb,jʕlm,y‘lm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
120,عالم,world; scholar; scientist (depending on vocalization),noun,ʕˈaːlam,‘alam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
121,ماضي,past; previous,adjective,mˈaːdˤiː,madˤayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
122,أب,father,noun,ʔˈab,ʔab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
123,دون,without; below; short of; recorded/wrote down (دُون / دَوَّن),adverb / perfect / past verb,dˈuːn,dohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
124,يحب,loves; likes,imperfect / present verb,jħb,yhb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
125,يعني,means; signifies; concerns,imperfect / present verb,jʕnˈiː,y‘nayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
126,يقوم,stands; gets up; carries out; performs,imperfect / present verb,jqwm,yqwm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
127,مرحبا,hello; welcome,greeting expression,mrħbˈaː,mrhba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
128,يعمل,works; operates,imperfect / present verb,jʕml,y‘ml,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
129,خير,good; goodness; better; best (depending on construction),noun / irregular comparative-elative,χˈajr,khayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
130,خاصة,special; particular; especially (خاصة),adjective; adverbial expression in the sense “especially”,χˈaːs̪s̪a,khas̪s̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
131,أمام,in front of; before,adverb,ʔˈamaːm,ʔamam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
132,شركة,company; firm,noun,ʃˈarikˌa,sharayayka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
133,حول,around; about; concerning; changed/converted (حَوْل / حَوَّل),adverb / perfect / past verb,ħˈawl,hawl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
134,أخبر,told; informed; tell!/inform!,perfect / past verb / imperative verb,ʔˈaχbar,ʔakhbar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
135,طريق,road; way; path,noun,t̪arˈiːq,t̪arayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
136,إلا,except; unless; only (إلّا),exceptive / restrictive particle,ʔˈillaː,ʔayaylla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
137,حال,condition; state; situation,noun,ħˈaːl,hal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
138,نسبة,ratio; percentage; proportion,noun,nˈisba,nayaysba,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
139,أكد,confirmed; affirmed,perfect / past verb,ʔˈakːad,ʔakad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
140,ثم,then; afterwards,conjunction,θˈumma,thohohmma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
141,تاريخ,date; history,noun,taːrˈiːx,tarayaykh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
142,حقا,really; truly,noun / verbal-noun form used adverbially (“really; truly”),ħqˈaː,hqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
143,أيها,O...! (formal masculine vocative introducer),vocative expression,ʔˈajjuhˌaː,ʔayyohohha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
144,منطقة,region; area; zone,noun,mˈint̪aqˌa,mayaynt̪aqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
145,وضع,situation; status; position; placed/put,noun / perfect / past verb,wˈadˤʕ,wadˤ‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
146,شكل,shape; form; appearance; formed/shaped,noun / perfect / past verb,ʃˈakl,shakl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
147,صحيح,correct; true; valid,adjective,s̪ˈaħiːħ,s̪ahayayh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
148,آسف,sorry; regretful,adjective / apology expression,ʔˈaːsif,ʔasayayf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
149,حكومة,government,noun,ħukˈuːma,hohohkohohma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
150,يحتاج,needs; requires,imperfect / present verb,jħtˈaːdʒ,yhtay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
151,جانب,side; aspect; flank,noun,dʒˈaːnib,yanayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
152,اسم,name,noun,ˈism,ayaysm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
153,أخير,last; final; recent,adjective,ʔˈaχiːr,ʔakhayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
154,رائع,wonderful; excellent; great,adjective,rˈaːʔiʕ,raʔayay‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
155,دولي,international,adjective,dˌuwalˈiːj,dohohwalayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
156,ناس,people,noun,nˈaːs,nas,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
157,إدارة,administration; management,noun,ʔˈidaːrˌa,ʔayaydara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
158,نشر,publication; publishing; spreading; published/spread,noun / perfect / past verb,nˈaʃar,nashar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
159,ثانية,second; a second (unit of time); feminine ordinal second,noun / ordinal adjective,θˈaːniːˌa,thanayaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
160,الذين,who; those who (masculine plural relative pronoun),relative pronoun (اسم موصول),ʔallˈaðiːnˌa,ʔalladhayayna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
161,كلا,"no; certainly not (كَلَّا); both (masculine, كِلَا)",particle (كَلَّا “no/certainly not”) / dual noun-pronominal form (كِلَا “both”),kˈilaː,kayayla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
162,حق,right; truth; entitlement,noun,ħˈaqː,haq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
163,مدينة,city,noun,madˈiːna,madayayna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
164,عدم,absence; nonexistence; lack,noun,ʕˈadam,‘adam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
165,حدث,event; happened; occurred (depending on vocalization/use),noun / perfect-past verb,ħˈadaθ,hadath,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
166,اتحاد,union; federation,noun,ˌitːiħˈaːd,ayaytayayhad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
167,أولى,"first (feminine); more worthy; more entitled; more fitting; granted or bestowed (verb, depending on vocalization/use)",ordinal adjective / elative adjective / perfect-past verb,ʔˈawlaː,ʔawla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
168,ليلة,night,noun,lˈajla,layla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
169,مدير,director; manager,noun,mudˈiːr,mohohdayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
170,سيارة,car; automobile,noun,sajjˈaːra.,sayyara.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
171,أضاف,added,perfect / past verb,ʔadˤˈa.ːf,ʔadˤa.f,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
172,صغير,small; little; young,adjective,s̪ˈaɣiːr,s̪aghayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
173,وزير,minister,noun,wazˈiːr,wazayayr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
174,نادي,club,noun,nˈaːdiː,nadayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
175,قتل,killing; murder; killed,noun / perfect / past verb,qˈa.tal,qa.tal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
176,دور,role; turn; function,noun,dˈawr,dawr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
177,بدأ,began; started,perfect / past verb,bˈadaʔ,badaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
178,شأن,matter; affair; concern,noun,ʃˈaʔn,shaʔn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
179,قام,stood; got up; carried out,perfect / past verb,qˈa.ːm,qa.m,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
180,مباراة,match; game,noun,mˌubaːrˈa.ːh,mohohbara.h,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
