rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
83,Comment le saurais-tu ?,How would you know?,A,kɔmˌɑ̃ lə- soʁˈɛtˈy ?,kohman lohohh- sohrayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
84,Qu'y puis-je ?,What can I do about it?,B,ki pyˈiʒ ?,kayay pyayayzh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
85,Que puis-je manger ?,What can I eat?,A,kə pyˈiʒ mɑ̃ʒˈe ?,kohohh pyayayzh manzhay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
86,Que peut-on faire ?,What can you do?,A,kə pˈøtɔ̃ fˈɛʁ ?,kohohh peutohn fayr ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
87,Que peux-tu dire ?,What can you say?,A,kə pˈøty dˈiʁ ?,kohohh peuty dayayr ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
88,Que pouvais-je faire ?,What could I do?,A,kə puvˈɛʒ fˈɛʁ ?,kohohh pohohvayzh fayr ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
89,Qu'ai-je fait ?,What did I do?,A,kɛʒ fˈɛ ?,kayzh fay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
90,Qu'as-tu acheté ?,What did you buy?,A,katˈy aʃtˈe ?,katy ashtay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
91,Qu'as-tu fait ?,What did you do?,A,katˈy fˈɛ ?,katy fay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
92,Qu'as-tu bu ?,What did you drink?,A,katˈy bˈy ?,katy by ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
93,Qu'as-tu mangé ?,What did you eat?,A,katˈy mɑ̃ʒˈe ?,katy manzhay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
94,Qu'ai-je ?,What do I have?,A,kˈɛʒ ?,kayzh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
95,Qu'est-ce que vous avez ?,What do you have?,A,kɛskˌə vuz avˈe ?,kayskohohh vohohz avay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
96,Que sais-tu ?,What do you know?,A,kə sˈɛtˈy ?,kohohh sayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
97,Qu'est-ce que tu aimes bien ?,What do you like?,A,kɛskˌə ty ˈɛm bjˈɛ̃ ?,kayskohohh ty aym byayayn ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
98,De quoi as-tu besoin ?,What do you need?,A,də- kwˌa atˈy bəzwˈɛ̃ ?,dohohh- kwa aty bohohhzwayayn ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
99,Que dites-vous ?,What do you say?,A,kə dˈitvˈu ?,kohohh dayaytvohoh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
100,Qu'en penses-tu ?,What do you think?,A,kɑ̃ pˈɑ̃stˈy ?,kan pansty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
101,Que veux-tu ?,What do you want?,A,kə vˈøtˈy ?,kohohh veuty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
102,Qu'avons-nous ici ?,What have we here?,A,kavˈɔ̃nuz isˈi ?,kavohnnohohz ayaysayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
103,Que ferais-tu ?,What would you do?,A,kə fəʁˈɛtˈy ?,kohohh fohohhrayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
104,Qu'aimerais-tu ?,What would you like?,A,kɛmʁˈɛtˈy ?,kaymrayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
105,Que dirais-tu ?,What would you say?,A,kə diʁˈɛtˈy ?,kohohh dayayrayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
106,Quand pouvons-nous manger ?,When can we eat?,A,kɑ̃ puvˈɔ̃nu mɑ̃ʒˈe ?,kan pohohvohnnohoh manzhay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
107,Quand êtes-vous venus ?,When did you come?,A,kɑ̃t ˈɛtvu vənˈy ?,kant aytvohoh vohohhny ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
108,Quand mangeons-nous ?,When do we eat?,A,kɑ̃ mɑ̃ʒˈɔ̃nˈu ?,kan manzhohnnohoh ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
109,Où es-tu aujourd'hui ?,Where are you today?,A,u ɛty oʒuʁdyˈi ?,ohoh ayty ohzhohohrdyayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
110,Où as-tu mangé ?,Where did you eat?,A,u atˈy mɑ̃ʒˈe ?,ohoh aty manzhay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
111,Où vous êtes-vous rendu ?,Where did you go?,A,u vuz ɛtvu ʁɑ̃dˈy ?,ohoh vohohz aytvohoh randy ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
112,Où travailles-tu ?,Where do you work?,A,u tʁavˈajtˈy ?,ohoh travayty ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
113,Qui peut m'aider ?,Who can help me?,A,ki pˈø mɛdˈe ?,kayay peu mayday ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
114,Qui as-tu appelé ?,Who did you call?,A,ki atˈy aplˈe ?,kayay aty aplay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
115,Pourquoi sommes-nous ici ?,Why are we here?,A,puʁkwˌa sˈɔmnuz isˈi ?,pohohrkwa sohmnohohz ayaysayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
116,Pourquoi es-tu ici ?,Why are you here?,A,puʁkwˌa ɛty isˈi ?,pohohrkwa ayty ayaysayay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
117,Pourquoi es-tu à la maison ?,Why are you home?,A,puʁkwˌa ɛty a la- mɛzˈɔ̃ ?,pohohrkwa ayty a la- mayzohn ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
118,Pourquoi as-tu appelé ?,Why did you call?,A,puʁkwˌa atˈy aplˈe ?,pohohrkwa aty aplay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
119,Pourquoi es-tu venu ?,Why did you come?,A,puʁkwˌa ɛty vənˈy ?,pohohrkwa ayty vohohhny ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
120,Voudriez-vous m'excuser ?,Would you excuse me?,A,vudʁiˈevu mɛkskyzˈe ?,vohohdrayayayvohoh maykskyzay ?,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
121,Fais ce que je dis.,Do what I say.,A,fˈɛ sə- kə ʒə- dˈi.,fay sohohh- kohohh zhohohh- dayay.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
122,Fais ce que tu peux.,Do what you can.,A,fˈɛ sə- kə ty pˈø.,fay sohohh- kohohh ty peu.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
123,Fais ce que tu aimes.,Do what you like.,A,fˈɛ sə- kə ty ˈɛm.,fay sohohh- kohohh ty aym.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
124,Fais ce que tu veux.,Do what you want.,A,fˈɛ sə- kə ty vˈø.,fay sohohh- kohohh ty veu.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
125,Pars quand tu veux.,Go when you want.,A,paʁ kɑ̃ ty vˈø.,par kan ty veu.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
126,Je peux venir demain.,I can come tomorrow.,A,ʒə- pˈø vənˈiʁ dəmˈɛ̃.,zhohohh- peu vohohhnayayr dohohhmayayn.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
127,Je peux t'aider.,I can help you.,A,ʒə- pˈø tɛdˈe.,zhohohh- peu tayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
128,Je peux vous comprendre.,I can understand you.,A,ʒə- pˈø vu kɔ̃pʁˈɑ̃dʁ.,zhohohh- peu vohoh kohnprandr.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
129,Je pourrais t'aider.,I could help you.,A,ʒə- puʁˈɛ tɛdˈe.,zhohohh- pohohray tayday.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
130,Je vous apprécie vraiment.,I do like you.,A,ʒə- vuz apʁesˈi vʁɛmˈɑ̃.,zhohohh- vohohz apraysayay vrayman.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
131,Je n'ai pas d'excuse.,I have no excuse.,A,ʒə- ne pa dɛkskˈyz.,zhohohh- nay pa daykskyz.,6df585d7ee39ae63093632e1a1c986836ddd7cdde6f609781198b7eb3f5e8b9c
