rank,target,english,level,ipa_candidate,learner_hint_candidate,source_sha256
13,کیا آپ کو قلم چاہیے؟,Do you need the pen?,B,kjˈaː ˌaːp kˈoː qˈʌləm cˈaːhjeː,kya ap koh qʌlohohhm cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
14,ہمیں قلم چاہیے۔,We need the pen.,A,hˈʌmẽː qˈʌləm cˈaːhjeː,hʌmẽ qʌlohohhm cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
15,قلم کہاں ہے؟,Where is the pen?,A,qˈʌləm kˈʌhãː hɛ,qʌlohohhm kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
16,کیا قلم یہاں ہے؟,Is the pen here?,A,kjˈaː qˈʌləm jˈʌhãː hɛ,kya qʌlohohhm yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
17,براہِ کرم قلم لے آئیے۔,Please bring the pen.,A,bˌəraːhˈeː kˈʌrəm qˈʌləm lˈeː ˈaːjeː,bohohhrahay kʌrohohhm qʌlohohhm lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
18,براہِ کرم مجھے قلم دیجیے۔,Please give me the pen.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː qˈʌləm diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay qʌlohohhm dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
19,میرے پاس قلم ہے۔,I have the pen.,A,mˈeːreː pˈaːs qˈʌləm hɛ,mayray pas qʌlohohhm hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
20,کیا آپ کے پاس قلم ہے؟,Do you have the pen?,B,kjˈaː ˌaːp keː pˈaːs qˈʌləm hɛ,kya ap kay pas qʌlohohhm hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
21,مجھے پنسل چاہیے۔,I need the pencil.,A,mˌʊɟʰeː pˈʌnsəl cˈaːhjeː,mohohgyʰay pʌnsohohhl cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
22,مجھے پنسل نہیں چاہیے۔,I don't need the pencil.,B,mˌʊɟʰeː pˈʌnsəl nahˈiːn cˈaːhjeː,mohohgyʰay pʌnsohohhl nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
23,کیا آپ کو پنسل چاہیے؟,Do you need the pencil?,B,kjˈaː ˌaːp kˈoː pˈʌnsəl cˈaːhjeː,kya ap koh pʌnsohohhl cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
24,ہمیں پنسل چاہیے۔,We need the pencil.,A,hˈʌmẽː pˈʌnsəl cˈaːhjeː,hʌmẽ pʌnsohohhl cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
25,پنسل کہاں ہے؟,Where is the pencil?,A,pˈʌnsəl kˈʌhãː hɛ,pʌnsohohhl kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
26,کیا پنسل یہاں ہے؟,Is the pencil here?,A,kjˈaː pˈʌnsəl jˈʌhãː hɛ,kya pʌnsohohhl yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
27,براہِ کرم پنسل لے آئیے۔,Please bring the pencil.,A,bˌəraːhˈeː kˈʌrəm pˈʌnsəl lˈeː ˈaːjeː,bohohhrahay kʌrohohhm pʌnsohohhl lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
28,براہِ کرم مجھے پنسل دیجیے۔,Please give me the pencil.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː pˈʌnsəl diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay pʌnsohohhl dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
29,میرے پاس پنسل ہے۔,I have the pencil.,A,mˈeːreː pˈaːs pˈʌnsəl hɛ,mayray pas pʌnsohohhl hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
30,کیا آپ کے پاس پنسل ہے؟,Do you have the pencil?,B,kjˈaː ˌaːp keː pˈaːs pˈʌnsəl hɛ,kya ap kay pas pʌnsohohhl hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
31,مجھے کاپی چاہیے۔,I need the notebook.,A,mˌʊɟʰeː kˈaːpi cˈaːhjeː,mohohgyʰay kapayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
32,مجھے کاپی نہیں چاہیے۔,I don't need the notebook.,B,mˌʊɟʰeː kˈaːpi nahˈiːn cˈaːhjeː,mohohgyʰay kapayay nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
33,کیا آپ کو کاپی چاہیے؟,Do you need the notebook?,B,kjˈaː ˌaːp kˈoː kˈaːpi cˈaːhjeː,kya ap koh kapayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
34,ہمیں کاپی چاہیے۔,We need the notebook.,A,hˈʌmẽː kˈaːpi cˈaːhjeː,hʌmẽ kapayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
35,کاپی کہاں ہے؟,Where is the notebook?,A,kˈaːpi kˈʌhãː hɛ,kapayay kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
36,کیا کاپی یہاں ہے؟,Is the notebook here?,A,kjˈaː kˈaːpi jˈʌhãː hɛ,kya kapayay yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
37,براہِ کرم کاپی لے آئیے۔,Please bring the notebook.,A,bˌəraːhˈeː kˈʌrəm kˈaːpi lˈeː ˈaːjeː,bohohhrahay kʌrohohhm kapayay lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
38,براہِ کرم مجھے کاپی دیجیے۔,Please give me the notebook.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː kˈaːpi diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay kapayay dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
39,میرے پاس کاپی ہے۔,I have the notebook.,A,mˈeːreː pˈaːs kˈaːpi hɛ,mayray pas kapayay hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
40,کیا آپ کے پاس کاپی ہے؟,Do you have the notebook?,B,kjˈaː ˌaːp keː pˈaːs kˈaːpi hɛ,kya ap kay pas kapayay hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
41,مجھے لغت چاہیے۔,I need the dictionary.,A,mˌʊɟʰeː lˈʌɣət cˈaːhjeː,mohohgyʰay lʌghohohht cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
42,مجھے لغت نہیں چاہیے۔,I don't need the dictionary.,B,mˌʊɟʰeː lˈʌɣət nahˈiːn cˈaːhjeː,mohohgyʰay lʌghohohht nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
43,کیا آپ کو لغت چاہیے؟,Do you need the dictionary?,B,kjˈaː ˌaːp kˈoː lˈʌɣət cˈaːhjeː,kya ap koh lʌghohohht cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
44,ہمیں لغت چاہیے۔,We need the dictionary.,A,hˈʌmẽː lˈʌɣət cˈaːhjeː,hʌmẽ lʌghohohht cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
45,لغت کہاں ہے؟,Where is the dictionary?,A,lˈʌɣət kˈʌhãː hɛ,lʌghohohht kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
46,کیا لغت یہاں ہے؟,Is the dictionary here?,A,kjˈaː lˈʌɣət jˈʌhãː hɛ,kya lʌghohohht yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
47,براہِ کرم لغت لے آئیے۔,Please bring the dictionary.,A,bˌəraːhˈeː kˈʌrəm lˈʌɣət lˈeː ˈaːjeː,bohohhrahay kʌrohohhm lʌghohohht lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
48,براہِ کرم مجھے لغت دیجیے۔,Please give me the dictionary.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː lˈʌɣət diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay lʌghohohht dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
49,میرے پاس لغت ہے۔,I have the dictionary.,A,mˈeːreː pˈaːs lˈʌɣət hɛ,mayray pas lʌghohohht hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
50,کیا آپ کے پاس لغت ہے؟,Do you have the dictionary?,B,kjˈaː ˌaːp keː pˈaːs lˈʌɣət hɛ,kya ap kay pas lʌghohohht hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
51,مجھے نقشہ چاہیے۔,I need the map.,A,mˌʊɟʰeː nˈaqʃa cˈaːhjeː,mohohgyʰay naqsha cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
52,مجھے نقشہ نہیں چاہیے۔,I don't need the map.,B,mˌʊɟʰeː nˈaqʃa nahˈiːn cˈaːhjeː,mohohgyʰay naqsha nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
53,کیا آپ کو نقشہ چاہیے؟,Do you need the map?,B,kjˈaː ˌaːp kˈoː nˈaqʃa cˈaːhjeː,kya ap koh naqsha cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
54,ہمیں نقشہ چاہیے۔,We need the map.,A,hˈʌmẽː nˈaqʃa cˈaːhjeː,hʌmẽ naqsha cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
55,نقشہ کہاں ہے؟,Where is the map?,A,nˈaqʃa kˈʌhãː hɛ,naqsha kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
56,کیا نقشہ یہاں ہے؟,Is the map here?,A,kjˈaː nˈaqʃa jˈʌhãː hɛ,kya naqsha yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
57,براہِ کرم نقشہ لے آئیے۔,Please bring the map.,A,bˌəraːhˈeː kˈʌrəm nˈaqʃa lˈeː ˈaːjeː,bohohhrahay kʌrohohhm naqsha lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
58,براہِ کرم مجھے نقشہ دیجیے۔,Please give me the map.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː nˈaqʃa diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay naqsha dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
59,میرے پاس نقشہ ہے۔,I have the map.,A,mˈeːreː pˈaːs nˈaqʃa hɛ,mayray pas naqsha hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
60,کیا آپ کے پاس نقشہ ہے؟,Do you have the map?,B,kjˈaː ˌaːp keː pˈaːs nˈaqʃa hɛ,kya ap kay pas naqsha hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
61,مجھے ٹکٹ چاہیے۔,I need the ticket.,A,mˌʊɟʰeː ʈˈɪkɪʈ cˈaːhjeː,mohohgyʰay tayaykayayt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
62,مجھے ٹکٹ نہیں چاہیے۔,I don't need the ticket.,B,mˌʊɟʰeː ʈˈɪkɪʈ nahˈiːn cˈaːhjeː,mohohgyʰay tayaykayayt nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
63,کیا آپ کو ٹکٹ چاہیے؟,Do you need the ticket?,B,kjˈaː ˌaːp kˈoː ʈˈɪkɪʈ cˈaːhjeː,kya ap koh tayaykayayt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
64,ہمیں ٹکٹ چاہیے۔,We need the ticket.,A,hˈʌmẽː ʈˈɪkɪʈ cˈaːhjeː,hʌmẽ tayaykayayt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
65,ٹکٹ کہاں ہے؟,Where is the ticket?,A,ʈˈɪkɪʈ kˈʌhãː hɛ,tayaykayayt kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
66,کیا ٹکٹ یہاں ہے؟,Is the ticket here?,A,kjˈaː ʈˈɪkɪʈ jˈʌhãː hɛ,kya tayaykayayt yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
67,براہِ کرم ٹکٹ لے آئیے۔,Please bring the ticket.,A,bˌəraːhˈeː kˈʌrəm ʈˈɪkɪʈ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm tayaykayayt lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
68,براہِ کرم مجھے ٹکٹ دیجیے۔,Please give me the ticket.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː ʈˈɪkɪʈ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay tayaykayayt dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
69,میرے پاس ٹکٹ ہے۔,I have the ticket.,A,mˈeːreː pˈaːs ʈˈɪkɪʈ hɛ,mayray pas tayaykayayt hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
70,کیا آپ کے پاس ٹکٹ ہے؟,Do you have the ticket?,B,kjˈaː ˌaːp keː pˈaːs ʈˈɪkɪʈ hɛ,kya ap kay pas tayaykayayt hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
71,مجھے پاسپورٹ چاہیے۔,I need the passport.,A,mˌʊɟʰeː pˌaːspˈoːrʈ cˈaːhjeː,mohohgyʰay paspohrt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
72,مجھے پاسپورٹ نہیں چاہیے۔,I don't need the passport.,B,mˌʊɟʰeː pˌaːspˈoːrʈ nahˈiːn cˈaːhjeː,mohohgyʰay paspohrt nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
73,کیا آپ کو پاسپورٹ چاہیے؟,Do you need the passport?,B,kjˈaː ˌaːp kˈoː pˌaːspˈoːrʈ cˈaːhjeː,kya ap koh paspohrt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
74,ہمیں پاسپورٹ چاہیے۔,We need the passport.,A,hˈʌmẽː pˌaːspˈoːrʈ cˈaːhjeː,hʌmẽ paspohrt cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
75,پاسپورٹ کہاں ہے؟,Where is the passport?,A,pˌaːspˈoːrʈ kˈʌhãː hɛ,paspohrt kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
76,کیا پاسپورٹ یہاں ہے؟,Is the passport here?,A,kjˈaː pˌaːspˈoːrʈ jˈʌhãː hɛ,kya paspohrt yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
77,براہِ کرم پاسپورٹ لے آئیے۔,Please bring the passport.,A,bˌəraːhˈeː kˈʌrəm pˌaːspˈoːrʈ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm paspohrt lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
78,براہِ کرم مجھے پاسپورٹ دیجیے۔,Please give me the passport.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː pˌaːspˈoːrʈ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay paspohrt dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
79,میرے پاس پاسپورٹ ہے۔,I have the passport.,A,mˈeːreː pˈaːs pˌaːspˈoːrʈ hɛ,mayray pas paspohrt hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
80,کیا آپ کے پاس پاسپورٹ ہے؟,Do you have the passport?,B,kjˈaː ˌaːp keː pˈaːs pˌaːspˈoːrʈ hɛ,kya ap kay pas paspohrt hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
81,مجھے شناختی کارڈ چاہیے۔,I need the ID card.,B,mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,mohohgyʰay shohohhnakhtayay kard cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
82,مجھے شناختی کارڈ نہیں چاہیے۔,I don't need the ID card.,B,mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ nahˈiːn cˈaːhjeː,mohohgyʰay shohohhnakhtayay kard nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
83,کیا آپ کو شناختی کارڈ چاہیے؟,Do you need the ID card?,B,kjˈaː ˌaːp kˈoː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,kya ap koh shohohhnakhtayay kard cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
84,ہمیں شناختی کارڈ چاہیے۔,We need the ID card.,B,hˈʌmẽː ʃənˈaːxtˌiː kˈaːrɖ cˈaːhjeː,hʌmẽ shohohhnakhtayay kard cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
85,شناختی کارڈ کہاں ہے؟,Where is the ID card?,B,ʃənˈaːxtˌiː kˈaːrɖ kˈʌhãː hɛ,shohohhnakhtayay kard kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
86,کیا شناختی کارڈ یہاں ہے؟,Is the ID card here?,B,kjˈaː ʃənˈaːxtˌiː kˈaːrɖ jˈʌhãː hɛ,kya shohohhnakhtayay kard yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
87,براہِ کرم شناختی کارڈ لے آئیے۔,Please bring the ID card.,B,bˌəraːhˈeː kˈʌrəm ʃənˈaːxtˌiː kˈaːrɖ lˈeː ˈaːjeː,bohohhrahay kʌrohohhm shohohhnakhtayay kard lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
88,براہِ کرم مجھے شناختی کارڈ دیجیے۔,Please give me the ID card.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː ʃənˈaːxtˌiː kˈaːrɖ diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay shohohhnakhtayay kard dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
89,میرے پاس شناختی کارڈ ہے۔,I have the ID card.,B,mˈeːreː pˈaːs ʃənˈaːxtˌiː kˈaːrɖ hɛ,mayray pas shohohhnakhtayay kard hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
90,کیا آپ کے پاس شناختی کارڈ ہے؟,Do you have the ID card?,B,kjˈaː ˌaːp keː pˈaːs ʃənˈaːxtˌiː kˈaːrɖ hɛ,kya ap kay pas shohohhnakhtayay kard hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
91,مجھے چابی چاہیے۔,I need the key.,A,mˌʊɟʰeː cˈaːbi cˈaːhjeː,mohohgyʰay cabayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
92,مجھے چابی نہیں چاہیے۔,I don't need the key.,B,mˌʊɟʰeː cˈaːbi nahˈiːn cˈaːhjeː,mohohgyʰay cabayay nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
93,کیا آپ کو چابی چاہیے؟,Do you need the key?,B,kjˈaː ˌaːp kˈoː cˈaːbi cˈaːhjeː,kya ap koh cabayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
94,ہمیں چابی چاہیے۔,We need the key.,A,hˈʌmẽː cˈaːbi cˈaːhjeː,hʌmẽ cabayay cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
95,چابی کہاں ہے؟,Where is the key?,A,cˈaːbi kˈʌhãː hɛ,cabayay kʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
96,کیا چابی یہاں ہے؟,Is the key here?,A,kjˈaː cˈaːbi jˈʌhãː hɛ,kya cabayay yʌhã hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
97,براہِ کرم چابی لے آئیے۔,Please bring the key.,A,bˌəraːhˈeː kˈʌrəm cˈaːbi lˈeː ˈaːjeː,bohohhrahay kʌrohohhm cabayay lay ayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
98,براہِ کرم مجھے چابی دیجیے۔,Please give me the key.,B,bˌəraːhˈeː kˈʌrəm mˌʊɟʰeː cˈaːbi diɟˈiːeː,bohohhrahay kʌrohohhm mohohgyʰay cabayay dayaygyayayay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
99,میرے پاس چابی ہے۔,I have the key.,A,mˈeːreː pˈaːs cˈaːbi hɛ,mayray pas cabayay hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
100,کیا آپ کے پاس چابی ہے؟,Do you have the key?,B,kjˈaː ˌaːp keː pˈaːs cˈaːbi hɛ,kya ap kay pas cabayay hay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
101,مجھے موبائل فون چاہیے۔,I need the mobile phone.,B,mˌʊɟʰeː moːbˈaɪl fˈoːn cˈaːhjeː,mohohgyʰay mohbaayayl fohn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
102,مجھے موبائل فون نہیں چاہیے۔,I don't need the mobile phone.,B,mˌʊɟʰeː moːbˈaɪl fˈoːn nahˈiːn cˈaːhjeː,mohohgyʰay mohbaayayl fohn nahayayn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
103,کیا آپ کو موبائل فون چاہیے؟,Do you need the mobile phone?,B,kjˈaː ˌaːp kˈoː moːbˈaɪl fˈoːn cˈaːhjeː,kya ap koh mohbaayayl fohn cahyay,1a1be318809c84d0a8ed71fcd3fca3644ef71feeb29e9c2bd08eeebfc38a0514
